title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Karore,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Play all. Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views.",Karore,Austronesian
"Full text of ""enwiki-Karore_language-20200725.pdf""",https://archive.org/stream/enwiki-Karore_language-20200725.pdf/enwiki-Karore_language-20200725_djvu.txt,Karore is an Austronesian language spoken by about 550 individuals between the Andru and Johanna Rivers in West New Britain Province...,Karore,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Karore,Austronesian
"Stream The Austronesians music | Listen to songs, albums, playlists...",https://soundcloud.com/theaustronesians,"Play The Austronesians and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Karore,Austronesian
(PDF) Musical aspects of Austronesian culture,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,Musical forms correlate with the expansion of Austronesian culture in the Indo-Pacific.Polyphonic choral singing shows significant similarities between Taiwan and South China.,Karore,Austronesian
Glottolog 5.3 - Mentawai,https://glottolog.org/resource/languoid/id/ment1249,Karore. Kaulong. Tapangu. Tfuea. Western Plains Austronesian (3).,Karore,Austronesian
"Jakone, Kiliana - Жиганская (official video) — Видео от Новинки...",https://vk.com/video-205800683_456240426,"Баста, Гуф — Чайный пьяница 2.0 (Official Music Video). 4:11.",Karore,Austronesian
August Schmidhofer,https://www.scu.edu.tw/music/2005ifet/3e.pdf,August Schmidhofer: Some Remarks on the Austronesian Background of Malagasy Music. Large portions of the Earth were inhabited during extensive migrations.,Karore,Austronesian
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Karore,Austronesian
