title,link,text,language,family
Kawe - YouTube Music,https://music.youtube.com/channel/UC_XoxCwDH5xI8SrFnOdJz-A,"Listen to music from Kawe on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Kawe,Austronesian
Kawe (@kawe) • Instagram photos and videos,https://www.instagram.com/kawe/,"1M Followers, 1,459 Following, 198 Posts - Kawe (@kawe) on Instagram: ""AX VEZEX FUNK 🇧🇷""",Kawe,Austronesian
"Stream Kawe music | Listen to songs, albums, playlists for free on ...",https://soundcloud.com/kawe-music,Listen to Kawe | SoundCloud is an audio platform that lets you listen to what you love and share the sounds you create.,Kawe,Austronesian
"Stream Kawe music | Listen to songs, albums, playlists for free on ...",https://soundcloud.com/kawe-894694603,"Play Kawe and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Kawe,Austronesian
YouTube Music,https://music.youtube.com/search?q=#kawe,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can't get anywhere else.",Kawe,Austronesian
"Maˈya (Kawe dialect: ISO 369-3: kbg, Glottocode: kawe1240)",https://datashare.ed.ac.uk/feed/atom_1.0/10283/8584,"KAW - Maˈya (Kawe dialect: ISO 369-3: kbg, Glottocode: kawe1240) segmented files These segmented files are designed to facilitate searches for a particular word or construction in the Kawe Maˈya collection. Full information on how to navigate these segmented files using the filenames is given in the Documentation file.",Kawe,Austronesian
"Kawe Lyrics, Songs, and Albums | Genius",https://genius.com/artists/Kawe,Get all the lyrics to songs by Kawe and join the Genius community of music scholars to learn the meaning behind the lyrics.,Kawe,Austronesian
Kawe - Apple Music,https://music.apple.com/mz/artist/kawe/633539157,"Listen to music by Kawe on Apple Music. Find top songs and albums by Kawe, including Nota Dó (feat. Vulgo FK & Cupula), Iluminado and more.",Kawe,Austronesian
kawe urmiye (@kawe_music) • Instagram photos and videos,https://www.instagram.com/kawe_music/,"7,442 Followers, 1,709 Following, 46 Posts - kawe urmiye (@kawe_music) on Instagram: ""کاوه موزیک""",Kawe,Austronesian
Kawe | Spotify,https://open.spotify.com/artist/1TYJOhNSxMOODWiDVhuyZb,Artist · 2.1M monthly listeners.,Kawe,Austronesian
