title,link,text,language,family
Rona Glynn-McDonald - Wikipedia,https://en.wikipedia.org/wiki/Rona_Glynn-McDonald,"May 11, 2026 - Rona Glynn-McDonald, also known ... Australian activist, advocate, and musician. She is known as the founder of the not-for-profit Common Ground. Rona Glynn-McDonald is the daughter of film-makers Warwick Thornton and Penelope McDonald; she is also the granddaughter of Freda Glynn and the sister of Dylan River. She grew up in Alice Springs (Mparntwe). She is a Kaytetye ...",Kaytetye,Australian
Kaytetye,https://kaytetye.com.au/,"Kaytetye songs Recordings of modern Kaytetye songs by Music Outback, Neutral Junction School and Tara community elders are available on the Music Outback Foundation Website. 'Artweye erlwe' a rock song written by Vincent Janima Band in the 1990s and filmed by Declan O'Gallagher can be watched below. ... There are videos to learn Kaytetye Handsigns on the Iltyem-Iltyem Australian Indigenous Sign Languages website here.",Kaytetye,Australian
"RONA. weaves together country, colonialism and club music on new EP It's All Here - ABC News",https://www.abc.net.au/news/2025-09-19/rona-its-all-here-ep-bush-beats-country-colonialism-club-music/105758094,"September 19, 2025 - Rona Glynn-McDonald is changing that. Under the mononym RONA., the Kaytetye DJ and producer blends her connection to a 65,000-year-old storytelling tradition with the thump of club and house music.",Kaytetye,Australian
(PDF) Ethnographic sound collections and Australian Aboriginal Heritage: Kaytetye song traditions remembered,https://www.researchgate.net/publication/327600072_Ethnographic_sound_collections_and_Australian_Aboriginal_Heritage_Kaytetye_song_traditions_remembered,"September 16, 2018 - Australian Indigenous music recordings (1966), they have been unexamined since. Ken Hale’s · audio recording of Kaytetye speech in the 1950s and later recordings of Kaytetye speech and",Kaytetye,Australian
Kaytetye Language and Culture Songs - Music Outback,https://musicoutback.com.au/kaytetye-language-and-culture-songs/,"Their use, along with the songs, will help sustain Kaytetye language and culture in the long term, something that is especially important for today’s Kaytetye children. We dedicate this collection to the old man Thompson and the wonderful Kaytetye teacher Ms. Ross.",Kaytetye,Australian
Kaytetye Language Songs Archive - Music Outback Foundation -,https://musicoutback.com.au/category/kaytetye-language-songs/,"Their use, along with the songs, will help sustain Kaytetye language and culture in the long term, something that is especially important for today’s Kaytetye children. We dedicate this collection to the old man Thompson and the wonderful Kaytetye teacher Ms. Ross.",Kaytetye,Australian
Ethnographic sound collections and Australian Aboriginal ...,https://yumi-sabe.aiatsis.gov.au/sites/default/files/outputs/2024-05/KaytetyeSongsGibson2018.pdf,"These newly discovered record-ings, the earliest ever made of Kaytetye singing, are shown to be an important heritage resource for these communities.",Kaytetye,Australian
(PDF) Ethnographic sound collections and Australian ...,https://www.academia.edu/37416696/Ethnographic_sound_collections_and_Australian_Aboriginal_Heritage_Kaytetye_song_traditions_remembered,"These newly discovered recordings, the earliest ever made of Kaytetye singing, are shown to be an important heritage resource for these communities.",Kaytetye,Australian
Kaytetye Language and Culture Songs - Music Outback Foundation -,https://www.musicoutback.com.au/kaytetye-language-and-culture-songs/,"These resources are published here for the purposes of Kaytetye education and language maintenance and have been developed following cultural protocols of prior informed consent, attribution to Kaytetye people, communities, cultural integrity and the sharing of benefits. Music Outback Foundation would like to thank the Batchelor Institute Centre for Australian Languages and Linguistics (CALL) and ILA for support in making these Kaytetye language songs and translations available here, a project that is in recognition of the International Decade of Indigenous Languages.",Kaytetye,Australian
(PDF) The language of Central Australian Aboriginal songs,https://www.researchgate.net/publication/43508225_The_language_of_Central_Australian_Aboriginal_songs,"September 19, 2008 - Kaytetye (K) of the Artuya subgroup, and Arrernte (Arr), which along with · Anmatyerr (An), Alyawarr (Aly) make up the Urtwa subgroup. ... Documentation Program, University of London. Grace Koch would like to thank the Australian",Kaytetye,Australian
