title,link,text,language,family
Kuijau language - Wikipedia,https://en.wikipedia.org/wiki/Kuijau_language,"Kuijau (Kuiyow), also known as Hill Dusun, is an Austronesian language of Sabah, Malaysia. Materials on Kuijau are included in the open access Arthur Capell collection (AC2) held by Paradisec.",Kuijau,Austronesian
Kwijau - Wikipedia,https://en.wikipedia.org/wiki/Kwijau,"They are known for performing the Magunatip, an east Malaysian dance very strongly influenced by the Philippine tinikling.",Kuijau,Austronesian
Tataramon na Kuijau - Wikipedia,https://bcl.wikipedia.org/wiki/Tataramon_na_Kuijau,"An Kuijau (Kuiyow), bisto man bilang Burol na Dusun (Hill Dusun), saróng tataramon na Austronesyo kan Sabah, Malaysia.",Kuijau,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia.",Kuijau,Austronesian
Kuijau language - Wikiwand,https://www.wikiwand.com/en/articles/Kwijau_language,"Kuijau (Kuiyow), also known as Hill Dusun, is an Austronesian language of Sabah, Malaysia.",Kuijau,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Many of the indigenous peoples of India are considered to belong to the Australasian language group, while Austronesian culture arose from later migrations.",Kuijau,Austronesian
"BALANCING THE HUMAN AND SPIRITUAL WORLDS: RITUAL, MUSIC, AND ...",https://www.jstor.org/stable/10.5921/yeartradmusi.46.2014.0170,"roles of music and dance in two examples of ritual ceremonies from two different Dusunic societies. The first is the Moginum, a family-level ceremony from the Rungus of northern Sabah, whi",Kuijau,Austronesian
"Kuijau Language (DKR) – L1 & L2 Speakers, Status... | Ethnologue Free",https://www.ethnologue.com/language/dkr/,Kuijau is an endangered indigenous language of Malaysia. It belongs to the Austronesian language family.,Kuijau,Austronesian
Kuijau - dkr (Austronesian) - PeopleGroups.org,https://peoplegroups.org/language/dkr/,"Kuijau (dkr) is part of the Austronesian family and Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Dusunic, Dusun class.",Kuijau,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Kuijau,Austronesian
