title,link,text,language,family
Music of Australia - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Australia,"1 month ago - The music of Australia has an extensive history made of music societies. Indigenous Australian music forms a significant part of the unique heritage of a 40,000- to 60,000-year history which produced the iconic didgeridoo.",Kungardutyi,Australian
Indigenous music of Australia - Wikipedia,https://en.wikipedia.org/wiki/Indigenous_music_of_Australia,"6 days ago - The traditional forms include many aspects of performance and musical instrumentation that are unique to particular regions or Aboriginal Australian groups; and some elements of musical tradition are common or widespread through much of the Australian continent, and even beyond.",Kungardutyi,Australian
Didgeridoo - Wikipedia,https://en.wikipedia.org/wiki/Didgeridoo,"April 6, 2026 - Modern didgeridoo designs are distinct from the traditional Australian Aboriginal didgeridoo, and are innovations recognised by musicologists. Didgeridoo design innovation started in the late 20th century, using non-traditional materials and non-traditional shapes.",Kungardutyi,Australian
"Indigenous Australian music - Simple English Wikipedia, the free encyclopedia",https://simple.wikipedia.org/wiki/Indigenous_Australian_music,"February 25, 2022 - Australian indigenous music includes the music of Australian Aborigines and Torres Strait Islanders. They are all called Indigenous Australians. It includes a variety of distinctive traditional music styles practiced by Indigenous Australian people. It also has a range of contemporary musical ...",Kungardutyi,Australian
Australian Aborigine Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh-BZ12cwX9y4lGO5hT_MOI_,This playlist gives a brief overview of Aboriginal music from Australia. Included are samples of modern Aboriginal bands and their contemporary ethnic fusion...,Kungardutyi,Australian
Australian Aborigine Music,https://music.youtube.com/playlist?list=PLnOSH5j1sQh-BZ12cwX9y4lGO5hT_MOI_,"This playlist gives a brief overview of Aboriginal music from Australia. Included are samples of modern Aboriginal bands and their contemporary ethnic fusion music, music of protest and...",Kungardutyi,Australian
Tribal Music of Australia by Various Artists on Apple Music,https://music.apple.com/ca/album/tribal-music-of-australia/159102051,Listen to Tribal Music of Australia by Various Artists on Apple Music. 1949. 14 Songs. Duration: 32 minutes.,Kungardutyi,Australian
OLAC resources in and about the Kungardutyi language,http://www.language-archives.org/language/gdt,"Resources about the language ONLINEKungardutyi: a language of Australia. n.a. 2018. SIL International. oai:ethnologue.com:gdt Other known names and dialect names: Gungadidji Other search terms: dialect, vernacular http://www.language-archives.org/language.php/gdt Up-to-date as of: Mon Nov 3 23:58:45 EST 2025",Kungardutyi,Australian
"Kungardutyi Language (GDT) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/gdt/,Kungardutyi is an extinct language of Australia. It belongs to the Australian language family.,Kungardutyi,Australian
How Aboriginal musicians enhanced and maintained community in 20th century Australia - The University of Sydney,https://www.sydney.edu.au/news-opinion/news/2024/07/15/how-aboriginal-musicians-enhanced-and-maintained-community-in-20th-century-australia-music-expert.html,"Musicologists and linguists at Sydney Conservatorium of Music share their knowledge on Pitjantjatjara/Yankunytjatjara, one of the most widely spoken Australian First Nations languages used in Electric Fields' song ""One Milkali (One Blood)"" performed at Eurovision 2024.",Kungardutyi,Australian
