title,link,text,language,family
Kurumba languages - Wikipedia,https://en.wikipedia.org/wiki/Kurumba_languages,"The term Kurumba (also found as Kuruba, or Kuruma) is believed to derive from early Dravidian roots associated with hill-dwelling and shepherd.Kapp’s research supports the classification of Alu Kurumba as an independent South Dravidian language[12].","Kurumba, Alu",Dravidian
Boopalam-Tamil Folk | Alu Kurumba Music 01 - YouTube,https://www.youtube.com/watch?v=a_9spcAp5l4,Puthuyugam TV Presents Music of various historical genres Boopalam.,"Kurumba, Alu",Dravidian
"Kurumba, Alu (New Life Computer Institute) | South Asia Bibles",https://southasiabibles.com/resource/language/kurumba-alu,"Alu Kurumba, also known as Hal Kurumba or alternatively Pal Kurumba, is a Southern Dravidian language of the Tamil–Kannada subgroup spoken by the Alu Kurumba tribe. It is often considered to constitute a dialect of Kannada; however, Ethnologue classifies it as a separate language.","Kurumba, Alu",Dravidian
"Kurumba, Alu Language (XUA) – L1 & L2 Speakers... | Ethnologue Free",https://www.ethnologue.com/language/xua/,Alu Kurumba is an endangered indigenous language of India. It belongs to the Dravidian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,"Kurumba, Alu",Dravidian
Kurumbas,https://www.everyculture.com/South-Asia/Kurumbas.html,"Kurumbas supply the tall poles used in Toda funeral rites, three types of baskets used by the Badagas, and often music for Badaga and Toda festivals. However, the activity for which the Kurumbas are best known has been the provision of sorcery.","Kurumba, Alu",Dravidian
Kurumbar (people),https://grokipedia.com/page/Kurumba_(tribe),"Documentation of Kurumba languages, spoken by subgroups such as Betta Kurumba and Alu Kurumba in the Nilgiris region, has primarily occurred through anthropological and linguistic projects in the late 20th and early 21st centuries.","Kurumba, Alu",Dravidian
"Full text of ""enwiki-Alu_Kurumba_language-20200726.pdf""",https://archive.org/stream/enwiki-Alu_Kurumba_language-20200726.pdf/enwiki-Alu_Kurumba_language-20200726_djvu.txt,"Alu Kurumba, also known as Hal Kurumba or alternatively Pal Kurumba, is a Southern Dravidian language of the Tamil-Kannada subgroup spoken by the Alu Kurumba tribe. It is often considered to constitute a dialect of Kannada; however, Ethnologue classifies it as a separate language.","Kurumba, Alu",Dravidian
Endangered Languages Project - Alu Kurumba,https://www.endangeredlanguages.com/lang/3567,"Alu Kurumba Nonstandard Kannada, Pal Kurumba, Hal Kurumba, Kurumba, Alu. CLASSIFICATION. Dravidian, South Dravidian. Code authority. Iso 639-3.","Kurumba, Alu",Dravidian
Alu Kurumba language - Wikiwand,https://www.wikiwand.com/en/Alu_Kurumba_language,"Alu Kurumba, also known as Hal Kurumba or alternatively Pal Kurumba, is a Southern Dravidian language of the Tamil–Kannada subgroup spoken by the Alu Kurumba tribe. It is often considered to constitute a dialect of Kannada; however, Ethnologue classifies it as a separate language.","Kurumba, Alu",Dravidian
Kurumba,https://dobes.mpi.nl/posters/print/eurasia-kurumba-print.pdf,"Linguistically, Kurumba, as well as the state languages of the region, Tamil, Malayalam and Kannada, belong to the Southern branch (SDr.I) of the Dravidian language family found in the Indian sub‐continent from Afganisthan to Sri Lanka, but spoken dominantly only in South India.","Kurumba, Alu",Dravidian
