title,link,text,language,family
Niger–Congo languages - Wikipedia,https://en.wikipedia.org/wiki/Niger–Congo_languages,"Niger–Congo is a proposed family of African languages spoken over the majority of sub-Saharan Africa. It unites the Mande languages, the Atlantic–Congo languages, and possibly several smaller groups of languages that are difficult to classify.",Lafofa,Niger-Congo
Mga tataramon na Lafofa - Wikipedia,https://bcl.wikipedia.org/wiki/Mga_tataramon_na_Lafofa,"An Lafofa, iyo man an Tegem–Amira, sarong kumpol nin diyalekto na pigtataram sa kahabagatab na mga Bukid nin Nuba sa habagatan kan Sudan.Mas bago pa sana an posisyon na ini binayaan, asin an Lafofa dai naklasipikar sa laog kan Niger-Congo.",Lafofa,Niger-Congo
Lafofa - laf (Niger-Congo) - PeopleGroups.org,https://peoplegroups.org/language/laf/,"Lafofa – laf is in the Niger-Congo family, included in Niger-Congo, Kordofanian, Talodi, Tegem language class.People Groups who primarily speak Lafofa. To download a comprehensive people group list in spreadsheet form, visit our Research Data page.",Lafofa,Niger-Congo
DJ Erycom: Download Ugandan Music 2026 | Top Ugandan Songs 2026,https://www.djerycom.ug/music,"Namtaka - Tanzanian Music. 22,041 Plays. Pombe - Tanzanian Music. 13,718 Plays. Webale Kunsuza - Nandor Love.",Lafofa,Niger-Congo
Lafofa,https://docs.verbix.com/EndangeredLanguages/Lafofa,"Language family: Niger-Congo, Kordofanian, Talodi, Tegem (SIL classification). Number of speakers: 600. Vulnerability: Endangered. Script: Unwritten.",Lafofa,Niger-Congo
Lafofa languages ::: Open WIKI,https://www.owiki.org/wiki/Lafofa_languages,"Lafofa, also Tegem–Amira, is a Niger–Congo dialect cluster spoken in the southern Nuba Mountains in the south of Sudan. Blench considers the Tegem and Amira varieties to be distinct languages; as Lafofa is poorly attested, there may be others.",Lafofa,Niger-Congo
Endangered Languages Project - Lafofa - Lafofa language/s wiki,https://www.endangeredlanguages.com/lang/4478/samples/10621,Lafofa. Classification: Niger-Congo.Very scant. Discusses whether Lafofa is a cluster of dialects or a separate branch of the Niger-Congo family tree.,Lafofa,Niger-Congo
Niger-Congo languages - Sorosoro Sorosoro,https://www.sorosoro.org/en/niger-congo-languages/,"The Niger-Congo family counts between 1 300 and 1 500 languages, depending on the classifications, representing alone nearly a quarter of the planet’s languages.",Lafofa,Niger-Congo
Hot congo music nigerian congo highlife music,https://www.youtube.com/watch?v=2DwaH72hmrQ,,Lafofa,Niger-Congo
Kordofanian Languages – Knowledge.Deck.no,https://knowledge.deck.no/languages-and-linguistics/language-families-and-typology/niger-congo-languages/kordofanian-languages,"The classification of Kordofanian languages within the Niger-Congo family has been the subject of considerable scholarly debate. Kordofanian languages are typically divided into five branches: Heiban, Koalib, Talodi–Heiban, Rashad, and Katla–Tima (also known as Lafofa–Tima).",Lafofa,Niger-Congo
