title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Lamalera,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia.",Lamalera,Austronesian
"Levo Lamalera - Ivan Nestorman & Tri Utami - YouTube MusicAustronesian Soundscapes: Performing Arts in Oceania and ...Austronesian soundscapes : performing arts in Oceania and ...Austronesian Music - MelodiggingMusical Revitalization of Lamalera’s Ritual, Barter, and Lia ...Stream euraxx | Listen to Austronesian traditional music ...",https://music.youtube.com/watch?v=5BMfhXnfSOM,"Fly - Ivan Nestorman (Cover) - Nano Edon feat. Gerry Ngabut. Su Ada Par Ganti (feat. Toton Caribo) Ombak Babunyi (feat. Hendri endico) Responding to this gap, Austronesian Soundscapes offers comprehensive analyses of traditional and contemporary Austronesian musics, investigating how music in the region reflects the 21st century's challenges. ""In Austronesia--the region that stretches from Madagascar in the west to Easter Island in the east--music plays a vital role in both the construction and expression of social and cultural identities. Yet research into the music of Austronesia has hitherto been sparse. Philippine music is a broad umbrella that spans indigenous Austronesian traditions, centuries of Hispanic and church-influenced forms, and a modern spectrum of pop, rock, hip hop, and R&B known collectively as OPM (Original Pilipino Music). Therefore, this study aims to analyze the relationships among Lia Asa Usu poetry, cultural identity, and opportunities for revitalization through contemporary art, particularly music. Using a practice-based research approach, this study combines ethnographic rigor with the process of music creation. Listen to Austronesian traditional music, a playlist curated by euraxx on desktop and mobile.",Lamalera,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and ...,https://www.jstor.org/stable/j.ctt46mvnd,"Responding to this gap, Austronesian Soundscapes offers comprehensive analyses of traditional and contemporary Austronesian musics, investigating how music in the region reflects the 21st century's challenges.",Lamalera,Austronesian
Austronesian soundscapes : performing arts in Oceania and ...,https://searchworks.stanford.edu/selections/13072440,"""In Austronesia--the region that stretches from Madagascar in the west to Easter Island in the east--music plays a vital role in both the construction and expression of social and cultural identities. Yet research into the music of Austronesia has hitherto been sparse.",Lamalera,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Philippine music is a broad umbrella that spans indigenous Austronesian traditions, centuries of Hispanic and church-influenced forms, and a modern spectrum of pop, rock, hip hop, and R&B known collectively as OPM (Original Pilipino Music).",Lamalera,Austronesian
"Musical Revitalization of Lamalera’s Ritual, Barter, and Lia ...",https://journal.isi.ac.id/index.php/resital/article/view/18316,"Therefore, this study aims to analyze the relationships among Lia Asa Usu poetry, cultural identity, and opportunities for revitalization through contemporary art, particularly music. Using a practice-based research approach, this study combines ethnographic rigor with the process of music creation.",Lamalera,Austronesian
Stream euraxx | Listen to Austronesian traditional music ...,https://soundcloud.com/euraxx/sets/austronesian-traditional-music,"Listen to Austronesian traditional music, a playlist curated by euraxx on desktop and mobile.",Lamalera,Austronesian
A Database of Basic Austronesian Vocabulary,https://abvd.eva.mpg.de/austronesian/word.php?v=72,Proto-Austronesian (Zorc). *dakdák. PHF.Lamalera (lembata).,Lamalera,Austronesian
MusMix - Deep House Music » Скачать новую музыку 2026,https://uzden.net/20800-musmix-deep-house-music.html,"Скачать песню MusMix - Deep House Music, или слушать онлайн бесплатно! Текст песни.",Lamalera,Austronesian
