title,link,text,language,family
Lampung language - Wikipedia,https://en.wikipedia.org/wiki/Lampung_Api_language,"February 7, 2026 - Lampung or Lampungic (cawa Lampung) is an Austronesian language or dialect cluster with around 1.5 million native speakers, who primarily belong to the Lampung ethnic group of southern Sumatra, Indonesia. It is divided into two or three varieties: Lampung Api (also called Pesisir or A-dialect), ...",Lampung Api,Austronesian
Taiwanese Indigenous pop music - Wikipedia,https://en.wikipedia.org/wiki/Taiwanese_Indigenous_pop_music,"March 26, 2026 - Taiwanese Indigenous pop music comprises contemporary songs performed in Austronesian languages native to Taiwan, blending modern pop music with Indigenous linguistic and cultural elements. It has steadily gained mainstream recognition over the past two decades, reflecting a broader cultural ...",Lampung Api,Austronesian
Lampung Api,https://worldmission.media/languages-of-the-world/lampung-api,"March 21, 2025 - Lampung Api includes aspirated sounds and nasal vowels, which may be challenging for outsiders.",Lampung Api,Austronesian
ABVD: Lampung Api (Pubian),https://abvd.shh.mpg.de/austronesian/language.php?id=609,https://abvd.eva.mpg.de : Austronesian : Crows : Bantu : Home · About · Collaborators · Links to other sites · FAQ & Information · Contact Us · Our Research · News · Languages · Words · Search · Advanced Display · Classification · Language Map · Add Data · Display Family Tree · Funded by RSNZ · ABVD: Alternate Wordlist for Lampung · ABVD: Alternate Wordlist for Lampung Api (Belalau) ABVD: Alternate Wordlist for Lampung Api (Daya) ABVD: Alternate Wordlist for Lampung Api (Jabung) ABVD: Alternate Wordlist for Lampung Api (Kalianda) ABVD: Alternate Wordlist for Lampung Api (Kota,Lampung Api,Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Music of the Batak people, an Austronesian people native to Sumatra.",Lampung Api,Austronesian
Lampung people — Grokipedia,https://grokipedia.com/page/Lampung_people,"January 17, 2026 - The Lampung language belongs to the Austronesian language family, specifically the Western Malayo-Polynesian branch, and forms part of the Lampungic subgroup, which is considered an isolate within this branch due to its distinct phonological retentions and innovations from Proto-Malayo-Polynesian.[78][79] It is characterized by two primary dialects: Lampung Api (also known as the A- or Pesisir dialect), spoken predominantly by the Saibatin ethnic subgroup in the eastern and coastal regions of Lampung Province, and Lampung Nyo (also known as the O- or Abung dialect), used mainly by the Pepadun",Lampung Api,Austronesian
Lampung language — Grokipedia,https://grokipedia.com/page/Lampung_language,"January 17, 2026 - The Lampung language is an Austronesian language of the Malayo-Polynesian branch spoken primarily by the Lampung people in the southern Sumatra province of Lampung, Indonesia.[1] It encompasses two principal varieties—Lampung Api and Lampung Nyo—often classified as dialects or closely related languages, with an estimated 1.5 million native speakers collectively.[2] These varieties exhibit lexical and phonological differences, including variations influenced by contact with neighboring languages, and are traditionally written using the Lampung script, a syllabic system derived from ancient",Lampung Api,Austronesian
Austronesian Music,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Lampung Api,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/channel/UCGAXcH95xpp9X5z3iZDZl6Q,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia. Hope you all enjoy🤗LIKE & SUBSCRIBE + PROMOTE",Lampung Api,Austronesian
"Lampung Api Language (LJP) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/ljp/,It belongs to the Austronesian language family. ... Thanks for your interest in Ethnologue. This information is accessible only on our paid product plans. Looking for more detailed information about Lampung Api?,Lampung Api,Austronesian
