title,link,text,language,family
Lavukaleve language - Wikipedia,https://en.wikipedia.org/wiki/Lavukaleve_language,Lavukaleve is one of the four Central Solomons languages of the Solomon Islands. It is thus assumed to be the descendant of the languages spoken in the Solomon Islands before the spread of the much more numerous Austronesian languages.,Lavukaleve,Central Solomons
Central Solomon languages - Wikipedia,https://en.wikipedia.org/wiki/Central_Solomon_languages,"Central Solomons Lavukaleve - Touo Savosavo - Bilua Savosavo and Bilua, despite being the most distant languages geographically, both split more recently than Lavukaleve and Touo according to Pedrós. Palmer (2018) regards the evidence for Central Solomons as tentative but promising. [2]",Lavukaleve,Central Solomons
"Lavukaleve language. Evangelism tools, church planting resources ...",https://globalrecordings.net/en/language/lvk,"Lavukaleve language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.",Lavukaleve,Central Solomons
AC1-229 - Lavukaleve (or Laumbe) Gospel recordings,https://researchdata.edu.au/ac1-229-lavukaleve-gospel-recordings/,"Full description Lavukaleve (or Laumbe) Gospel Recordings: -- 'This is the Day of Grace' (pts 1& 2) -- 'The Wedding Feast' -- 'The Two Masters' -- Lavukaleve (or Laumbe) - Papuan language of the Russell Islands, Central Solomons. Note on box front states: 'Songs Woodybong NSW (Woodenbong) D.Connelly. Tom (?) Close, 17 October. J.J. Calley (?)' - possibly in Elkin's hand. If still present, it ...",Lavukaleve,Central Solomons
Lavukaleve language and alphabet - Omniglot,https://www.omniglot.com/writing/lavukaleve.htm,"Lavukaleve Lavukaleve is a Central Solomons language spoken by about 1,800 people in the Russell Islands in the Central Province of the Solomon Islands. In the West Russell Islands people of all ages speak Lavukaleve, while in the East Russell Islands there is a shift to Pijin, an English-based creole language spoken in the Solomon Islands, especially among young people.",Lavukaleve,Central Solomons
NA NGULAVI (GUALE HITS) Solomon island local music,https://www.youtube.com/watch?v=R5C-kqJK718,Solomon island local music,Lavukaleve,Central Solomons
Lavukaleve language resources | Joshua Project,https://joshuaproject.net/languages/lvk,Lavukaleve language resources. Listing of people groups speaking Lavukaleve. Lavukaleve dialects and alternate names. Bible and ministry resource availability.,Lavukaleve,Central Solomons
Nabu - Lavukaleve (or Laumbe) Gospel recordings,https://catalog.paradisec.org.au/collections/AC1/items/229,Comments Must be logged in to comment No comments found,Lavukaleve,Central Solomons
Lavukaleve - Words of Life - YouTube,https://www.youtube.com/watch?v=QvuFZZFg24M,Words of Life - Short audio Bible stories and evangelistic messages that explain salvation and give basic Christian teaching. Each program is a customised and culturally relevant selection of ...,Lavukaleve,Central Solomons
Gospel Recordings. | Digital Pasifik,https://digitalpasifik.org/items/730872,"Gospel Recordings. Each language name is followed by name of the speaker. -- Side 1: Lavukaleve (Laumbe) - Papuan language of Russell Island, Central Solomons. -- E.Kiva. (speaker) 'What the Christian believes'. -- Guadalcanal North- -- Gua, Gaobata, Datovitu - Austronesian dialects or communolects of North Guadalcanal Island, The Solomons. -- Gua 'Christ on Substitute': Boroi and Tapuela ...",Lavukaleve,Central Solomons
