title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, [45] are a large collection of peoples who speak Austronesian languages, having settled in Taiwan, maritime Southeast Asia, parts of mainland Southeast Asia, Micronesia, coastal New Guinea, Island Melanesia, Polynesia, and Madagascar. [46][47] They also include indigenous ethnic minorities in Vietnam, Cambodia ...",Likum,Austronesian
Indigenous music of Australia - Wikipedia,https://en.wikipedia.org/wiki/Indigenous_music_of_Australia,"Indigenous music of Australia comprises the music of the Aboriginal and Torres Strait Islander peoples of Australia, intersecting with their cultural and ceremonial observances, through the millennia of their individual and collective histories to the present day. [1][2][3][4] The traditional forms include many aspects of performance and ...",Likum,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia. Hope you all enjoy🤗 ...",Likum,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Austronesian culture includes more than 1200 ethnic groups, across South Asia, Southeast Asia, Taiwan, the Philippines, parts of China, as well as the Pacific as far afield as the Maori in New ...",Likum,Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Austronesian music nowadays refers to the ongoing evolution and fusion of various cultural influences from foreign and neighbouring cultures. These influences have over the centuries introduced new instruments, styles, and genres, blending age-old elements with newer traditions.",Likum,Austronesian
Stream euraxx | Listen to Austronesian traditional music playlist ...,https://soundcloud.com/euraxx/sets/austronesian-traditional-music,"Listen to Austronesian traditional music, a playlist curated by euraxx on desktop and mobile.",Likum,Austronesian
Musical aspects of Austronesian culture - Academia.edu,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,"Musical practices are often overlooked in cultural history, yet they reveal significant connections to the Austronesian cultural expansion across the Indo-Pacific region. By examining specific musical examples like polyphonic singing, various instruments, and dance forms, the study highlights the distinct characteristics of musical traditions in Taiwan compared to those in mainland regions and ...",Likum,Austronesian
"Likum Language (LIB) - L1 & L2 Speakers, Status, Map ... - Ethnologue",https://www.ethnologue.com/language/lib/,"Likum is an endangered indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Likum,Austronesian
YAH CHOSEN PEOPLE | # **THEY ARE STILL THERE | Facebook,https://www.facebook.com/groups/2267844556861945/permalink/4459496201030092/,"They are thought to be among the earliest inhabitants of the Philippines, preceding the Austronesian migrations. Regardless, modern Aeta populations have significant Austronesian admixture and speak Austronesian languages.",Likum,Austronesian
To Sing in Pairs,https://www.areditions.com/to-sing-in-pairs-ot015.html,"By presenting ritual chants of the Pinuyumayan people, one of Taiwan's sixteen Austronesian-speaking ethnic groups, this edition provides a glimpse into little-known aspects of Austronesian music and culture. The Austronesian geographical realm extends southward from Taiwan and includes insular Southeast Asia, the Pacific Islands, and Madagascar, making the Austronesian language family the ...",Likum,Austronesian
