title,link,text,language,family
Lushootseed - Wikipedia,https://en.wikipedia.org/wiki/ISO_639:sno,"3 weeks ago - Music of the First Nations: Tradition and Innovation in Native North America. University of Illinois Press. pp. 35–36. Indiana University, Bloomington (1996). Lushootseed texts: an introduction to Puget Salish narrative aesthetics. Studies in the anthropology of North American Indians.",Lushootseed,Salish
st̕il̕t̕ilib – Songs – Tulalip Lushootseed,https://tulaliplushootseed.com/songs/,"July 31, 2025 - Salish songs are woven through the soul of the Coast Salish culture. People use their songs to help encourage, support and teach traditional aspects of native life, as well as recount history or stories.",Lushootseed,Salish
music room – Tulalip Lushootseed,https://tulaliplushootseed.com/music-room/,"October 12, 2018 - Tulalip Lushootseed, also known as Puget Salish is called dxʷləšucid, xʷəlšucid and txʷəlšucid . It is spoken by most of the tribes around the Salish Sea.",Lushootseed,Salish
Puyallup Tribal Language - Audio/Music | Puget Salish Songs - Zalmai ʔəswəli Zahir,https://www.puyalluptriballanguage.org/audio/puget-salish-songs-ZZ.php,AUDIO · PUGET SALISH SONGS · Zalmai ʔəswəli Zahir · SEE WHAT WE'RE UP TO,Lushootseed,Salish
Film Screening & Performance: Healing Heart of Lushootseed; UW Symphony with Adia S. Bowen | School of Music | University of Washington,https://music.washington.edu/events/2026-02-06/film-screening-performance-healing-heart-lushootseed-uw-symphony-adia-s-bowen,"February 6, 2026 - The performance features soloist and Indigenous soprano Adia (tsi sʔuyuʔaɫ) Bowen, a UW alumna who graduated in June 2025 with degrees in Voice Performance and American Indian Studies · Film Screening: The Healing Heart of Lushootseed Performance: Bruce Ruddell: Healing Heart of the First ...",Lushootseed,Salish
Tulalip Lushootseed – The Language of Puget Sound.,https://tulaliplushootseed.com/,"Tulalip Lushootseed, also known as Puget Salish is called dxʷləšucid, xʷəlšucid and txʷəlšucid . It is spoken by most of the tribes around the Salish Sea.",Lushootseed,Salish
"Lushootseed, Seattle's original language - YouTube",https://www.youtube.com/watch?v=mmXFoVHr55M,"Tribes in our region originally spoke a form of the Salish language, and here in the Seattle area, that language is Southern Lushootseed. Today, there are no... Published November 3, 2022",Lushootseed,Salish
Lushootseed - Academic Kids,https://academickids.com/encyclopedia/index.php/Lushootseed,"Lushootseed, like its neighbour Twana, is in the Southern Coast Salish subgroup of the Salishan family of languages.",Lushootseed,Salish
Lushootseed Language – Squaxin Island Tribe,https://squaxinisland.org/art-and-culture/lushootseed-language/,"The native language of the Squaxin Island people is a southern dialect of Lushootseed, a Puget Salish language.",Lushootseed,Salish
Lushootseed / Puget Sound Salish - Stonington Gallery,https://stoningtongallery.com/tribe/lushootseed-puget-sound-salish/,"April 30, 2021 - Puget Sound Coast Salish · Lummi · Lushootseed language: Duwamish · Kikiallus · Muckleshoot · Nisqually · Nuwhaha · Puyallup · Sahehwamish · Sauk-Suiattle · Skagit · Skykomish · Snohomish · Snoqualamie · Squaxin · Steilacoom · Stillaguamish ·",Lushootseed,Salish
