title,link,text,language,family
Maidu language - Wikipedia,https://en.wikipedia.org/wiki/Maidu_language,"Maidu / ˈmaɪduː /, [3] also Northeastern Maidu or Mountain Maidu, is an extinct Maiduan language of California, United States. It was spoken by the Maidu peoples who traditionally inhabit the mountains east and south of Lassen Peak in the American River and Feather River basins.","Maidu, Northeast",Maiduan
Maidu - Wikipedia,https://en.wikipedia.org/wiki/Maidu,"The Maidu are a Native American people of northern California. They reside in the central Sierra Nevada, in the watershed area of the Feather and American Rivers and in Humbug Valley. In Maiduan languages, maidu means ""person"". Map of Maidu peoples","Maidu, Northeast",Maiduan
Maidu Indian Music and Culture - YouTube,https://www.youtube.com/playlist?list=PL0C46E424D6B6C3BA,"The Maidu Indians of Northern California are divided into a number of groups: the Concow Maidu, the Mountain Maidu; and the Nisenan Maidu. Their traditional ...","Maidu, Northeast",Maiduan
Maidu - California Language Archive,https://cla.berkeley.edu/languages/maidu.html,"Maidu (also known as Northeastern Maidu or Mountain Maidu) is a member of the Maiduan language family, the other members of which are Konkow and Nisenan. Together, the Maiduan languages form one branch of the hypothesized Penutian language family.","Maidu, Northeast",Maiduan
Mountain Maidu - Drumhop,https://drumhop.com/music.php?page=213,"The Maidu Indians live in the northern Sierra Nevadas of California and in the adjacent Sacramento Valley. Anthropologists have divided the Maidu who live in the Sierra Nevadas into three major groups: the Mountain Maidu, who live along the edges of mixed coniferous forests in what now is Plumas and part of Lassen County; the Concow, who live in the foothills and mountains of Butte County; and ...","Maidu, Northeast",Maiduan
Music of the Maidu Indians of California - Archive.org,https://archive.org/details/musicofmaiduindi00dens,"Favorite Music of the Maidu Indians of California by Densmore, Frances, 1867-1957 Publication date 1958 Topics Indians of North America, Maidu Indians Publisher Los Angeles, Southwest Museum Collection internetarchivebooks; americana; inlibrary; printdisabled Contributor Allen County Public Library Genealogy Center Language English Item Size 151.3M","Maidu, Northeast",Maiduan
Maidu Phoneme Inventory — IPA Lookup,https://ipalookup.com/languages/maidu,"The phoneme inventory below shows every sound that functions as a meaningful unit in Maidu — a Maiduan language spoken in North America . With 24 phonemes, it has a relatively small inventory compared to the world's languages.","Maidu, Northeast",Maiduan
Language | National Museum of the American Indian,https://americanindian.si.edu/online-resources/topic-listing?topic=28,"The Art of Storytelling: Maiduan Stories, Songs, and Poems Video Playlist Maidu language keeper Paul Cason tells the Maidu creation story with the help of members of the audience.","Maidu, Northeast",Maiduan
PDF Hunter-gatherers data sheet (put reference #:page # after each entry ...,https://dice.missouri.edu/assets/docs/penutian/Maidu2.pdf,"1.1 Name of society, language, and language family: -Maiduan Maidu, Northeast. Maidu (also Northeastern Maidu, Mountain Maidu) is a severely endangered Maiduan language spoken by Maidu people.","Maidu, Northeast",Maiduan
The VIRAL Chinese Folk Song: Midu Mountain Song 弥渡山歌 ... - YouTube,https://www.youtube.com/watch?v=rZ49TN7kHk4,"You heard it everywhere, now here is the FULL uninterrupted version! 🎧 The viral Chinese folk song that took over the internet: Midu Mountain Song (弥渡山歌).M...","Maidu, Northeast",Maiduan
