title,link,text,language,family
Ambonese Malay - Wikipedia,https://en.wikipedia.org/wiki/Ambonese_Malay,"April 28, 2026 - Ambonese Malay or simply Ambonese is a Malay-based creole language spoken on Ambon Island in the Maluku Islands of Eastern Indonesia. It was first brought by traders from Western Indonesia, then developed when the Dutch Empire colonised the Maluku Islands and was used as a tool by missionaries ...","Malay, Ambonese",Creole
Malay trade and creole languages - Wikipedia,https://en.wikipedia.org/wiki/Malay_trade_and_creole_languages,"May 29, 2026 - Ambonese Malay or simply Ambonese is a Malay-based creole language spoken on Ambon Island in the Maluku Islands of Eastern Indonesia. It was first brought by traders from Western Indonesia, then developed when the Dutch Empire colonised the Maluku Islands and was used as a tool by missionaries ...","Malay, Ambonese",Creole
Rasa Sayang - Wikipedia,https://en.wikipedia.org/wiki/Rasa_Sayang,"March 23, 2026 - ""Rasa Sayange"" is an Ambonese Malay folk song, a Malay creole originating from Maluku, specifically Ambon.","Malay, Ambonese",Creole
Moluccans - Wikipedia,https://en.wikipedia.org/wiki/Moluccans,"May 29, 2026 - Another exception are the Malay-based creoles such as the Ambonese language (also known as Ambonese Malay), spoken mainly on Ambon and the nearby Ceram; and North Moluccan Malay used on the islands of Ternate, Tidore, Halmahera and Sula Islands in North Maluku.","Malay, Ambonese",Creole
Ambonese people - Wikipedia,https://en.wikipedia.org/wiki/Ambonese_people,"April 9, 2026 - The dominant language is Ambonese Malay, also known as Ambonese. It developed as a trade language in the central part of Maluku and is spoken as a second language elsewhere in Maluku. Many Ambonese speak their own regional languages, which are collectively known as bahasa tanah.","Malay, Ambonese",Creole
THE SOUND SYSTEM OF AMBON ESE MALAY,https://scholarspace.manoa.hawaii.edu/server/api/core/bitstreams/a436091c-fa6b-4263-bdb3-d0154e3a6e2b/content,"Lists of abbreviations and symbols, notes, and references follow the text. The variety of Malay spoken on Ambon Island in the Central Moluccas is referred to by its speakers as Malayu Ambong. Its use as a mother-tongue or interethnic means of communication is not restricted to Ambon, however.","Malay, Ambonese",Creole
Ambon - UNESCO Cities of Music,https://citiesofmusic.net/city/ambon/,Music and Ambon City cannot be separated. Music seems to have been the pulse of the movement of a city known as the Ambon Manise because of “musical intuition” which is outwardly embedded in the Ambonese blood and pulse. Then came the expression “Ambonese from the stomach can sing or hum”.,"Malay, Ambonese",Creole
Ambonese Malay creol - YouTube,https://www.youtube.com/watch?v=PBsxszT62EY,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.","Malay, Ambonese",Creole
Ambonese - YouTube Music,https://music.youtube.com/playlist?list=PLQuAJPKM_aLXKFhTQLfolv1b8BoTid5QC,"Listen to Ambonese🫶 on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.","Malay, Ambonese",Creole
Ambonese Malay* - JSTOR,https://www.jstor.org/stable/26337995,"Ambonese Malay (ISO 639-3, also known as Malayu Ambong; van Minde 1997) is spoken by approximately 200,000 speakers in Ambon and other parts of the Central Moluccas in Indonesia (Lewis et al. 2014).","Malay, Ambonese",Creole
