title,link,text,language,family
Mamulique language - Wikipedia,https://en.wikipedia.org/wiki/Mamulique_language,"Mamulique is an extinct Comecrudan language of Nuevo León, Mexico. Called Carrizo (Carrizo de Mamulique) by Jean-Louis Berlandier, it was recorded in a twenty-two-word vocabulary...",Mamulique,Comecrudan
Комекрудские языки — Википедия,https://ru.wikipedia.org/wiki/Комекрудские_языки,"Комекрудские языки, англ. Comecrudan languages — гипотетическая семья исчезнувших индейских языков Северной Америки.",Mamulique,Comecrudan
Mamulique Language (EMM) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/emm,Mamulique is an extinct language of Mexico. It belongs to the Comecrudan language family.,Mamulique,Comecrudan
Comecrudan Language Family – Native-Americans.com,https://native-americans.com/category/native-american-tribes-by-language/comecrudan-language-family/,"Goddard (1979) believes that there is sufficent similarity between Comecrudan, Garza, and Mamulique to consider them part of the same family.",Mamulique,Comecrudan
MusMix - Deep House Music » Скачать новую музыку 2026,https://uzden.net/20800-musmix-deep-house-music.html,"Скачать песню MusMix - Deep House Music, или слушать онлайн бесплатно! Текст песни.",Mamulique,Comecrudan
Comecrudan languages — Wikipedia Republished // WIKI 2,https://wiki2.org/en/Comecrudan_languages,"Comecrudan languages. From Wikipedia, the free encyclopedia. Extinct language family of Texas and Mexico.Mamulique (a.k.a. Carrizo de Mamulique) †. Genetic relationships.",Mamulique,Comecrudan
4 Hours of Ambient & Emotional Indie Game Music to... - YouTube,https://www.youtube.com/watch?v=KuBCTi6NnNM,"There's a mix of chill OST from my favorites indies games (with some surprises). Some songs might be stressful for some people, and I apolopize for this.I re...",Mamulique,Comecrudan
Lenguas comecrudas _ AcademiaLab,https://academia-lab.com/enciclopedia/lenguas-comecrudas/,Comecrudan se refiere a un grupo de lenguas posiblemente relacionadas que se hablan en la parte más meridional de Texas y en el norte de México a lo largo del Río Grande...,Mamulique,Comecrudan
Learn About the Resilient History of the Coahuiltecan... | Texas Happens,https://texashappens.com/learn-about-the-resilient-history-of-the-coahuiltecan-tribe-in-texas/,"The umbrella term “Coahuiltecan languages” covers several poorly documented tongues—some likely isolates, some possibly related (e.g., Comecrudo/Garza/Mamulique sometimes grouped...",Mamulique,Comecrudan
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Mamulique,Comecrudan
