title,link,text,language,family
Siouan languages - Wikipedia,https://en.wikipedia.org/wiki/Siouan_languages,"Siouan languages can be grouped into Western Siouan languages and Catawban. The Western Siouan languages are typically subdivided into Missouri River languages (such as Crow and Hidatsa), Mandan, Mississippi River languages (such as Dakota, Chiwere - Ho-Chunk, and Dhegihan languages), and Ohio Valley Siouan languages (Ofo, Biloxi, and Tutelo).",Mandan,Siouan-Catawban
Mandan - Wikipedia,https://en.wikipedia.org/wiki/Mandan,"The Mandan language or Nų́ų́ʔetaa íroo belongs to the Siouan-Catawban language family. It was initially thought to be closely related to the languages of the Hidatsa and the Crow. However, since the Mandan language has been in contact with Hidatsa and Crow for many years, the exact relationship between Mandan and other Siouan languages (including Hidatsa and Crow) has been obscured. For ...",Mandan,Siouan-Catawban
Songs Of The Mandan and Hidatsa - Drumhop,https://www.drumhop.com/music.php?page=106,"They are Siouan tribes. This study was begun at Elbowoods, North Dakota, in 1912, under the auspices of the North Dakota Historical Society and continued in 1915 and 1918 for the Bureau of American Ethnology of the Smithsonian Institution which published the result. This publication contains transcriptions of 110 songs.",Mandan,Siouan-Catawban
Siouan-Catawban Language Family - aaanativearts.com,https://www.aaanativearts.com/category/siouan-catawban-language-family,"Siouan-Catawban Language Family Alternate Names: Siouan proper, Western Siouan,Central Siouan, Iowa-Oto-Missouri, Southeastern Siouan, Eastern Siouan, and Catawban. The Siouan languages are a Native American language family of North America, and the second largest indigenous language family in North America, after Algonquian. The Siouan language family is related to the Catawban language ...",Mandan,Siouan-Catawban
"""Mandan and Hidatsa Music"" by Smithsonian Institution, Bureau of ...",https://commons.und.edu/indigenous-gov-docs/10/,"This ethnographic study, dated January 1, 1924, sponsored by the Smithsonian Institution Bureau of Ethnography presents information about the social and ceremonial significance of music to the Mandan and Hidatsa tribes as collected by anthropologist Frances Densmore from the Fort Berthold Reservation in 1912, 1915, and 1918. This study was conducted at the behest of the State Historical ...",Mandan,Siouan-Catawban
History of the Siouan Languages - YouTube,https://www.youtube.com/watch?v=zAU0oNaujFA,"History of the Siouan Languages, Proto-Siouan, Proto-Catawban, Mississippi Siouan, Missouri Siouan, Mandan, Ohio Siouan, Dacotan, Chiwere-Winnebago, Dhegihan...",Mandan,Siouan-Catawban
PDF Mandan and Hidatsa music - Archive.org,https://archive.org/download/mandanhidatsamus00dens/mandanhidatsamus00dens.pdf,"The music of the latter tribes has been analyzed in previous works,^ and a comparative statement of results is presented in this volume. The songs of the Mandan and Hidatsa were recorded on the Fort Berthold Reservation in North Dakota during the summers of 1912 and 1915, an additional trip being made in 1918 to complete the material.",Mandan,Siouan-Catawban
Comparative Siouan Dictionary,https://csd.clld.org/,"Siouan-Catawban Catawba Siouan Missouri Valley Crow Hidatsa Central Siouan Mandan Mississippi Valley Dakotan (Lakota, Dakota (Santee-Sisseton, Yankton-Yanktonais), Assiniboine, Stoney) Chiwere-Winnebago (Chiwere (Iowa-Otoe), Hoocąk) Dhegiha (Kansa, Osage, Omaha-Ponca, Quapaw) Ohio Valley Tutelo Ofo-Biloxi",Mandan,Siouan-Catawban
Siouan Language Group of Native Americans - Legends of America,https://www.legendsofamerica.com/siouan-language/,"The Siouan language once consisted of 17 dialects, many of which are either extinct or severely endangered today. The Catawba, Mandan, Iowa-Oto, Kansa, Osage, Biloxi, Ofo, and Tutelo languages are already extinct.",Mandan,Siouan-Catawban
North Dakota: Folklife in Your State (The American Folklife Center ...,https://www.loc.gov/folklife/states/northdakota.html,"North Dakota The collections of the American Folklife Center contain rich holdings of Native American materials, including unique recordings from North Dakota of Mandan and Hidatsa tribal songs, and Lakota songs recorded at Nishu, Standing Rock, and other Siouan communities.",Mandan,Siouan-Catawban
