title,link,text,language,family
Marangis language - Wikipedia,https://en.wikipedia.org/wiki/Marangis_language,"January 1, 2026 - Marangis a.k.a. Watam is a Ramu language of Papua New Guinea. Like Bosmun, it shares a number of irregular plural markers with the Lower Sepik languages, supporting the proposal of a Ramu – Lower Sepik language family.",Marangis,Ramu-Lower Sepik
Ramu–Lower Sepik languages - Wikipedia,https://en.wikipedia.org/wiki/Ramu–Lower_Sepik_languages,"July 19, 2024 - The family was proposed by William A. Foley and accepted by Malcolm Ross. Its two branches, Ramu and Lower Sepik, had belonged to Donald Laycock's now-defunct 1973 Sepik–Ramu proposal. If related, they are not close.",Marangis,Ramu-Lower Sepik
Ramu-Lower Sepik languages - Sorosoro Sorosoro,https://www.sorosoro.org/en/ramu-lower-sepik-languages/,"June 7, 2010 - Lower-Sepik Branch · Murik · Kopar · Pondo sub-group · Angoram · Chambri · Tabriak · Yimas · Ramu Branch · Lower Ramu · Ottilien sub-group · Mbore · Awar · Bosmun · Kayan · Marangis · Misegian or Mikarew sub group · Aruamu · Kire · Sepen · Keram or Grass sub-group ·",Marangis,Ramu-Lower Sepik
Marangis,https://lingweb.eva.mpg.de/channumerals/Marangis.htm,>> [ Sepik ] >> [ Ramu-Lower-Sepik ] >> [ Torricelli ] >> [ West Papuan ] >> [ Other Papuan languages ],Marangis,Ramu-Lower Sepik
"Marangis Language (WAX) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/wax/,Marangis is a stable indigenous language of Papua New Guinea. It belongs to the Ramu-Lower Sepik language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Marangis,Ramu-Lower Sepik
garamut drum sepik ramu area new guinea,https://drummuseum.com/New-Guinea/sepik-ramu-area-garamut-drum-new-guinea.html,"Informations about garamut drums ... slit-gong in Tangu, New Guinea. Ethnos 24.pp.136-150 Chenoweth, Vida (1976) : Musical Instruments of Papua New Guinea Craig, Barry : Slit Gongs of the Sepik and Madang Provinces....",Marangis,Ramu-Lower Sepik
About: Marangis language,https://dbpedia.org/page/Marangis_language,"Marangis a.k.a. Watam is a Ramu language of Papua New Guinea. Like Bosmun, it shares a number of irregular plural markers with the Lower Sepik languages, supporting the proposal of a Ramu – Lower Sepik language family.",Marangis,Ramu-Lower Sepik
Ramu-Lower Sepik languages,https://en-academic.com/dic.nsf/enwiki/1834969,"Based on oral histories of the Lower Sepik peoples, which record that Yimas is spoken near their homeland, as well as the conservative nature of Yimas itself, Ross suggests that the speakers ofProto Ramu–Lower Sepik may have lived in the northern ...",Marangis,Ramu-Lower Sepik
Ramu-Lower Sepik | Ethnologue Free,https://www.ethnologue.com/subgroup/2204/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjE2MS4xMTUuMjQ0IiwiY291bnRyeSI6IlVTIiwidXNlcl9lbWFpbCI6IiIsImlzX2NvbnRyaWJ1dG9yIjpmYWxzZSwiaXNfYXV0aGVudGljYXRlZCI6ZmFsc2UsInBob3RvX3VybCI6IiIsInByb2ZpbGVfbmFtZSI6IiIsInJvbGUiOiIiLCJsZXZlbCI6IkZyZWUiLCJuZXR3b3JrX25hbWUiOiIiLCJyZWN1cmx5X2lkIjoiIiwidHlwZSI6IkZyZWUiLCJleHAiOjE3Mzg2MzMxNDgsImlhdCI6MTczODM3Mzk0OH0.a7jvaATre_E3pKIzAp0320_TUyDpCjRs04k3HIlEqWo,"Lower Sepik 6 · Angoram 1 · Angoram aog, a language of Papua New Guinea · Chambri 1 · Chambri can, a language of Papua New Guinea · Karawari 2 · Karawari tzx, a language of Papua New Guinea · Yimas yee, a language of Papua New Guinea · Nor 2 · Kopar xop, a language of Papua New Guinea · Murik mtf, a language of Papua New Guinea · Ramu 25 ·",Marangis,Ramu-Lower Sepik
Ramu–Lower Sepik - Wikidata,https://www.wikidata.org/wiki/Q3217471,Template:Ramu–Lower Sepik languages · 1 reference · inferred from · Template:Ramu–Lower Sepik languages · topic's main category · Category:Ramu–Lower Sepik languages · 0 references · Art & Architecture Thesaurus ID · 300021897 · 0 references ·,Marangis,Ramu-Lower Sepik
