title,link,text,language,family
Maritsauá language - Wikipedia,https://en.wikipedia.org/wiki/Maritsauá_language,"Maritsauá is an extinct Tupian language of the state of Mato Grosso, in the Amazon region of Brazil.From Wikipedia, the free encyclopedia. Extinct Tupian language of Brazil.",Maritsauá,Tupian
Proto-Tupian language - Wikipedia,https://web.archive.org/web/20250402232702/https://en.wikipedia.org/wiki/Proto-Tupian,"Proto-Tupian (PT) is the reconstructed common ancestor of all the Tupian languages. It consists, therefore, of a hypothetical language, reconstructed by the comparative method from data...",Maritsauá,Tupian
Maritsauá is an extinct language of Brazil. It belongs to the Tupian...,https://www.ethnologue.com/language/msp/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuMTQ0IiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwibGV2ZWwiOiJGcmVlIiwicHJvZmlsZV9uYW1lIjoiIiwibmV0d29ya19uYW1lIjoiIiwicmVjdXJseV9pZCI6IiIsInJvbGUiOiIiLCJwaG90b191cmwiOiIiLCJ0eXBlIjoiRnJlZSIsInVzZXJfZW1haWwiOiIiLCJleHAiOjE3MzMzNjUwMDMsImlhdCI6MTczMzEwNTgwM30.nrBLPmdKP63IXcK8aJ3wxUGEI3HYP43bQD7MMOOJGUY,This graph shows the vitality of Maritsauá. Institutional — The language has been developed to the point that it is used and sustained by institutions beyond the home and community.,Maritsauá,Tupian
Hovhannisyan Music - Qaminer / Ветры скачать... | im-mp3.net,https://im-mp3.net/7526-hovhannisyan-music-qaminer-vetry.html,Исполнитель: Hovhannisyan Music. Слушали: 1 515. Размер: 8.84 MB.,Maritsauá,Tupian
MusMix - Deep House Music » Скачать новую музыку 2026,https://uzden.net/20800-musmix-deep-house-music.html,"Скачать песню MusMix - Deep House Music, или слушать онлайн бесплатно! Текст песни.",Maritsauá,Tupian
DJ Benny Music - Наше детство - Скачать новую музыку 2026,https://muzdrop.net/2472-dj-benny-music-nashe-detstvo.html,Предлагаем скачать песню DJ Benny Music - Наше детство бесплатно с сайта Muzdrop.net и слушайте онлайн в хорошем mp3 качестве.,Maritsauá,Tupian
Tropical Chillout Grooves Let the Waves & Lounge Music Soothe...,https://www.youtube.com/watch?v=6h-sEV6uNxo,Listen to the Playlist on Spotify: https://open.spotify.com/playlist/4rDQKyOlWJJIpAxwGLtUpA?si...,Maritsauá,Tupian
Wikitongues | xiy,https://wikitongues.org/languages/xiy/,Tupian. EGIDS Status. 8b - Nearly extinct.Maritsauá. msp. No resources found to display – Yet.,Maritsauá,Tupian
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Maritsauá,Tupian
"Ретро FM — лучшая музыка 70х, 80х и 90х, нескольких поколений...",https://retrofm.ru/,"Лучшая музыка 70х, 80х и 90х онлайн. Слушайте любимые песни бесплатно и в хорошем качестве на официальном сайте Ретро FM. Золотые хиты в прямом эфире...",Maritsauá,Tupian
