title,link,text,language,family
Matlatzinca - Wikipedia,https://en.wikipedia.org/wiki/Matlatzinca,"October 22, 2020 - Matlatzinca or Ocuiltec may refer to: · Matlatzinca people, an ethnic group of Mexico · Matlatzinca languages, a group of Oto-Manguean languages · Category: · Disambiguation pages · Search · Matlatzinca · 1 language · Add topic","Matlatzinca, Atzingo",Otomanguean
Matlatzincan languages - Wikipedia,https://en.wikipedia.org/wiki/Matlatzinca_languages,"January 1, 2026 - The Matlatzincan languages are a pair of closely related branches of the Oto-Manguean language family in the Oto-Pamean group, spoken in Central Mexico: Tlahuica/Ocuiltec in one and Matlatzinca-Pirinda in the other. They were variously understood as a single macrolanguage or as two distinct ...","Matlatzinca, Atzingo",Otomanguean
Matlatzinca language - Wikipedia,https://en.wikipedia.org/wiki/Matlatzinca_language,"January 1, 2026 - Matlatzinca, or more specifically San Francisco Matlatzinca, is an endangered Oto-Manguean language of Western Central Mexico. The name of the language in the language itself is pjiekak'joo. The term ""Matlatzinca"" comes from Nahuatl, meaning ""lords of the net"".","Matlatzinca, Atzingo",Otomanguean
"Matlatzinca, Atzingo Language (OCU) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/ocu/,"Atzingo Matlatzinca is an endangered indigenous language of Mexico. It belongs to the Otomanguean language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only.","Matlatzinca, Atzingo",Otomanguean
Matlatzincan languages,https://grokipedia.com/page/matlatzincan_languages,"The Matlatzincan languages, also referred to as the Atzincan branch, form a subgroup of the Oto-Pamean languages within the larger Oto-Manguean family, comprising two closely related but mutually unintelligible sister languages: Matlatzinca (also known as San Francisco Matlatzinca) and Tlahuica (also called Ocuilteco or Atzingo Matlatzinca).[1][2] These languages descend from a common ancestor spoken around the 5th century AD by Matlatzinca tribes in Mexico's Toluca Valley, and they are distantly related to other Oto-Pamean languages such as Mazahua and Otomi.[1] Matlatzinca is spoken exclusiv","Matlatzinca, Atzingo",Otomanguean
"Matlatzinca, Atzingo | Ethnologue Free",https://www.ethnologue.com/language/ocu/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjE2MS4yMTIuNjAiLCJpc19jb250cmlidXRvciI6ZmFsc2UsImlzX2F1dGhlbnRpY2F0ZWQiOmZhbHNlLCJsZXZlbCI6IkZyZWUiLCJwcm9maWxlX25hbWUiOiIiLCJuZXR3b3JrX25hbWUiOiIiLCJyZWN1cmx5X2lkIjoiIiwicm9sZSI6IiIsInBob3RvX3VybCI6IiIsInR5cGUiOiJGcmVlIiwidXNlcl9lbWFpbCI6IiIsImV4cCI6MTcyMTkzNTk1MSwiaWF0IjoxNzIxOTMyMzUxfQ.oDtsDLILTnh4PmXQLyMJdF_PbAqjT5J-92vKK18Whec,"Atzingo Matlatzinca is an endangered indigenous language of Mexico. It belongs to the Otomanguean language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only.","Matlatzinca, Atzingo",Otomanguean
Otomanguean | Ethnologue Free,https://www.ethnologue.com/subgroup/3810/,"Matlatzinca, Atzingo ocu, a language of Mexico · Matlatzinca, San Francisco mat, a language of Mexico · Mazahua 2 · Mazahua, Central maz, a language of Mexico · Mazahua, Michoacán mmc, a language of Mexico · Otomi 9 · Otomi, Eastern Highland otm, a language of Mexico ·","Matlatzinca, Atzingo",Otomanguean
Matlatzinca language,https://grokipedia.com/page/matlatzinca_language,"This community serves as the core ... primarily in San Juan Atzingo, Ocuilan municipality, State of Mexico, roughly 80 kilometers east of Oxtotilpan. Together, these form the Matlatzincan subgroup within the Oto-Pamean branch of the Otomanguean family, descending from a common ...","Matlatzinca, Atzingo",Otomanguean
"Matlatzinca Language and the Matlatzinca Indian Tribe (Matlazinca, Pirinda)",https://www.native-languages.org/matlatzinca.htm,AILLA: Matlatzinca: Archive of Matlatzinca language recordings available for download. Matlatzinca (San Francisco de los Ranchos) The Lord's Prayer translated into the Matlatzinca language. Matlatzinka Placenames Chart of indigenous Hnahnu and Matlatzinca place names in Mexico.,"Matlatzinca, Atzingo",Otomanguean
Matlatzinca-Ocuilteco | Ethnologue Free,https://www.ethnologue.com/subgroup/3822/,"Western Otomanguean 37 · Oto-Pame-Chinantecan 31 · Oto-Pamean 17 · Matlatzinca-Ocuilteco · Matlatzinca, Atzingo ocu, a language of Mexico · Matlatzinca, San Francisco mat, a language of Mexico · We've updated our approach to ensuring free Ethnologue access remains available to those who ...","Matlatzinca, Atzingo",Otomanguean
