title,link,text,language,family
Mazatecan languages - Wikipedia,https://en.wikipedia.org/wiki/Mazatecan_languages,"March 1, 2026 - Eloxochitlán Mazatec (aka or Jerónimo Mazatec (34,000 speakers in San Jerónimo Tecóatl, San Lucas Zoquiapan, Santa Cruz Acatepec, San Antonio Eloxochitlán, and many other villages.","Mazatec, San Jerónimo Tecóatl",Otomanguean
Tecóatl Mazatec - Wikipedia,https://en.wikipedia.org/wiki/Tecóatl_Mazatec,"January 1, 2026 - Tecóatl Mazatec, also known as Eloxochitlán Mazatec and Northern Highland Mazatec, is a Mazatecan language spoken in the Mexican states of Oaxaca and Puebla, notably in the towns of San Jerónimo Tecóatl, Eloxochitlán de Flores Magón, San Lucas Zoquiapam, Santa Cruz Acatepec, San Pedro ...","Mazatec, San Jerónimo Tecóatl",Otomanguean
"Mazatec, San Jerónimo Tecóatl Language (MAA) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/maa/,It belongs to the Otomanguean language family. ... Thanks for your interest in Ethnologue. This information is accessible only on our paid product plans. Looking for more detailed information about San Jerónimo Tecóatl Mazatec?,"Mazatec, San Jerónimo Tecóatl",Otomanguean
Mazatecan languages — Grokipedia,https://grokipedia.com/page/Mazatecan_languages,"January 14, 2026 - Highland Mazatec varieties, spoken in the Sierra Mazateca highlands of northern Oaxaca and southern Puebla states in Mexico, form the demographic and linguistic core of the Mazatecan branch of the Popolocan subgroup within the Otomanguean family. These varieties are distinguished by their elevated terrain habitat, contrasting with lowland forms, and exhibit a dialect continuum with varying degrees of mutual intelligibility. Primary centers include Huautla de Jiménez, where Huautla Mazatec predominates, and San Jerónimo Tecóatl, associated with Tecóatl Mazatec or Northern Highland Mazatec.[","Mazatec, San Jerónimo Tecóatl",Otomanguean
"Mazatec, Tecoatl: Tecoatl-Elox-Zoquiapan language. Evangelism tools, church planting resources, Christian songs and audio bible study materials. Download free MP3s.",https://globalrecordings.net/en/language/4675,Download Mazateco de San Jeronimo Tecoatl Mazatec Lucas Zoquiapam - The Lost Sheep.mp3,"Mazatec, San Jerónimo Tecóatl",Otomanguean
Mazatecan languages,https://en-academic.com/dic.nsf/enwiki/1069749,"Eloxochitlán Mazatec (aka Jeronimo Mazatec; 34,000 speakers in San Jerónimo Tecóatl, San Lucas Zoquiapan, Santa Cruz Acatepec, San Antonio Eloxochitlán, and many other villages.","Mazatec, San Jerónimo Tecóatl",Otomanguean
The Oto-Manguean or Otomanguean languages ...,https://docs.verbix.com/Languages/Otomanguean,Mazatec A · [maa] San Jerónimo Tecóatl Mazatec · [vmp] Soyaltepec Mazatec · Mazatec B · Central East Baja Mazatec · [vmy] Ayautla Mazatec · [mzi] Ixcatlán Mazatec · [maq] Chiquihuitlán Mazatec · [maj] Jalapa De Díaz Mazatec · Mazatec C · [mau] Huautla Mazatec ·,"Mazatec, San Jerónimo Tecóatl",Otomanguean
"Mazatec, San Jeronimo Tecoatl in Mexico people group profile | Joshua Project",https://joshuaproject.net/people_groups/14693/MX,"Mazatec is a language spoken by a Mazatecan tribe in the southern Mexican state of Oaxaca. All the Mazatec groups live in the Sierra Mazatecas. There are several dialects of Mazatec, one of which is San Jeronimo Tecoatl.","Mazatec, San Jerónimo Tecóatl",Otomanguean
Mazatec Language and the Mazateco Indian Tribe (Mazateca),http://www.native-languages.org/mazatec.htm,Mazateco de Huautla Prayer Mazateco de San Felipe de Jalapa de Díaz Prayer: Translations of Christian prayers into the Mazatec languages. Language Museum: Mazateco Huautla de Jimenez: Mazateco de San Jeronimo Tecoatl Mazateco de San Juan Chiquihuitlan: Mazatec translations of several Biblical ...,"Mazatec, San Jerónimo Tecóatl",Otomanguean
Mushroom Ceremony of the Mazatec Indians of Mexico | Smithsonian Folkways Recordings,https://folkways.si.edu/maria-sabina/mushroom-ceremony-of-the-mazatec-indians-of-mexico/american-indian-sacred/music/album/smithsonian,"Recorded by V. P. & R. G. Wasson in Huautla de Jiménez, in the Mazatec Mountains in the northern corner of the State of Oaxaca, July 21, 1956. Updated liner notes include complete lyric transcriptions. Grabado por V. P. & R. G. Wasson en Huautla de Jiménez, en las montañas Mazatecas …","Mazatec, San Jerónimo Tecóatl",Otomanguean
