title,link,text,language,family
Kanowit language - Wikipedia,https://en.wikipedia.org/wiki/Kanowit_language,"The Kanowit language, also called Serau Tet Kanowit (language of the Kanowit people), is an Austronesian language spoken in Sarawak, Malaysia on the island of Borneo. It is mutually intelligible with the Tanjong (alternatively spelled Tanjung) language, which is spoken even further upriver near the town of Kapit. Tanjong may be a separate language from Kanowit. However, both languages ...","Melanau, Kanowit-Tanjong",Austronesian
Melanau people - Wikipedia,https://en.wikipedia.org/wiki/Melanau_people,"Melanau or problematic Kajang-speaking tribes such as the Sekapan, the Rajang, the Tanjung, and the Kanowit gradually moved and assimilated into Dayak migrations settling in the Rajang. The Melanau people were regarded as a sub-group of the purported Klemantan people. [4]","Melanau, Kanowit-Tanjong",Austronesian
Melanau Traditional Music - YouTube,https://www.youtube.com/watch?v=_KbqsCXGJWM,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.","Melanau, Kanowit-Tanjong",Austronesian
"Melanau, Kanowit-Tanjong Language (KXN) - L1 & L2 ... - Ethnologue",https://www.ethnologue.com/language/kxn/,Kanowit-Tanjong Melanau is a stable indigenous language of Malaysia. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,"Melanau, Kanowit-Tanjong",Austronesian
"Lagu dalam bahasa Melanau, Kanowit-Tanjong di Malaysia",https://www.youtube.com/watch?v=Up4QU_MF3Bg,"ULokasi di Malaysia:Sarawak: Bahagian Sibu, tengah Sungai Rejang. Dialek Kanowit ke hilir dari dialek Tanjong.Nama lain untuk Melanau, Kanowit-Tanjong:Kanowi...","Melanau, Kanowit-Tanjong",Austronesian
"Melanau, Tanjong-Kanowit language - globalrecordings.net",https://globalrecordings.net/en/language/kxn,"Words of Life (in Melanau, Tanjong-Kanowit: Rajang) Short audio Bible stories and evangelistic messages that explain salvation and give basic Christian teaching. Each program is a customised and culturally relevant selection of scripts, and may include songs and music.","Melanau, Kanowit-Tanjong",Austronesian
"Melanau, Tanjong-Kanowit: Rajang language - Global Recordings Network",https://globalrecordings.net/en/language/599,"Melanau, Tanjong-Kanowit: Rajang language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Melanau, Kanowit-Tanjong",Austronesian
Kanowit-Tanjong Melanau - kxn (Austronesian) - PeopleGroups.org,https://www.peoplegroups.org/language/kxn/,"Kanowit-Tanjong Melanau (kxn) is part of the Austronesian family and Austronesian, Malayo-Polynesian, North Borneo, Melanau-Kajang, Melanau class.","Melanau, Kanowit-Tanjong",Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Austronesian music nowadays refers to the ongoing evolution and fusion of various cultural influences from foreign and neighbouring cultures. These influences have over the centuries introduced new instruments, styles, and genres, blending age-old elements with newer traditions.","Melanau, Kanowit-Tanjong",Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and ... - JSTOR,https://www.jstor.org/stable/j.ctt46mvnd,"Austronesian Soundscapes is a collection of essays on Austronesian musics that transcends disciplinary frontiers in the humanities and social sciences. In all of Austronesia, music plays a crucial role in the negotiation of cultural identities; yet research on the diversity of the Austronesian cultural belt's music has hitherto been rather sparse.","Melanau, Kanowit-Tanjong",Austronesian
