title,link,text,language,family
Miao people - Wikipedia,https://en.wikipedia.org/wiki/Miao_people,"Following the communist takeover of Laos in 1975, a large group of Hmong refugees resettled in several Western nations, mainly in the United States, France, and Australia. Miao is a Chinese term referring to many groups that have their own autonyms such as Hmong, Hmu, Xong (Qo-Xiong), and A-Hmao.","Miao, Northern Mashan",Hmong-Mien
Hmong–Mien languages - Wikipedia,https://en.wikipedia.org/wiki/Hmong–Mien_languages,"Meo, Hmu, Mong, Hmao, and Hmong are local names for Miao, but since most Laotian refugees in the United States call themselves Hmong/Mong, this name has become better known in English than the others in recent decades.","Miao, Northern Mashan",Hmong-Mien
Mashan Miao language - Wikipedia,https://en.wikipedia.org/wiki/Mashan_Miao_language,"Mang, or Mashan Miao also known as Mashan Hmong, is a Miao language of China, spoken primarily in Ziyun Miao and Buyei Autonomous County, southwestern Guizhou province, southwest China.","Miao, Northern Mashan",Hmong-Mien
"Miao, Northern Mashan language. Evangelism tools, church ...",https://globalrecordings.net/en/language/hmp,"Miao, Northern Mashan language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Miao, Northern Mashan",Hmong-Mien
"Miao People's Ancient Ethnic Song ""Maple Song"" | Chinese ...Hmong/Miao songs - YouTube MusicMiao (Hmong) Music (music genre) | WorldMusicMiao, Northern Mashan Language (HMP) – L1 & L2 Speakers ...Miao people - WikipediaHmong–Mien languages - WikipediaMiao, Northern Mashan language. Evangelism tools, church ...",https://www.youtube.com/watch?v=b83_E2mrPCw,"Apr 28, 2024 · Some sub-groups of the Miao, most notably the Hmong people, have migrated out of China into Southeast Asia (Myanmar, Northern Vietnam, Laos, and Thailand). All songs were found on Youtube, all credit goes to their rightful owners and song makers. I do not take any credit. Miao (also called Hmong) music centers on the lusheng (or qeej), a bamboo multi-pipe reed instrument whose multiple pipes sound simultaneously, producing chord-like clusters. It belongs to the Hmong-Mien language family and is part of the Hmong macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. Following the communist takeover of Laos in 1975, a large group of Hmong refugees resettled in several Western nations, mainly in the United States, France, and Australia. Miao is a Chinese term referring to many groups that have their own autonyms such as Hmong, Hmu, Xong (Qo-Xiong), and A-Hmao. Meo, Hmu, Mong, Hmao, and Hmong are local names for Miao, but since most Laotian refugees in the United States call themselves Hmong/Mong, this name has become better known in English than the others in recent decades. Miao, Northern Mashan language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Miao, Northern Mashan",Hmong-Mien
Miao (Hmong) Music (music genre) | WorldMusic,https://worldmusic.heuron.com/en/genres/miao-music,"Miao (also called Hmong) music centers on the lusheng (or qeej), a bamboo multi-pipe reed instrument whose multiple pipes sound simultaneously, producing chord-like clusters.","Miao, Northern Mashan",Hmong-Mien
"Miao, Northern Mashan Language (HMP) – L1 & L2 Speakers ...",https://www.ethnologue.com/language/hmp/,"It belongs to the Hmong-Mien language family and is part of the Hmong macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.","Miao, Northern Mashan",Hmong-Mien
"Miao, Northern Mashan | Ethnologue Free",https://www.ethnologue.com/language/hmp,Northern Mashan Miao is a stable indigenous language of China. It belongs to the Hmong-Mien language family and is part of the Hmong macrolanguage.,"Miao, Northern Mashan",Hmong-Mien
Glottolog 5.2 - Nuclear Hmongic,https://glottolog.org/resource/languoid/id/nucl1720,"Northern Mashan Hmong.Ratliff, Martha 1997. Hmong-Mien demonstratives and pattern persistence.","Miao, Northern Mashan",Hmong-Mien
"Miao, Northern Mashan language resources | Joshua Project",https://joshuaproject.net/languages/hmp,"Listing of people groups speaking Miao, Northern Mashan. Miao, Northern Mashan dialects and alternate names. Bible and ministry resource availability.","Miao, Northern Mashan",Hmong-Mien
