title,link,text,language,family
"Miao, Northern Qiandong",https://worldmission.media/languages-of-the-world/miao-northern-qiandong,"Miao, Northern Qiandong, a language of the Hmong-Mien family, is spoken in Southeastern Guizhou, China, with an estimated 400,000 speakers. This language has a rich cultural history and is known for its unique tonal system.","Miao, Northern Qiandong",Hmong-Mien
Hmong-Mien | Ethnologue Free,https://www.ethnologue.com/subgroup/813/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI4Ny4yNTAuMjI0LjIxNiIsImNvdW50cnkiOiIiLCJ1c2VyX2VtYWlsIjoiIiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwicGhvdG9fdXJsIjoiIiwicHJvZmlsZV9uYW1lIjoiIiwicm9sZSI6IiIsImxldmVsIjoiRnJlZSIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJ0eXBlIjoiRnJlZSIsImV4cCI6MTczMzkyNzQxNywiaWF0IjoxNzMzNjY4MjE3fQ.-N1JhCwZirE2seL5B2MrCR_2NQGsLxbCWseoM5kxFIk,"Hmong-Mien. Subgroup of 39 languages.Miao, Northern Mashan hmp, a language of China. Hmong Dô hmv, a language of Viet Nam.","Miao, Northern Qiandong",Hmong-Mien
Northern Qiandong Miao - hea (Hmong-Mien) - PeopleGroups.org,https://peoplegroups.org/language/hea/,"Northern Qiandong Miao – hea is in the Hmong-Mien family, included in Hmong-Mien, Hmongic, Qiandong language class.Northern Qiandong Miao speaking People Groups across the world: Fast Facts: Types.","Miao, Northern Qiandong",Hmong-Mien
Grambank - Language Northern Qiandong Miao,https://grambank.clld.org/languages/nort2747,Family: Hmong-Mien /. Language Northern Qiandong Miao. Feature id.Miáo yǔ táijiāng huà cānkǎo yǔfǎ.,"Miao, Northern Qiandong",Hmong-Mien
"Miao, Northern Qiandong | Languages and Nationalities of China",https://minzuyuyan.com/en/node/4105,"Miao, Northern Qiandong. Nationality Classification. 苗族 Hmong (Miao).","Miao, Northern Qiandong",Hmong-Mien
Hmong-Mien languages - Academic Kids,https://academickids.com/encyclopedia/Hmong-Mien_languages,The Hmong-Mien or Miao-Yao languages are a language family of southern China and Southeast Asia.Hmong (Mandarin Miáo) and Mien (Mandarin Yáo) are clearly distinct. The poorly known She language may be closest to Mien.,"Miao, Northern Qiandong",Hmong-Mien
Glottolog 5.3 - Eastern Qiandong Miao,https://glottolog.org/resource/languoid/id/east2370,"Northern Qiandong Miao.Miao, Eastern Qiandong (hmq-hmq) = 6a* (Vigorous). Language of recognized nationality: Miao.","Miao, Northern Qiandong",Hmong-Mien
Wikitongues | hea,https://wikitongues.org/languages/hea/,"Linguistic genealogy. Hmong-Mien. Miao, Northern Qiandong resources. Videos. Submit a video.","Miao, Northern Qiandong",Hmong-Mien
Operation China,https://people-groups.asiaharvest.org/China/chinaPeoples/H/HmuNorthern.pdf,"Chientung Miao, Hmu, Northern Qiandong Miao. Population Source: 1,250,000 (1995 Wang Fushi – 1990 figure)Status: Officially included under Miao. Language: Hmong-Mien, Hmu is the city of Kaili.","Miao, Northern Qiandong",Hmong-Mien
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.","Miao, Northern Qiandong",Hmong-Mien
