title,link,text,language,family
Pinotepa Mixtec - Wikipedia,https://en.wikipedia.org/wiki/Pinotepa_Mixtec,"December 15, 2024 - Pinotepa Mixtec is spoken in a large number of towns: Pinotepa de Don Luis, San Antonio Tepetlapa, San Francisco Sayultepec, San Juan Atoyac, San Juan Jicayán, San Pedro Tulixtlahuaca, Santa Cruz Itacuán, Santa María Jicaltepec, San Antonio Tepetlapa, San Juan Cacahuatepec, San Miguel Tlacamama, San Pedro Jicayán, San Sebastian Ixcapa, Santiago Pinotepa Nacional...","Mixtec, Pinotepa Nacional",Otomanguean
Costa Region - Wikipedia,https://en.wikipedia.org/wiki/Costa_Region,"January 7, 2026 - The population includes Mestizos and Afro-Mexicans, as well as indigenous Mixtec, Amuzgo, Chatino, Chontal, Zapotec peoples. The famous Oaxacan troubadour Álvaro Carrillo was born in San Juan Cacahuatepec. Important towns or municipalities include: Pinotepa Nacional, Pochutla, Puerto Escondido, ...","Mixtec, Pinotepa Nacional",Otomanguean
"Mixtec, Pinotepa Nacional Language (MIO) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/mio/,Pinotepa Nacional Mixtec is a stable indigenous language of Mexico. It belongs to the Otomanguean language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,"Mixtec, Pinotepa Nacional",Otomanguean
"Pinotepa Nacional Mixtec language. Evangelism tools, church planting resources, Christian songs and audio bible study materials. Download free MP3s.",https://globalrecordings.net/en/language/mio,"Pinotepa Nacional Mixtec language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Mixtec, Pinotepa Nacional",Otomanguean
"Mixteco, Pinotepa Nacional in Mexico people group profile | Joshua Project",https://joshuaproject.net/people_groups/11394/MX,"Despite the movement of younger generations to cities both in Mexico and the United States to study and work, the Pinotepa Mixtecos have retained their cultural identity through music, dance, crafts and song. People in the villages typically work in the fields or as farmers, masons, merchants, craftsmen, and artisans.","Mixtec, Pinotepa Nacional",Otomanguean
Glottolog 5.1 - Pinotepa Nacional Mixtec,https://glottolog.org/resource/languoid/id/pino1237,"Mixtec (Jicaltepec) at WALS · Wikipedia · Wikidata · Alternative names · lexvo: Pinotepa Nacional Mixtec [en] moseley & asher (1994): Mixtec · multitree: Coastal Mixtec · Lowland Jicaltepec Mixtec · Mixtec (Jicaltepec) Mixtec, Pinotepa Nacional · Mixteco (Pinotepa Nacional) Mixteco de Pinotepa Nacional ·","Mixtec, Pinotepa Nacional",Otomanguean
Mixtec | Ethnologue Free,https://www.ethnologue.com/subgroup/3830/,"Mixtec, Pinotepa Nacional mio, a language of Mexico · Mixtec, San Juan Colorado mjc, a language of Mexico · Mixtec, San Juan Teita xtj, a language of Mexico · Mixtec, San Miguel el Grande mig, a language of Mexico · Mixtec, San Miguel Piedras xtp, a language of Mexico ·","Mixtec, Pinotepa Nacional",Otomanguean
Canción Mixteca - song and lyrics by Banda Filarmónica Renacimiento A.C. | Spotify,https://open.spotify.com/track/6EKexmkuQ2K3WXbHPy8vW4,"Sones Y Chilenas (Pinotepa Nacional Dances) 907,463 · 7:53 · 3 · Jarabe Mixteco (Folk Dance) 1,081,926 · 4:25 · 4 · La Tonalteca (Región Papaloapan) 624,248 · 2:46 · 5 · Canción Mixteca (Región De La Mixteca) [Mixtecan Song] 610,148 · 3:18 · See more ·","Mixtec, Pinotepa Nacional",Otomanguean
Otomanguean,http://www.languagesgulper.com/eng/Otomanguean.html,"Three-tone systems are the most common, being found in Popolocan, Tlapanec, Amuzgo, Mixtecan, Zapotecan, and Chinantecan. Two-tone systems predominate in Oto-Pamean. Several tonal languages, of the Mazatec, Chinantec, and Zapotec groups, have whistled speech which reproduce in whistle the tone of words, word stress and sentence rhythm.","Mixtec, Pinotepa Nacional",Otomanguean
Mixtec languages — Grokipedia,https://grokipedia.com/page/Mixtec_languages,"January 17, 2026 - Speakers of these languages refer to themselves and their territory as Ñuu Savi (or dialectal variants like Ñuu Dzaui, Ñuu Sau, or Ñuu Davi), translating to ""Nation of the Rain"" or ""People of the Rain,"" emphasizing the cultural and environmental significance of rainfall in their homeland.[9] This endonym highlights a shared ethnic identity across communities, even as linguistic diversity persists, with tu'un Savi sometimes used specifically for ""the rain language.""[10] The Mixtec languages form the core of the Mixtecan branch within the larger Otomanguean language family, a Mesoamerican st","Mixtec, Pinotepa Nacional",Otomanguean
