title,link,text,language,family
Michele Morrone - Wikipedia,https://en.wikipedia.org/wiki/Michele_Morrone,"Michele Morrone (Italian pronunciation: [miˈkɛːle morˈroːne]; born 3 October 1990) is an Italian actor, model and singer. He gained international recognition after portraying the lead role in the 2020 erotic thriller 365 Days and its sequels, 365 Days: This Day and The Next 365 Days in 2022.",Monumbo,Torricelli
"Stream Torricelli music | Listen to songs, albums, playlists ...",https://soundcloud.com/torricelli-music,"Play Torricelli and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Monumbo,Torricelli
Stream and listen to music online for free with SoundCloud,https://soundcloud.com/,"Discover and play over 320 million music tracks. Join the world’s largest online community of artists, bands, DJs, and audio creators.",Monumbo,Torricelli
YouTube Music,https://music.youtube.com/,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can’t get...",Monumbo,Torricelli
Monumbo language — Grokipedia,https://grokipedia.com/page/monumbo_language,"Monumbo is an endangered Papuan language of the Bogia (or Monumbo) family, sometimes classified within the Torricelli phylum (e.g., by Ethnologue), though Glottolog treats it as independent.",Monumbo,Torricelli
DJ Torricelli - Apple Music,https://music.apple.com/jm/artist/dj-torricelli/1223801593,"Listen to music by DJ Torricelli on Apple Music. Find top songs and albums by DJ Torricelli, including Vou Mirar, Vou Atirar, Sou Filho da Rua and more.",Monumbo,Torricelli
Nuclear Torricelli - Glottolog 5.3,https://glottolog.org/resource/languoid/id/nucl1708,No evidence for the Bogia (Monumbo) languages being related to other Torricelli languages was ever presented.,Monumbo,Torricelli
YouTube Music,https://www.youtube.com/channel/UCB1lnXfEjwtfLYwZSadksrA,"Featuring today's reggae and dancehall hits, listen to the freshest sounds from across the Caribbean spectrum. The good news, every week. Press play on today's contemporary Christian, pop, and...",Monumbo,Torricelli
Ngaimbom language - Grokipedia,https://grokipedia.com/page/ngaimbom_language,"Belonging to the Monumbo branch of the Torricelli language family, Ngaimbom is one of only two Torricelli languages found in the Madang District, with the other ...",Monumbo,Torricelli
Languages of the New Guinea Region (Chapter 28),https://www.cambridge.org/core/books/cambridge-handbook-of-areal-linguistics/languages-of-the-new-guinea-region/93B796DE6645BA2E029B3C92DE79FAFA,"The usual Torricelli pattern is subject prefixes and no possessor affixes, but the eastern Torricelli languages Kamasau and Monumbo have apparently acquired ...",Monumbo,Torricelli
