title,link,text,language,family
Mutu (music) - Wikipedia,https://en.wikipedia.org/wiki/Mutu_(music),"Mutu (music) A mutu is a type of improvised sung poetry found in Sardinia. These are traditionally sung mostly by women in response to the male. This type of improvisation called battorinas[1] (in English: quatrains). Mutus consist of paired verses (in Sardinian: duina), usually one slightly longer than the other (for example 3 + 4 lines).",Mutu,Austronesian
Mutu (musica) - Wikipedia,https://it.wikipedia.org/wiki/Mutu_(musica),"Il mutu è un genere di canto, diffuso in Sardegna, è una delle dodici varianti del cantu a chiterra ed è parte del repertorio nel Canto a tenore. I testi sono basati su versi improvvisati da poeti estemporanei.",Mutu,Austronesian
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Mutu,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Austronesian culture includes more than 1200 ethnic groups, across South Asia, Southeast Asia, Taiwan, the Philippines, parts of China, as well as the Pacifi...",Mutu,Austronesian
Mutu (music) — Grokipedia,https://grokipedia.com/page/mutu_music,"Mutu, a form of improvised sung poetry prevalent in northern and central Sardinia, particularly in regions like Logudoro and Barbagia, forms an integral part of the island's broader polyphonic and improvisational musical landscape.",Mutu,Austronesian
Mutu (music) - Academic Dictionaries and Encyclopedias,https://en-academic.com/dic.nsf/enwiki/11781466,A mutu is a type of improvised sung poetry found in Sardinia. These are traditionally sung mostly by women in response to the male for of this type of improvisation called Battorinas.,Mutu,Austronesian
Mutu (music) - Wikiwand,https://www.wikiwand.com/en/articles/Mutu_(music),A mutu is a type of improvised sung poetry found in Sardinia. These are traditionally sung mostly by women in response to the male. This type of improvisation c...,Mutu,Austronesian
musictheory.net,https://www.musictheory.net/lessons/57,Common Chord Progressions - Music Theory.,Mutu,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"Speaking of our research on Taiwanese aboriginals and Austronesian music, I feel that we haven't even touched 1% of it. Of course, that's a long-term atmosphere of society and academics.",Mutu,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Mutu,Austronesian
