title,link,text,language,family
Chokri language - Wikipedia,https://en.wikipedia.org/wiki/Chokri_language,"Chokri, is one of three languages spoken by the Chakhesang Naga of Phek district, Nagaland state, India. There are also some Chokri speakers residing in the Senapati District of Manipur.Sino-Tibetan language spoken in India.","Naga, Chokri",Sino-Tibetan
"Lenga Naga, Chokri - Wikipedia an piemontèis, l'enciclopedìa lìbera...","https://pms.wikipedia.org/wiki/Lenga_Naga,_Chokri","La lenga Naga, Chokri o Naga, Chokri a fa part dle lenghe sino-tibetan-e e a l'é parlà specialment an India.","Naga, Chokri",Sino-Tibetan
Li and Libuh: Folk Music of the Chokri Naga Tribe - Sahapedia,https://www.sahapedia.org/li-and-libuh-folk-music-of-the-chokri-naga-tribe-0,"The state is known for its love for music and has indigenous musical instruments. The oral tradition is kept alive through folk media with a vast repository of tales and songs. Naga folk songs are both romantic and historical, with songs narrating entire stories of famous ancestors and incidents.","Naga, Chokri",Sino-Tibetan
Chokri folksong traditional tune - YouTube,https://www.youtube.com/watch?v=rCHlKX5XvE0,Chokri folksong traditional tune Medo Naga 18.3K subscribers Like 1.9K views 1 year ago,"Naga, Chokri",Sino-Tibetan
Li and Libuh: Folk Music of the Chokri Naga Tribe - Sahapedia,https://www.sahapedia.org/li-and-libuh-folk-music-of-the-chokri-naga-tribe,"The advent of modern music is threatening the survival of both Li and the Libuh. This module looks into the tradition of li, and libuh, as well as the various issues faced by the Chokri people and some li performances with the libuh.","Naga, Chokri",Sino-Tibetan
Chokri Naga Folk Songs of Nagaland | Odin Tours,https://odintours.com/chokri-naga-folk-songs/,"Sep 19, 2024 · Listen to Chokri Naga folk songs with Odin Tours—harmonious expressions of love, war, and community life in Nagaland’s hill culture.","Naga, Chokri",Sino-Tibetan
Chokri Naga Orphan song - YouTube,https://www.youtube.com/watch?v=UeZ58wcqM58,"Sep 14, 2012 · Chokri Naga from Phesachodou village folk song quartet. After the song, singers talk about the meaning....","Naga, Chokri",Sino-Tibetan
Music Videos - Video - Tetseo Sisters,https://www.tetseosisters.com/video/,"The Orphan's Lullaby or Mürinulü lizo, a folk song in Chokri (Chakhesang Naga dialect) is a favourite from the Tetseo Sisters debut album, Li : Chapter 1: The Beginning released in 2011. The song is sung by an older aunt to comfort the little orphan left behind, all alone on this earth.","Naga, Chokri",Sino-Tibetan
"Naga, Chokri | Ethnologue Free",https://www.ethnologue.com/language/nri/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuMTk3IiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwibGV2ZWwiOiJGcmVlIiwicHJvZmlsZV9uYW1lIjoiIiwibmV0d29ya19uYW1lIjoiIiwicmVjdXJseV9pZCI6IiIsInJvbGUiOiIiLCJwaG90b191cmwiOiIiLCJ0eXBlIjoiRnJlZSIsInVzZXJfZW1haWwiOiIiLCJleHAiOjE3MzMyNTQ5NTcsImlhdCI6MTczMjk5NTc1N30.kTUUqdKO9tsoPmMDL1mpQclXvTn6DiAfuj1WIMjeUNM,"Chokri Naga is a stable indigenous language of India. It belongs to the Sino-Tibetan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.","Naga, Chokri",Sino-Tibetan
Chokri Naga - nri (Sino-Tibetan) - PeopleGroups.org,https://peoplegroups.org/language/nri/,"Chokri Naga – nri is in the Sino-Tibetan family, included in Sino-Tibetan, Tibeto-Burman, Angami-Pochuri language class.People Groups who primarily speak Chokri Naga. To download a comprehensive people group list in spreadsheet form, visit our Research Data page.","Naga, Chokri",Sino-Tibetan
