title,link,text,language,family
Ngbandi language - Wikipedia,https://en.wikipedia.org/wiki/Ngbandi_language,The Ngbandi language is a dialect continuum of the Ubangian family spoken by a half-million or so people in the Democratic Republic of Congo and in the Central African Republic.,"Ngbandi, Northern",Niger-Congo
The Sound Of Africa Sons D'Afrique Series - Medje / Ngbandi...,https://www.discogs.com/release/16768593-Various-The-Sound-Of-Africa-Sons-DAfrique-Series-Medje-Ngbandi-Barambo-Zande-Northern-Congo,Two Ngbandi Dances With Likembe. B1. Kutana Bia.International Library of African Music (I.L.A.M.) Discothèque internationale de musique africaine (D.I.M.A.) Made in South Africa.,"Ngbandi, Northern",Niger-Congo
"Ngbandi, Northern Language (NGB)... | Ethnologue Free",https://www.ethnologue.com/language/ngb/,"Northern Ngbandi is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.","Ngbandi, Northern",Niger-Congo
Ngbandi language,https://grokipedia.com/page/Ngbandi_language,"Ngbandi is written using the Latin script for both its Northern and Southern varieties.[32][33] The orthography supports the language's tonal system, though specific details on tone marking may vary in practice, particularly in religious texts like Bible translations.[3][4].","Ngbandi, Northern",Niger-Congo
African Congo Drum Music - YouTube,https://www.youtube.com/watch?v=jMz6e-mRUVY,"The traditional music of Africa, given the vastness of the continent, is historically ancient, rich and diverse, with different regions and nations of Africa...","Ngbandi, Northern",Niger-Congo
"Ngwili, Ngiri in Congo, Republic of the people group... | Joshua Project",https://joshuaproject.net/people_groups/13382/CF,"Their language, Southern Ngbandi, belongs to the Ubangian branch of the Niger-Congo family and is closely related to Northern Ngbandi, from which the widely spoken Central African lingua franca Sango is substantially derived.","Ngbandi, Northern",Niger-Congo
"Ngbandi | Central African Republic, Pygmies, Ethnic Group | Britannica",https://www.britannica.com/topic/Ngbandi,Ngbandi speak a language of the Adamawa-Ubangi subgroup of the Niger-Congo language family that is related to that of neighbouring Banda and Gbaya.,"Ngbandi, Northern",Niger-Congo
Zande & Ngbandi Mythology: Ancestors & Oracles of Central... | Mythlok,https://mythlok.com/world-mythologies/african/central-african-mythology/zande-ngbandi/,"Ngbandi mythology, on the other hand, is rich with ancestral reverence and symbolic storytelling. The Ngbandi view ancestors as active participants in daily life, capable of guiding, protecting, or punishing their descendants depending on the observance of rituals and moral behavior.","Ngbandi, Northern",Niger-Congo
WALS Online - Language Ngbandi,https://wals.info/languoid/lect/wals_code_ndi,"Ngbandi, Northern.Spraachkunst der Ngbandi-taal. Toronzoni 1989. Description du ngbandi. License WALS Online edited by Dryer, Matthew S. & Haspelmath, Martin is licensed under a Creative Commons Attribution 4.0 International License.","Ngbandi, Northern",Niger-Congo
"Mongbandi, North language. Evangelism tools, church planting...",https://globalrecordings.net/en/language/ngb,"Download Mongbandi North - Lost Sheep.mp3. Audio recordings available in Mongbandi, North. These recordings are designed for evangelism and basic Bible teaching to bring the gospel message to people who are not literate or are from oral cultures, particularly unreached people groups.","Ngbandi, Northern",Niger-Congo
