title,link,text,language,family
Nggem language - Wikipedia,https://en.wikipedia.org/wiki/Nggem_language,"March 5, 2025 - Nggem is a Papuan language spoken in the Indonesian province of Highland Papua by the Nggem people.",Nggem,Trans-New Guinea
Trans–New Guinea languages - Wikipedia,https://en.wikipedia.org/wiki/Trans–New_Guinea_languages,"June 5, 2026 - Trans–New Guinea (TNG) is an extensive family of Papuan languages spoken on the island of New Guinea and neighboring islands, a region corresponding to the country Papua New Guinea as well as parts of Indonesia. Trans–New Guinea is perhaps the third-largest language family in the world ...",Nggem,Trans-New Guinea
Music of Papua New Guinea - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Papua_New_Guinea,"December 18, 2025 - The music of Papua New Guinea has a long history. After independence, the outside world knew little of the diverse peoples' traditional music genres. The first commercial release to see an international audience did not occur until 1991, when percussionist Mickey Hart's Voices of the Rainforest ...",Nggem,Trans-New Guinea
Trans-New Guinea | Ethnologue Free,https://www.ethnologue.com/subgroup/1038/,"Mouwase jmw, a language of Papua New Guinea · West 44 · Dani 13 · Dani Proper 7 · Dani, Lower Grand Valley dni, a language of Indonesia · Dani, Mid Grand Valley dnt, a language of Indonesia · Dani, Upper Grand Valley dna, a language of Indonesia · Dani, Western dnw, a language of Indonesia · Hupla hap, a language of Indonesia · Nggem ...",Nggem,Trans-New Guinea
"Nggem Language (NBQ) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/nbq/,"Nggem is a stable indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Nggem,Trans-New Guinea
Nggem,https://lingweb.eva.mpg.de/channumerals/Nggem.htm,"Language name and location: Nggem, Papua province, Indonesia [Refer to Ethnologue] · 语言名称和分布地区: 恩甘语, 印度尼西亚巴布亚省中部高地地区",Nggem,Trans-New Guinea
"Nu Guinea Discography: Vinyl, CDs, & More | Discogs",https://www.discogs.com/artist/4007020-Nu-Guinea,"Explore Nu Guinea's biography, discography, and artist credits. Shop rare vinyl records, top albums, and more on Discogs.",Nggem,Trans-New Guinea
music of guinea,http://www.muzikifan.com/guinee.html,"There's a general rule of logic that you should not buy your music twice. Apart from buying an album and finding you have it already, maybe with a different cover, which is a mistake anyone can make. A big reset in music listening habits occurred when the CD was introduced in the early 1980s ...",Nggem,Trans-New Guinea
A Trans superstar of South Pacific music- I'm Moshanty,https://www.losangelesblade.com/2020/12/15/a-trans-superstar-of-south-pacific-music-im-moshanty/,"August 27, 2021 - Papua New Guinea has earned its nickname as the ‘Land of a Thousand Cultures’ based on the fact that it is made of more than 600 beautiful islands, atolls and coral reefs, with populations speaking over 800 different languages. But for veteran LGBTQ filmmaker and longtime U.S. State Department Arts Envoy, Human Rights Ambassador, Cultural Affairs expert and film documentarian Tim Wolff, a chance encounter led to the incredible story of a transgender music superstar and Papua New Guinea national hero Moses Moshanty Tau.",Nggem,Trans-New Guinea
Trans-New Guinea,https://transnewguinea.org/family/transnewguinea,TransNewGuinea.org - database of the languages of New Guinea,Nggem,Trans-New Guinea
