title,link,text,language,family
Sunrise Meditation | HANDPAN 2 hours music | Pelalex... - YouTube,https://www.youtube.com/watch?v=mw4k1tCnAuE,"This handpan music is ideal for meditation, relaxation, yoga practice, massage, tea ceremony, other practices and just for a good mood.My NEW channel - Natur...",Nhengatu,Tupian
musictheory.net,https://www.musictheory.net/lessons/23,Scale Degrees - Tonic - Music Theory.,Nhengatu,Tupian
Hovhannisyan Music - Qaminer / Ветры скачать... | im-mp3.net,https://im-mp3.net/7526-hovhannisyan-music-qaminer-vetry.html,Исполнитель: Hovhannisyan Music. Слушали: 1 548. Размер: 8.84 MB.,Nhengatu,Tupian
Wayback Machine,https://web.archive.org/?ref=gobigger,Live Music Archive Librivox Free Audio.,Nhengatu,Tupian
Radio Garden – Explore live radio by rotating the globe,https://radio.garden/,Musique Haitienne Metro compas Live 24 h Compas music La Radio du...,Nhengatu,Tupian
Grambank - Contributor HunterGatherer,https://grambank.clld.org/contributors/HunterGatherer,Karitiâna. kari1311. Tupian. South America. 195. Nhengatu. nhen1239. Tupian. South America. 56. Paraguayan Guaraní.,Nhengatu,Tupian
ethnologue.com/language/yrl,https://www.ethnologue.com/language/yrl/,Ethnologue entry for Nhengatu.,Nhengatu,Tupian
"Jakone, Kiliana - Жиганская (official video) — Видео от Новинки...",https://vk.com/video-205800683_456240426,Владимир Панченко (Фактор 2) — Незабудка ｜ Official Music Video 2026.,Nhengatu,Tupian
AY YOLA - Homay (Премьера клипа 2025). Официальный... | Дзен,https://dzen.ru/video/watch/68acc61f3a18115d810f3e59,"Официальный клип / Official music video. 10 месяцев назад • 72,2 тыс просмотров1 346 поставили ""Нравится"". Хумай - символ света и силы, оживает в песне.",Nhengatu,Tupian
Zor TV HD » Tas-ix ТВ канал онлайн - Смотреть прямой эфир.,https://tas-ix.cc/tv-tasix/103-zor-tv-hd.html,"Deep Sleep Music 24/7, Relaxing Music, Sleeping Music, Calm Music, Study Music, Sleep Meditation. НАСТОЯЩЕЕ ВРЕМЯ | Прямой эфир.",Nhengatu,Tupian
