title,link,text,language,family
Loloish languages - Wikipedia,https://en.wikipedia.org/wiki/Loloish_languages,"The Loloish languages, also known as Yi and occasionally Ngwi or Nisoic, are a sub-branch of 50–100 Tibeto-Burman languages spoken primarily in the Yunnan province of Southwestern China.","Nisu, Eastern",Sino-Tibetan
Sino-Tibetan | Ethnologue Free,https://www.ethnologue.com/subgroup/236/?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI5NS4xMDguMjEzLjE4NyIsImlzX2NvbnRyaWJ1dG9yIjpmYWxzZSwiaXNfYXV0aGVudGljYXRlZCI6ZmFsc2UsImxldmVsIjoiRnJlZSIsInByb2ZpbGVfbmFtZSI6IiIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJyb2xlIjoiIiwicGhvdG9fdXJsIjoiIiwidHlwZSI6IkZyZWUiLCJ1c2VyX2VtYWlsIjoiIiwiZXhwIjoxNzMyMzg5MDc4LCJpYXQiOjE3MzIxMjk4Nzh9.SX19b0p8FYMW2dZ8fKLPalUNIkJ5NKj_cu4j6sc2L90,"Sino-Tibetan. Subgroup of 462 languages.Nisu, Eastern nos, a language of China.","Nisu, Eastern",Sino-Tibetan
"Tibetan Meditation Music, Soothing Music, Relaxing Music... - YouTube",https://www.youtube.com/watch?v=rmPmq-HlG5g,"Get the new Yellow Brick Cinema iOS app for a 7-day FREE trial: https://apple.co/30uHqHeTibetan Meditation Music, Soothing Music, Relaxing Music Meditation","Nisu, Eastern",Sino-Tibetan
Eastern Nisu - nos (Sino-Tibetan) - PeopleGroups.org,https://peoplegroups.org/language/nos/,"Eastern Nisu (nos) is part of the Sino-Tibetan family and Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern class.","Nisu, Eastern",Sino-Tibetan
Sino-Tibetan | Ethnologue,https://web.archive.org/web/20160513202900/http://www.ethnologue.com/subgroups/sino-tibetan-1,"Nisu, Eastern [nos] (A language of China).Kham, Eastern Parbate [kif] (A language of Nepal).","Nisu, Eastern",Sino-Tibetan
Sino-Tibetan Branches Project (STBP) by Andy Hsiu,https://sites.google.com/site/sinotibetanbranches/,"Welcome to Andy Hsiu's Sino-Tibetan Branches Project (STBP) site, an online encyclopedia covering the branches of the Sino-Tibetan language family. Notes on the positions of each branch with Sino-Tibetan are discussed, with a particular emphasis on lexical isoglosses.","Nisu, Eastern",Sino-Tibetan
Nisu language,https://grokipedia.com/page/nisu_language,"Nisu, also known as Southern Yi, is a cluster of closely related languages spoken by approximately 460,000 Yi people primarily in the southern part of Yunnan Province, China (as of 2023).","Nisu, Eastern",Sino-Tibetan
"Nisu, Eastern language. Evangelism tools, church planting resources...",https://globalrecordings.net/en/language/nos,"Audio recordings available in Nisu, Eastern. Our data shows that we may have either some old recordings which have been withdrawn, or new recordings being made in this language.","Nisu, Eastern",Sino-Tibetan
Sino-Tibetan,https://lingweb.eva.mpg.de/channumerals/Sino-Tibetan.htm,"The Sino-Tibetan Language Phylum.Central: Hlersu, Buyuan Jinuo, Youle Jinuo, Kucong, Lahu, Lahu Shi, Central Lalo, Dongshanba Lalo, Eastern Lalu, Western Lalu (Eka?), Lamu, Lang'e, Lawu, Limi, Lipo, Lisu, Lolopo, Southern Lolopo, Mili, Miqie, Nusu, Sani, Talu, Tanglang, Zauzou.","Nisu, Eastern",Sino-Tibetan
Glottolog 5.2 - North-Central Nisu,https://glottolog.org/resource/languoid/id/east2349,"Nisu, Eastern (nos-nos) = 6b (Threatened). Language of recognized nationality: Yi. Glottocode: east2349. ISO 639-3: nos.","Nisu, Eastern",Sino-Tibetan
