title,link,text,language,family
North Straits Salish language - Wikipedia,https://en.wikipedia.org/wiki/North_Straits_Salish_language,Northern Straits Salish (also referred to as North Straits Salish) is a language composed of several mutually-intelligible dialects within the Coast Salish language family spoken in western Washington and British Columbia.,Northern Straits Salish,Salish
"Northern Straits Salish language. Evangelism tools, church planting...",https://globalrecordings.net/en/language/str,"Northern Straits Salish language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.",Northern Straits Salish,Salish
Endangered Languages Project - Northern Straits Salish,https://www.endangeredlanguages.com/lang/1917,"Northern Straits Salish. [aka SENĆOŦEN/Malchosen/Lekwungen/Semiahmoo/T’Sou-ke, Malchosen, Lekwungen]. Salishan, Central Salish. CODE AUTHORITY. ISO 639-3.",Northern Straits Salish,Salish
"Straits Salish Language and the Saanich, Samish, and Lummi Indian...",https://www.native-languages.org/saanich.htm,"Straits Salish is a Salishan language of British Columbia and Washington state, most closely related to Klallam. Today, only a few dozen native speakers of the Saanich dialect of Straits Salish remain, although there are still partially fluent speakers of Lummi and Samish.",Northern Straits Salish,Salish
dewiki-Northern_Straits_Salish-20200725.pdf... : Internet Archive,https://archive.org/details/dewiki-Northern_Straits_Salish-20200725.pdf,Live Music Archive Librivox Free Audio.dewiki-Northern_Straits_Salish-20200725.pdf. Bookreader Item Preview.,Northern Straits Salish,Salish
"SENĆOŦEN (Saanich, Northern Straits Salish)",https://www.languagegeek.com/salishan/sencoten.html,"The North Straits Salish langauge is the label given by linguists to a group of dialects which (depending on the linguist) is located along the southern reaches of the Strait of Georgia, the Juan de Fuca Strait, and the northern part of Puget Sound.",Northern Straits Salish,Salish
perlego.com/book/667029/saanich-north-straits-salish-classified-word...,https://www.perlego.com/book/667029/saanich-north-straits-salish-classified-word-list-pdf,"Saanich, North Straits Salish classified word list.",Northern Straits Salish,Salish
Northern Straits Salish Language... | Ethnologue Free,https://www.ethnologue.com/language/str/,Northern Straits Salish is a dormant language of Canada and the United States. It belongs to the Salish language family. The language is no longer used as a first language by any remaining members of the ethnic community.,Northern Straits Salish,Salish
Glottolog 5.3 - Northern Straits Salish,https://glottolog.org/resource/languoid/id/stra1244,"Northern Straits Salish (str-str) = 9 (Dormant). Language of recognized indigenous peoples: Esquimalt, Pauquachin, Semiahmoo, Songhees, T’Sou-ke, Tsartlip, Tsawout, Tseycum.",Northern Straits Salish,Salish
The Northern Straits Salish Language,https://ydli.org/langs/straits.htm,"Northern Straits Salish is a single language consisting of a number of dialects on Southern Vancouver Island and in Washington State. Ts'ooke, Semiahmoo, and Songish are extinct. Lummi, spoken in Washington State, Saanich and Samish still have a few speakers.",Northern Straits Salish,Salish
