title,link,text,language,family
musictheory.net,https://www.musictheory.net/lessons/57,Common Chord Progressions - Music Theory.,"Nuaulu, South",Austronesian
Sawai-Nuaulu | Ethnologue Free,https://www.ethnologue.com/subgroup/1651/,"Sawai-Nuaulu. Subgroup of 3 languages. Austronesian 1257.Nuaulu, South nxl, a language of Indonesia.","Nuaulu, South",Austronesian
"Nuaulu, South language resources | Joshua Project",https://joshuaproject.net/languages/nxl,"Listing of people groups speaking Nuaulu, South. Nuaulu, South dialects and alternate names. Bible and ministry resource availability.Progress Scale. Nuaulu, South. Indonesia. 2,100.","Nuaulu, South",Austronesian
Contrasting acoustical signatures and the power in ritual: Nuaulu spirit...,https://kar.kent.ac.uk/75903/,Different kinds of Nuaulu ritual activity are accompanied by distinctive acoustical signatures that can be separated out from a more synesthetic profile of sensory experience. The main ceremonial cycles of maturation and sacred...,"Nuaulu, South",Austronesian
Nuaulu (South) Language Sample | Language Museum,https://www.language-museum.com/encyclopedia/n/nuaulu-south.php,"If you want to get a flavour of the Nuaulu (South) language, check out a small sample at the Language Museum.Indonesia (1,500) - Total (1,500). Classification. Austronesian | Malayo-Polynesian.","Nuaulu, South",Austronesian
"Full text of ""enwiki-Nuaulu_language-20200726.pdf""",https://archive.org/stream/enwiki-Nuaulu_language-20200726.pdf/enwiki-Nuaulu_language-20200726_djvu.txt,"Nuaulu. Language codes. ISO 639-3 Either: nxl — South nni - North. These final Proto-Austronesian consonants also fall into classes corresponding to the Nuaulu noun classes. Class I nouns ended in semivowels, vowels, or no final consonant.","Nuaulu, South",Austronesian
North Nuaulu - nni (Austronesian) - PeopleGroups.org,https://peoplegroups.org/language/nni/,"North Nuaulu (nni) is part of the Austronesian family and Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Sawai-Nuaulu class.","Nuaulu, South",Austronesian
Grambank - Language South Nuaulu,https://grambank.clld.org/languages/sout2895,Family: Austronesian /. Language South Nuaulu. Feature id.Sources. Bolton 1990. A Preliminary description of Nuaulu Phonology and Grammar.,"Nuaulu, South",Austronesian
South Nuaulu,https://lingweb.eva.mpg.de/channumerals/Nuaulu-South.htm,"South Nuaulu or Fatakai, Patakai is spoken by approximately 1,500 speakers in 6 villages on Seram island inland from south coast, Amahai district, Maluku province, Indonesia.","Nuaulu, South",Austronesian
"Nuaulu, South | Mark 9:33-50 - YouTube",https://www.youtube.com/watch?v=KmXeUMfFR4M,О сервисе Прессе Авторские права Связаться с нами Авторам Рекламодателям...,"Nuaulu, South",Austronesian
