title,link,text,language,family
Longuda language - Wikipedia,https://en.wikipedia.org/wiki/Longuda_language,"Lunguda is a Niger–Congo language spoken in Nigeria. They settle in the western part of Gongola mainly in and around the hills of the volcanic Lunguda Plateau, Adamawa state. Joseph Greenberg counted it as a distinct branch, G10, within the Adamawa family.",Nungura,Niger-Congo
African Congo Drum Music - YouTube,https://www.youtube.com/watch?v=jMz6e-mRUVY,"The traditional music of Africa, given the vastness of the continent, is historically ancient, rich and diverse, with different regions and nations of Africa...",Nungura,Niger-Congo
Nungura Language (LNU) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/lnu/,"Nungura is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.",Nungura,Niger-Congo
"DJ Erycom: Download Ugandan Music 2026, Uganda Music...",https://www.djerycom.ug/,Ugandan music videos 2026. Munsimanga Roo Ya Simba.Congo Music. Dancehall.,Nungura,Niger-Congo
"Nigeria people groups, languages and religions | Joshua Project",https://joshuaproject.net/countries/NI,"Maps, charts and statistics of Nigeria ethnic people groups, languages and religions. Sortable and downloadable Nigeria data.Nungura.",Nungura,Niger-Congo
Nungura (feat. Victor Estrada) - Song by The Belizean... - Apple Music,https://music.apple.com/us/song/nungura-feat-victor-estrada/1098076184,"Nungura (feat. Victor Estrada). War on Cancer The Belizean Melody Swingers Band March 13, 2016.",Nungura,Niger-Congo
Languages of Nigeria,https://dawodu.com/langs.htm,"Classification: Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Unclassified. More information.[LNU] 32,000 (1973 SIL). Adamawa State, Guyuk LGA; Bauchi State, Balanga LGA. Alternate names: NUNGUDA, NUNGURABA, NUNGURA, LANGUDA, LONGURA.",Nungura,Niger-Congo
Contribution à la classification des langues kru (Niger-Congo),https://hal.science/hal-01574391/document,"(1989). Kru. In The Niger-Congo Languages: Classification and Description of Africa’s Largest Language Family, John Th. Bendor-Samuel (ed.), 119-140.",Nungura,Niger-Congo
Microsoft Word - Atlas of Nigerian Languages- ed. III.doc,https://nairametrics.com/wp-content/uploads/2013/03/Atlas-of-Nigerian-Languages.pdf,"Kwa is retained for the former Western Kwa and the only languages that fall into this category are Gun and Aja. Njọ and its related single language Defaka, have been excluded from either group and are now recognised to constitute a distinct branch of Niger-Congo.",Nungura,Niger-Congo
"Full text of ""enwiki-Longuda_language-20200726.pdf""",https://archive.org/stream/enwiki-Longuda_language-20200726.pdf/enwiki-Longuda_language-20200726_djvu.txt,"Longuda (NUngUra) is a Niger-Congo language of Nigeria. Joseph Greenberg counted it as a distinct branch, G10, of his Adamawa family. Boyd (1989) assigned it a branch within Waja-Jen.",Nungura,Niger-Congo
