title,link,text,language,family
One language - Wikipedia,https://en.wikipedia.org/wiki/One_language,"One is a Torricelli dialect cluster of West Wapei Rural LLG in Sandaun Province, Papua New Guinea.","One, Inebu",Torricelli
Lengas torricelli — Wikipèdia,https://oc.wikipedia.org/wiki/Lengas_torricelli,Las lengas torricelli son una familha de lengas papós.walman. wapei de l'oèst. one.,"One, Inebu",Torricelli
"One, Inebu Language (OIN) – L1 & L2 Speakers... | Ethnologue Free",https://www.ethnologue.com/language/oin/,Inebu One is a stable indigenous language of Papua New Guinea. It belongs to the Torricelli language family.,"One, Inebu",Torricelli
Torricelli,https://transnewguinea.org/family/torricelli,"Beli. Nuclear Torricelli. 44. ape.One, Inebu.","One, Inebu",Torricelli
"One, Inebu in Papua New Guinea people group profile | Joshua Project",https://joshuaproject.net/people_groups/19566/PP,"The Inebu One have only been reported in Papua New Guinea.Sandaun province: Lumi district, West Waipei division, Alkula, Inebu, Kalema, and Windiple villages between east Bewani and west Torricelli ranges.","One, Inebu",Torricelli
One,https://docs.verbix.com/EndangeredLanguages/One,"Alternate names: Aunalei, Onele, Oni, Molmo One, Inebu One, Kwamtim One, Kuamtim, Kabore One, Northern One, Southern One. Language code: aun, oin, okk, onk, onr, osu. Language family: Torricelli; One (SIL classification). Number of speakers: 4,450. Vulnerability: Threatened.","One, Inebu",Torricelli
The ASJP Database - Wordlist One Inebu,https://asjp.clld.org/languages/ONE_INEBU,Wordlist One Inebu. JSON. RDF serialized as n3.Torricelli > Westwapei > One. Sources.,"One, Inebu",Torricelli
Torricelli - One Of A Kind | Spinnin' Records,https://spinninrecords.com/talentpool/artist/torricelli/track/2024-05-one-of-a-kind,Music News Playlists Talent Pool Events Contests About.One Of A Kind. Torricelli. Suggested label: Spinnin' Records.,"One, Inebu",Torricelli
Yandex Music Downloader - Chrome Web Store,https://chromewebstore.google.com/detail/yandex-music-downloader/hemhffhlpdejhmbkapjjaciecddjehdm,"Yandex Music Downloader — удобное расширение для скачивания музыки с Яндекс.Музыки прямо из браузера. Основные возможности: • Скачивание отдельных треков...Download video, photos and music from popular sites in one click. VK Music - audio saver. 4.5.","One, Inebu",Torricelli
Torricelli ONE MIN per. 7 LB,https://www.youtube.com/watch?v=tNriuh5JQ7E,,"One, Inebu",Torricelli
