title,link,text,language,family
Ongota language - Wikipedia,https://en.wikipedia.org/wiki/Ongota_language,"Ongota is a moribund language of southwest Ethiopia. UNESCO reported in 2012 that out of a total ethnic population of 115, only 12 elderly native speakers remained, the rest of their small village on the west bank of the Weito River having adopted the Tsamai language instead.",Ongota,Language isolate
Ongota language,https://grokipedia.com/page/ongota_language,"The Ongota language is spoken by a very small number of elderly individuals in southwest Ethiopia. According to a 2012 UNESCO report, only 12 native speakers remained at that time, all elderly, out of an ethnic Ongota population of 115.",Ongota,Language isolate
Ongota: The Hidden Language of Ethiopia | Language Learners Hub,https://languagelearnershub.com/blog/ongota-hidden-language-ethiopia/,"The greatest mystery in Ongota history is within their language. It does not fit neatly into Ethiopia’s main language families: Afroasiatic or Nilo-Saharan. Some linguists argue it is a unique isolate, while others believe centuries of cultural contact shaped it into a hybrid tongue.",Ongota,Language isolate
(PDF) The Ongota language – and two ways of looking at the history...,https://www.academia.edu/79924020/The_Ongota_language_and_two_ways_of_looking_at_the_history_of_the_marginal_and_hunting_gathering_peoples_of_East_Africa,"The Ongota language is critically endangered, with only about ten elders still speaking it. Ongota community of approximately 100 individuals resides in Muts’e, Southwest Ethiopia.",Ongota,Language isolate
Documentation of Ongota | Endangered Languages Archive,https://www.elararchive.org/dk0247/,"It is likely a language isolate. The divergent character of Ongota and its retention of genetically heterogeneous lexical elements make the classification of the language highly problematic. Bender (1994), shows that Ongota cannot be paralleled to any neighbouring group.",Ongota,Language isolate
Ongota Language (BXE) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/bxe/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI5NS4xMDguMjEzLjEyMSIsImNvdW50cnkiOiIiLCJ1c2VyX2VtYWlsIjoiIiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwicGhvdG9fdXJsIjoiIiwicHJvZmlsZV9uYW1lIjoiIiwicm9sZSI6IiIsImxldmVsIjoiRnJlZSIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJ0eXBlIjoiRnJlZSIsImV4cCI6MTczMzkwMzE4MywiaWF0IjoxNzMzNjQzOTgzfQ.c4PoO_Y51nWnIkmfY-Hg6qW8YxHTTdz3xsmCMvRenmk,Ongota is an endangered indigenous language of Ethiopia. It is an isolate that is not known to be related to any other language. The language is used as a first language by the elderly only.,Ongota,Language isolate
The documentation of Ongota: a linguistic isolate of... | Culture in Crisis,https://cultureincrisis.org/projects/the-documentation-of-ongota-a-linguistic-isolate-of-a-hunter-gatherer-community-in-southwest-ethiopia,The language defies classification and is considered an isolate. Investigating the origins of Ongota and its community will provide important insight into African linguistic diversity and history.,Ongota,Language isolate
Critically Endangered Languages — Simpson Soft UK Limited,https://simpsonsoft.co.uk/blog/2023/endangered-languages,"The Ongota oral tradition comprises poems, legends, tales, myths, proverbs and riddles transmitted in the Ongota language, which has no written script. The people are mostly hunter-gatherers and one of the reasons for the decline of the language is a loss of livelihood.",Ongota,Language isolate
Ethiopian Languages that Could Soon Disappear,https://www.lolinemag.com/articles/ethiopian-languages-that-could-soon-disappear-4,"Discover the most endangered languages in Ethiopia, from Ongota to the isolated Shabo tongue. Learn why such languages are vanishing and explore the best strategies for their preservation.",Ongota,Language isolate
(PDF) Linguistic Isolates,https://www.researchgate.net/publication/305603235_Linguistic_isolates,"Ethiopia another isolate is found, Ongota (also known as Biraile), a language first. described by Tefera (1991) and Mikesh and Seelig (1992). There are only a few. speakers left for this language, as most ethnic Ongota have shifted towards the.",Ongota,Language isolate
