title,link,text,language,family
Foja Range languages - Wikipedia,https://en.wikipedia.org/wiki/Foja_Range_languages,"The Foja Range languages, or Tor–Kwerba in more limited scope, are a family of about two dozen Papuan languages. They are named after the Foja Mountains of western New Guinea.",Orya,Tor-Kwerba
Tor-Kwerba | Ethnologue Free,https://www.ethnologue.com/subgroup/1370/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuMjEiLCJpc19jb250cmlidXRvciI6ZmFsc2UsImlzX2F1dGhlbnRpY2F0ZWQiOmZhbHNlLCJsZXZlbCI6IkZyZWUiLCJwcm9maWxlX25hbWUiOiIiLCJuZXR3b3JrX25hbWUiOiIiLCJyZWN1cmx5X2lkIjoiIiwicm9sZSI6IiIsInBob3RvX3VybCI6IiIsInR5cGUiOiJGcmVlIiwidXNlcl9lbWFpbCI6IiIsImV4cCI6MTczMzYwNTIwNywiaWF0IjoxNzMzMzQ2MDA3fQ.LoJCjDfm-xGsbR2FcYQ2XL9T0E_RhbPSf28Nd08E5x8,Tor-Kwerba. Subgroup of 23 languages. Tor-Kwerba. Collapse All.,Orya,Tor-Kwerba
Orya - ury (Tor-Kwerba) - PeopleGroups.org,https://peoplegroups.org/language/ury/,"Orya (ury) is part of the Tor-Kwerba family and Tor-Kwerba, Orya-Tor, Orya class.",Orya,Tor-Kwerba
Tor-Kwerba | Ethnologue,https://web.archive.org/web/20131019224652/http://www.ethnologue.com/subgroups/tor-kwerba,The Wayback Machine - https://web.archive.org/web/20131019224652/http://www.ethnologue.com/subgroups/tor-kwerba. Skip to main content.Orya [ury] (A language of Indonesia).,Orya,Tor-Kwerba
Tor-Kwerba – TIPs,https://tips.translation.bible/tip_language/tor-kwerba/,Step into the multitudes of languages of the Bible and join the worldwide conversation! Language Group: Tor-Kwerba.,Orya,Tor-Kwerba
Tor-Kwerba,https://transnewguinea.org/family/torkwerba,Language Family: Tor-Kwerba: Home /.Isirawa. Greater Kwerba. 12. itx.,Orya,Tor-Kwerba
WALS Online - Family Tor-Kwerba,https://wals.info/languoid/family/torkwerba,Kwerba. Tor-Orya. Show/hide Labels. Marker. Isirawa. Kwerba. Berik. Orya. + − OpenStreetMap.Mapnik OpenTopoMap USGS.USTopo USGS.USImagery USGS.USImageryTopo.,Orya,Tor-Kwerba
Kwerba [Newguineaworld],https://newguineaworld.linguistik.uzh.ch/families/northwest-new-guinea/foja-range/west-foja-range/apauwar-river/kwerba,"Orya-Tor River.The Kwerba family consists of perhaps five languages spoken inland from the coast between the Mamberamo river to the west and the Tor river to the east in Indonesia's Papua province, with the upper Apauwar river in roughly the center of their range.",Orya,Tor-Kwerba
Tor–Kwerba languages of Language Topics | Question AI,https://www.questionai.com/knowledge/kpFYuMmNDz-torkwerba-languages,"Tor–Kwerba Subdivisions Orya–Tor (Ross and Usher) Kwerbic (Ross and Usher) Glottolog None The Tor–Kwerba languages are a family of Papuan languages.grammatical gender is present in Tor-Kwerba languages, there is no overt gender marking on nouns.",Orya,Tor-Kwerba
Endangered Languages Project,https://www.endangeredlanguages.com/?ilink=1,The Endangered Languages Project is a collaborative online platform for sharing knowledge and resources for endangered languages. Join this global effort to conserve linguistic diversity.,Orya,Tor-Kwerba
