title,link,text,language,family
Ixtenco Otomi - Wikipedia,https://en.wikipedia.org/wiki/Ixtenco_Otomi,"Ixtenco Otomi, also known as Tlaxcala Otomi, is a native American language spoken in the town of San Juan Bautista Ixtenco in the state of Tlaxcala, Mexico. It has been classified as Eastern Otomi by Lastra (2006).","Otomi, Ixtenco",Otomanguean
Otomi - Wikipedia,https://en.wikipedia.org/wiki/Otomi,"The Otomi language, belonging to the Oto-Pamean branch of the Oto-Manguean language family, is spoken in many different varieties, some of which are not mutually intelligible.","Otomi, Ixtenco",Otomanguean
Music of the Otomi Indians - YouTube,https://www.youtube.com/playlist?list=OLAK5uy_k3uAwHh3iG-5cinrjAlEtFuQwkSg3pwRg,"Sep 25, 2025 · Music of the Otomi Indians Los Auténticos Otomies • Album 15 videos 8,732 views Last updated on Sep 25, 2025","Otomi, Ixtenco",Otomanguean
MUSICA EN OTOMI=hñahñu - YouTube Music,https://music.youtube.com/playlist?list=PLWteowJH5vvkA32wnj5lsBoLVbtulArTz,"Te quedas o te vas/ Gi kohi o gi ma En Hñahñu. Una cancion en otomi, muy bonita, me encanta. El joven de mi pueblo en voz de maricela gonzalez.","Otomi, Ixtenco",Otomanguean
THE MUSIC OF AN OTOMI COMMUNITY | Mexican Rarities,https://mexicanrarities.com/?p=7822,"We feel a lot about our music and our customs and even though we work abroad we don’t get caught up there. We return because we miss ours, our land, our festivals, those of the saints.","Otomi, Ixtenco",Otomanguean
Music of the Otomi Indians - Album by Los ... - Spotify,https://open.spotify.com/album/2vmY4d5z211PQ1ymiKnDSZ,Listen to Music of the Otomi Indians on Spotify. Los Auténticos Otomíes · Album · 2008 · 15 songs.,"Otomi, Ixtenco",Otomanguean
Glottolog 5.3 - Ixtenco Otomi,https://glottolog.org/resource/languoid/id/ixte1237,"Western Otomanguean (36). Ixtenco Otomí (4939-otz) = Endangered (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09). Glottocode: ixte1237. ISO 639-3: otz.","Otomi, Ixtenco",Otomanguean
Endangered Languages Project - Ixtenco Otomí - Himno Nacional...,https://www.endangeredlanguages.com/lang/4939/samples/6639,"[aka Yühmü, Ixtenco, Otomi, Ixtenco]. Classification: Otomanguean.La traducción fue realizada cuidadosamente por el historiador Otomí Mateo Cajero Velázquez. Contribución de la cultura Otomí de Ixtenco, Tlaxcala, México.","Otomi, Ixtenco",Otomanguean
Otomi | Ethnologue Free,https://www.ethnologue.com/subgroup/3824/,"Western Otomanguean 37. Oto-Pame-Chinantecan 31. Oto-Pamean 17.Otomi, Eastern Highland otm, a language of Mexico.","Otomi, Ixtenco",Otomanguean
Ixtenco Otomí,https://multivaluation.de/coordination/ixtenco.pdf,"Ixtenco Otomí. Multivaluation @ Frankfurt. September 24, 2018. Ixtenco Otomı. München: Lincom Europa. 2.","Otomi, Ixtenco",Otomanguean
