title,link,text,language,family
Pakawara language - Wikipedia,https://en.wikipedia.org/wiki/Pacahuara_language,"September 11, 2025 - Pacawara (Pacahuara) is a nearly extinct dialect of the Panoan Chácobo language. The Pacahuara have been located to northwest of Magdalena, Beni, Bolivia and to Nueva Esperanza municipality, of Federico Román Province in Pando.",Pacahuara,Panoan
Pacahuara - Wikipedia,https://en.wikipedia.org/wiki/Pacahuara,"November 20, 2025 - The language of the contacted Pacahuara is a Bolivian Panoan language, which are part of the greater Panoan language family.",Pacahuara,Panoan
Panoan languages - Wikipedia,https://en.wikipedia.org/wiki/Panoano,"2 weeks ago - Hundreds of other Panoan ""languages"" have been reported in the literature. These are names of groups that may have been ethnically Panoan, but whose language is unattested. They sometimes are assumed to be Panoan on no other evidence than that the name ends in -nawa or -bo.",Pacahuara,Panoan
"Documentation of Chácobo-Pacahuara, southern Panoan languages of the northern Bolivian Amazon | Endangered Languages Archive",https://www.elararchive.org/dk0371/,"In addition to this, all of the important Chácobo economic and political institutions are located in Riberalta, such as CIRABO (Central Indígena Regional Amazônico de Bolivia), and the Chácobo and Pacahuara ILCs or Instituto de Lengua y Cultura (Institute of Language and Culture). The ILC is the educational organ of the Chácobo funded by the national government and charged with developing curriculum for indigenous based education programs, and documenting traditional Chácobo practices, whether cultural or linguistic. The historical record indicates that there were a number of Panoan",Pacahuara,Panoan
Pacahuara — Grokipedia,https://grokipedia.com/page/Pacahuara,"January 13, 2026 - These numbers aligned with the ecology of sparse forests and floodplains, where hunting-gathering economies supported mobile bands rather than dense villages, precluding any evidence of pre-contact overpopulation or territorial overextension.[24] The late 19th and early 20th-century rubber extraction boom precipitated acute declines, as caucheros (rubber gatherers) imposed debt peonage on indigenous laborers, compelling Pacahuara groups into exploitative work regimes that combined physical coercion with exposure to Old World diseases like influenza, measles, and whooping cough. This era halved",Pacahuara,Panoan
"Pacahuara Language (PCP) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/pcp/,Pacahuara is an endangered indigenous language of Bolivia. It belongs to the Panoan language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,Pacahuara,Panoan
Panoan | Ethnologue Free,https://www.ethnologue.com/subgroup/330/,"Bolivian Panoan 2 · Pacahuara pcp, a language of Bolivia · Chákobo 1 · Chácobo cao, a language of Bolivia · Mainline 18 · Poyanáwa pyn, a language of Brazil · Tuxináwa tux, a language of Brazil · Cashibo 1 · Kakataibo-Kashibo cbr, a language of Peru ·",Pacahuara,Panoan
"Category:Panoan languages - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/Category:Panoan_languages,"Pacahuara language (1 c, 0 e) Pisabo language (1 c, 0 e) Poyanáwa language (0 c, 0 e) Sharanahua language (1 c, 0 e) Shipibo-Conibo language (2 c, 0 e) Yaminahua language (2 c, 0 e) Yora language (0 c, 0 e) This category contains only the following page. Appendix:Proto-Panoan reconstructions ·",Pacahuara,Panoan
PANGIA - Music,https://pangiaraks.com/music,PANGIA music. Buy our music here,Pacahuara,Panoan
Panoan languages - Wikiwand,https://www.wikiwand.com/en/articles/Panoan_languages,Proel: Familia Panoana · Pacahuara and Yaminahua dictionaries online from IDS (select simple or advanced browsing) Lenguas de Bolivia Archived 2019-09-04 at the Wayback Machine (online edition) Wikiwand AI,Pacahuara,Panoan
