title,link,text,language,family
Cochimí - Wikipedia,https://en.wikipedia.org/wiki/Cochimí,Cochimí and Proto-Yuman: Lexical and Syntactic Evidence for a New Language Family in Lower California. University of Utah Anthropological Papers No. 101. Salt Lake City.,Paipai,Cochimí-Yuman
Yuman | Ethnologue Free,https://www.ethnologue.com/subgroup/3687/,"Cochimí-Yuman 9.Paipai ppi, a language of Mexico.",Paipai,Cochimí-Yuman
Yuman-Cochimi Languages - Sorosoro Sorosoro,https://www.sorosoro.org/en/yuman-cochimi-languages/,The speakers of Yuman-Cochimi languages are members of the Yuman-Cochimí “First Nations” in North America. Total number of speakers (estimated): Approximately 2800 according to UNESCO. Classification. The Yuman-Cochimi language family currently consists of 10 languages.,Paipai,Cochimí-Yuman
Paipai,https://docs.verbix.com/EndangeredLanguages/Paipai,"Language family: Cochimi-Yuman; Yuman; Pai branch (SIL classification). Number of speakers: Fewer than 50 total; 25 in Santa Katarina as of 2010 (Gómez & Ibáñez), and 49 as of 2015 (Ibáñez).",Paipai,Cochimí-Yuman
Cochimí,https://grokipedia.com/page/Cochimí,"Yuman languages like Kiliwa persist with minimal speakers, but Cochimí proper remains unrevived, underscoring a break in intergenerational transmission.",Paipai,Cochimí-Yuman
Yuman-Cochimi languages - YouTube,https://www.youtube.com/playlist?list=PL67dm6qliEMCBkczhKEX1sDgy0Nuepohi,Делитесь видео с близкими и друзьями по всему миру...,Paipai,Cochimí-Yuman
Wikitongues | Armandina_20181228_ppi,https://wikitongues.org/videos/armandina_20181228_ppi/,"Cochimí-Yuman. This video was recorded by Gary Quintanilla Ordoñez in Oaxaca, Mexico and features Armandina González speaking Paipai. Paipai was spoken by around 100 people in 2007.",Paipai,Cochimí-Yuman
UC Merced,https://escholarship.org/content/qt81n056kg/qt81n056kg.pdf,"Yuman-Cochimí and Yuman.The apparent closeness of the relationship between Paipai and Upland Yuman suggests that their split was quite recent, perhaps subsequent to A.D. 1000. Probably Too Late: Chemehuevi, Upland Yuman Dialects, Cahuilla Dialects, Kamia, Delta Yumans.",Paipai,Cochimí-Yuman
bajacalifology.org - Aboriginal Languages,https://sandiegoarchaeology.org/Laylander/Baja/languages1.htm,"The northernmost aboriginal Baja Californians spoke languages belonging to the Yuman family, including Kiliwa, Paipai, Tipai, Kumeyaay (Kumiai in Spanish), Cocopa (Cucapá), and Quechan.",Paipai,Cochimí-Yuman
KUMEYAAY MUSEUMS RESEARCH Web Portal California Indian...,https://kumeyaay.info/museums/,"Fort Yuma Indian Reservation, Winterhaven, CA. • YUMAN INDIAN TRIBE HISTORY accessgenealogy.comCOCHIMI (ko-chi-mi') -- A term originally used to designate a Yuman dialect supposed to have been spoken from about lat.",Paipai,Cochimí-Yuman
