title,link,text,language,family
"Pashai, Northeast | Ethnologue Free",https://www.ethnologue.com/language/aee/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuMTY0IiwiY291bnRyeSI6IlJVIiwidXNlcl9lbWFpbCI6IiIsImlzX2NvbnRyaWJ1dG9yIjpmYWxzZSwiaXNfYXV0aGVudGljYXRlZCI6ZmFsc2UsInBob3RvX3VybCI6IiIsInByb2ZpbGVfbmFtZSI6IiIsInJvbGUiOiIiLCJsZXZlbCI6IkZyZWUiLCJuZXR3b3JrX25hbWUiOiIiLCJyZWN1cmx5X2lkIjoiIiwidHlwZSI6IkZyZWUiLCJleHAiOjE3MzUyNDAzNzgsImlhdCI6MTczNDk4MTE3OH0.mrnRYwITa3DZpructSu3nsb1Ar2PYr1XyCo6qXBp1iY,Northeast Pashai is a stable indigenous language of Afghanistan. It belongs to the Indo-European language family.,"Pashai, Northeast",Indo-European
"Pashai, Northeast | Accent Network",https://accentnetwork.com/pashai-northeast/,"Northeast Pashai, part of the Indo-Iranian branch of the Indo-European language family, is spoken by approximately 60,000 people in northeastern Afghanistan.Other information. The Pashai people have rich traditions of storytelling and music, which are integral to their cultural expression.","Pashai, Northeast",Indo-European
"Pashai, Northeast language resources | Joshua Project",https://joshuaproject.net/index.php/languages/aee,"Listing of people groups speaking Pashai, Northeast. Pashai, Northeast dialects and alternate names. Bible and ministry resource availability.","Pashai, Northeast",Indo-European
"Pashai, Northeast language. Evangelism tools, church planting...",https://globalrecordings.net/en/language/aee,"Pashai, Northeast language and dialect information. Audio Bible stories and lessons.Each program is a customised and culturally relevant selection of scripts, and may include songs and music.","Pashai, Northeast",Indo-European
Northeast Pashai | find.bible,https://find.bible/en/languages/aee/,Northeast Pashai. Pashai [aee]. (Download entire table dataset).,"Pashai, Northeast",Indo-European
Indo-European | Ethnologue,https://web.archive.org/web/20210222215727/https://www.ethnologue.com/subgroups/indo-european,The Wayback Machine - https://web.archive.org/web/20210222215727/https://www.ethnologue.com/subgroups/indo-european. Skip to main content.Eastern (14). Northeastern (2).,"Pashai, Northeast",Indo-European
Pashai Northeast Kordari language - YouTube,https://www.youtube.com/watch?v=iOv2cknhFuM,О сервисе Прессе Авторские права Связаться с нами Авторам Рекламодателям...,"Pashai, Northeast",Indo-European
Pashayi languages,https://grokipedia.com/page/Pashayi_languages,"They comprise four main varieties—Northeast Pashai, Northwest Pashai, Southeast Pashai, and Southwest Pashai—distinguished by phonological, morphological, and lexical differences, and are collectively spoken by an estimated 500,000 people.","Pashai, Northeast",Indo-European
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.","Pashai, Northeast",Indo-European
Flight Network Home: Great Flights to Travel with Ease,https://www.flightnetwork.com/,"Welcome to Flight Network! Find our best cheap flight tickets, top destinations, and exclusive offers designed to make travel easier and worry free.","Pashai, Northeast",Indo-European
