title,link,text,language,family
Caddoan languages - Wikipedia,https://en.wikipedia.org/wiki/Caddoan_languages,"The Caddoan languages are a nearly extinct family of languages native to the Great Plains spoken by tribal groups of the central United States, from...",Pawnee,Caddoan
Songs Of The Pawnee - Drumhop,https://drumhop.com/music.php?page=95,"One of the most interesting tribes in this series is the Pawnee, a Caddoan tribe that formerly lived in Nebraska but is now located on a reservation near the town of Pawnee in Oklahoma. Two visits were made to the Pawnee.",Pawnee,Caddoan
Music of the Pawnee - Smithsonian Folkways Recordings,https://folkways.si.edu/mark-evarts/music-of-the-pawnee/american-indian/album/smithsonian,"Details of Pawnee traditions, entertainment, and culture are included in the liner notes, as well as details of each of the tracks, translated and interpreted by Weltfish.",Pawnee,Caddoan
Music of the Pawnee - YouTube,https://www.youtube.com/watch?v=tvybupAcgH8,"Jul 8, 2025 · Music of the Pawnee Label: Folkways Records Release Date: 1965 Tracklisting: 01.01. (A) Bear Song Of Peter Wood (B) Old Hand Game Song (C) Ghost Dance Hand Game Song 00:00 01.02.",Pawnee,Caddoan
Music Of The Pawnee - Sung By Mark Evarts - Archive.org,https://archive.org/details/lp_music-of-the-pawnee-sung-by-mark-evarts_mark-evarts,"Jul 13, 2021 · Five Songs Of The Cosmic Religion Of The Skidi Pawnee: (A) Evening Star (B) Morning Star (C) Planting (D) Nurturing (E) Transplanting Sacred & Awari Dance Songs: Hatuxa Lance Soc. (B) Wolf War Raid (C) Horse Soc. (D) Wolf & Scalped Man",Pawnee,Caddoan
Pawnee traditional music - Native American Tribes,https://nativeamericantribes.info/pawnee-traditional-music/,"Sep 3, 2025 · The sound of Pawnee music is distinctive, characterized by its powerful vocal delivery and the resonant thrum of percussive instruments. The primary instruments are drums and rattles.",Pawnee,Caddoan
Music of the Pawnee | Item Details | Research Catalog | NYPL,https://www.nypl.org/research/research-catalog/bib/b15947869,"Music of the Pawnee Indians. ""Introduction to the Pawnee people"" and the song texts transcribed and translated, by Gene Weltfish (11 p.) inserted in container. Event (note) ""Documentary recording by Dr. Gene Weltfish"" made in August, 1936. Language (note) Sung in a Caddoan language. Author Evarts, Mark. Performer Performer Mark Evarts, singer ...",Pawnee,Caddoan
Pawnee Language and the Pawnee Indian Tribe,https://www.native-languages.org/pawnee.htm,"Pawnee is a Caddoan language of the Great Plains, spoken by fewer than a hundred native people in Oklahoma.",Pawnee,Caddoan
Caddoan Language Family | Language and... | EBSCO Research,https://www.ebsco.com/research-starters/language-and-linguistics/caddoan-language-family,"The Caddoan Language Family encompasses a group of indigenous languages historically spoken across regions that are now parts of Arkansas, Kansas, Oklahoma, and East Texas.",Pawnee,Caddoan
Pawnee | Extended Timeline Wiki | Fandom,https://extended-timeline.fandom.com/wiki/Pawnee,"Pawnee is a Totemist Caddoan native tribe located in the Central Plains area, Great Plains region, of the North America continent; present at the start of the 'Pre-Roman-Parthian War' era.",Pawnee,Caddoan
