title,link,text,language,family
Pende people - Wikipedia,https://en.wikipedia.org/wiki/Pende_people,"Pende consider themselves to be the founder of Angola. Pende, wherever they live, have songs portraying the reasons of their departure from Angola to the DRCongo. Most importantly, after the death of their strong Queen NZINGA (Queen Nzinga of Ndongo and Matamba).",Phende,Niger-Congo
Pende (peuple) — Wikipédia,https://fr.wikipedia.org/wiki/Pende_(peuple),Musicien accompagnant les masques minganji 1 à Lozo-Munene (province du Kwilu).,Phende,Niger-Congo
African Music / Phende (Pende) - YouTube,https://www.youtube.com/watch?v=n8w9W5xC2Ow,"Apr 4, 2026 · Phende People in the DRC: Bandundu (Gungu, Idiofa, Feshi, Kikwit, ...) Kasai province. Aphende, Ambundu in Angola. Enjoy!!!",Phende,Niger-Congo
Phende Song - Greetings - YouTube,https://www.youtube.com/watch?v=Sn_R7WUj07k,"This video is about Phende music/dance. As you are going to notice, they are dancing and greeting: You can enjoy the rhythm although you don't understand a single word.",Phende,Niger-Congo
"Phende Language (PEM) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/pem/,Phende is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Phende,Niger-Congo
October Fest ️ 1st Annual Music Festival Phende Phende - 07 ...Pende (peuple) — WikipédiaCongo Songs 2025 ★ Top Congolese Music Playlist,https://www.facebook.com/reel/1359540847985088/,"Sep 29, 2023 · October Fest 🏟️ 1st Annual Music Festival Phende Phende - 07 October 2023 (Saturday) Thohoyandou Stadium Musicien accompagnant les masques minganji 1 à Lozo-Munene (province du Kwilu). Listen to Congo Songs 2025 ★ Top Congolese Music Playlist, a playlist curated by 21charts on desktop and mobile.",Phende,Niger-Congo
Congo Songs 2025 ★ Top Congolese Music Playlist,https://soundcloud.com/21charts/sets/congo-songs-2024-top-congolese,"Listen to Congo Songs 2025 ★ Top Congolese Music Playlist, a playlist curated by 21charts on desktop and mobile.",Phende,Niger-Congo
Phende Language (PEM) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/pem,Phende is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community.,Phende,Niger-Congo
Phende Language Sample | Language Museum,https://www.language-museum.com/encyclopedia/p/phende.php,"If you want to get a flavour of the Phende language, check out a small sample at the Language Museum.He was not that Light, but was sent to bear witness of that Light. Statistics. Democratic Congo (420,000) - Total (420,000).",Phende,Niger-Congo
"Full text of ""pmswiki-Lenga_Phende-20200725.pdf""",https://archive.org/stream/pmswiki-Lenga_Phende-20200725.pdf/pmswiki-Lenga_Phende-20200725_djvu.txt,La lenga Phende o Phende a fa part die lenghe niger-kordofanian-e e a I'e parla specialment an Congo. IT. Aiuto per la lettura.,Phende,Niger-Congo
