title,link,text,language,family
Purépecha language - Wikipedia,https://en.wikipedia.org/wiki/Purépecha_language,Purépecha was the main language of the pre-Columbian Purépecha Empire and became widespread in the region during its heyday in the late post-Classic period. The small town of Purepero got its name from the indigenous people who lived there.,"Purepecha, Western Highland",Tarascan
Purépecha - Wikipedia,https://en.wikipedia.org/wiki/Purépecha,"The Purépecha (Western Highland Purepecha: P'urhepecha [pʰuˈɽepet͡ʃa]) are a group of Indigenous people centered in the northwestern region of Michoacán, Mexico, mainly in the area of the cities of Cherán and Pátzcuaro.","Purepecha, Western Highland",Tarascan
Purepecha - YouTube Music,https://music.youtube.com/playlist?list=PL30bOv6-V3fDhNzKig2z6kwnYMhQ70loc,"Listen to Purepecha on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.","Purepecha, Western Highland",Tarascan
"Purepecha, Western Highland Language (PUA) - Ethnologue",https://www.ethnologue.com/language/pua/,"Western Highland Purepecha is a stable indigenous language of Mexico. It belongs to the Tarascan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.","Purepecha, Western Highland",Tarascan
Musica Purepecha - Melodigging,https://www.melodigging.com/genre/musica-purepecha,"Learn how to create music in the genres you love with our beginner-friendly studio that guides you step by step. Start making your own tracks in minutes. Música purépecha is the traditional and contemporary music of the Purépecha (P’urhépecha) people of the highlands of Michoacán, Mexico.","Purepecha, Western Highland",Tarascan
Music of the Tarascan Indians of Mexico: Music of Michoacán ...,https://folkways.si.edu/music-of-the-tarascan-indians-of-mexico-of-michoacan-and-mestizo-country/american-indian-world/album/smithsonian,"“I could still remember vividly the captivating lyricism of its songs, the charm of the people, and the serene beauty of the land,” writes Henrietta Yurchenco (1916–2007) about the Purépecha (Tarascan) musicians and landscapes of Tzintzuntzan, Michoacán, Mexico.","Purepecha, Western Highland",Tarascan
Tarascan | Ethnologue Free,https://www.ethnologue.com/subgroup/1900/,"Tarascan. Subgroup of 2 languages.Purepecha, Western Highland pua, a language of Mexico.","Purepecha, Western Highland",Tarascan
The Tarascan culture and empire - MexConnect,https://www.mexconnect.com/articles/225-the-tarasco-culture-and-empire/,"The Aztecs attempted more than once to conquer the Tarascan lands, but never attained their goal. This left the Aztecs with a major rival on their western border. In combat they repeatedly suffered grievous losses to the Tarascan armies.","Purepecha, Western Highland",Tarascan
"Purepecha, Western Highland language resources | Joshua Project",https://joshuaproject.net/languages/pua,"Listing of people groups speaking Purepecha, Western Highland. Purepecha, Western Highland dialects and alternate names. Bible and ministry resource availability.","Purepecha, Western Highland",Tarascan
Ride Through the Devil's Hollow – Dark Western Music... - YouTube,https://www.youtube.com/watch?v=YjiVTf_h054,"Ride Through the Devil's Hollow – Dark Western Music (Dark Country Music) Enter the haunted heart of the Wild West, where ghost towns echo with forgotte...","Purepecha, Western Highland",Tarascan
