title,link,text,language,family
Puri language - Wikipedia,https://en.wikipedia.org/wiki/Puri_language,"Puri (Puri: Kwaytikindo 'language') is an extinct and revitalizing language of eastern Brazil, spoken by the Puri people.",Puri,Purian
Purian | Ethnologue Free,https://www.ethnologue.com/subgroup/3716/,"Purian. Subgroup of 2 languages.Puri prr, a language of Brazil.",Puri,Purian
Ella Purian - Apple Music,https://music.apple.com/us/artist/ella-purian/1765158033,"Listen to music by Ella Purian on Apple Music. Find top songs and albums by Ella Purian including מושלמת, כמה זה כואב and more.",Puri,Purian
Puri | halwa Puri wali purian | پوری | حلوہ پوری والی پورریاں,https://www.youtube.com/watch?v=05zc8_CCTZ4,,Puri,Purian
Geldo | Hostoak,https://hostoak.bandcamp.com/track/geldo,"Puri-purian aritzeko Adi, eraginkor.Get fresh music recommendations delivered to your inbox every Friday.",Puri,Purian
Neue Bücher / New Books / Nuevos Libros | kollektivbibliothek,https://kollektivbibliothek.noblogs.org/?page_id=44,"Ferguson, Palestina eta mugimendu baterako oinarriak. Hau da Angela Davisek argitaratu duen azken liburua. Bertan puri-purian dauden munduko mugimendu sozial batzuk aztertzen ditu.",Puri,Purian
Oinarrizko errenta eta ekonomia sozial eta solidarioa,https://addi.ehu.es/handle/10810/49890,"Gainera, oinarrizko errenta puri-purian dagoen neurria dela egiaztatzen duten azken albisteetako batzuk jasoko ditut.",Puri,Purian
naiz: hedabidea zara,https://www.naiz.eus/fr/2024/mediateca/portadas-historicas/portadas-del-dia-04-08,"Neutroi-bonbaren inguruko eztabaida puri-purian zegoen 1978an. dimanche, 8 avril 1979. Hiru poliziaren aurkako atentatuaren berri 1979ko azal honetan.",Puri,Purian
Euskera C1 lokailuak -2020 Flashcards | Quizlet,https://quizlet.com/es/510578014/euskera-c1-lokailuak-2020-flash-cards/,"Study with Quizlet and memorise flashcards containing terms like hainbat arrazoik naramate aurreko baieztapen hori egitera, tamalez, Puri-purian and others.",Puri,Purian
Promotora Española de Lingüística,http://www.proel.org/index.php?pagina=mundo/amerindia/ge_pano/macro_je/purian,"Proel es una organización creada para impulsar el desarrollo lingüístico de las lenguas minoritarias, tanto en España como en el mundo...",Puri,Purian
