title,link,text,language,family
Quapaw language - Wikipedia,https://en.wikipedia.org/wiki/Quapaw_language,"To address this issue, an online dictionary of the Quapaw language is being compiled which incorporates all of the existing source material known to exist into one document using a version of the International Phonetic Alphabet which has been adapted for Siouan-Catawban languages.",Quapaw,Siouan-Catawban
Siouan languages - Wikipedia,https://en.wikipedia.org/wiki/Siouan_languages,"Siouan, also known as Siouan–Catawban, is a language family of North America located primarily in the Great Plains, Ohio and Mississippi valleys and southeastern North America with a few other languages in the east.",Quapaw,Siouan-Catawban
"Siouan - Wikipedija, prosta enciklopedija",https://sl.wikipedia.org/wiki/Siouan,"Predkontaktna razširjenost jezikov Siouan-Catawban.C. Kwapa, Quapaw (""ljudje navzdol"", povezano z Omaho), ""Arkansa"" pri prejšnjih piscih, večinoma na nekdanjem rezervatu Osage, Oklahoma, delno na rezervatu Quapaw, indijansko ozemlje.",Quapaw,Siouan-Catawban
The Quapaw Tribe - YouTube,https://www.youtube.com/watch?v=xQFKgRLerTs,"Mar 19, 2017 · 3.92K subscribers 18 1.4K views 8 years ago Provided to YouTube by Symphonic Distribution The Quapaw Tribe · DeeperPhil · DeeperPhil",Quapaw,Siouan-Catawban
"Quapaw Language | Quapaw Tribe, OK - Official Website",https://www.quapawtribe.com/758/Quapaw-Language,Here is a list of Quapaw words and sentences translated into English. The audio recordings included in this list were made by Native Quapaw speakers who have since passed away.,Quapaw,Siouan-Catawban
"Various Songs and Instrumental Music, Including Some from a ...",https://www.si.edu/object/archives/components/sova-naa-1994-30-ref362,"Various Songs and Instrumental Music, Including Some from a Quapaw Pow-Wow Natural History Museum",Quapaw,Siouan-Catawban
Quapaw language — Grokipedia,https://grokipedia.com/page/quapaw_language,"The Quapaw people, whose language belongs to the Dhegiha branch of the Siouan family, trace their ancestral origins to the Ohio River Valley, where their Dhegiha-speaking forebears lived near the confluence of the Ohio and Wabash Rivers around the time of European contact.",Quapaw,Siouan-Catawban
Quapaw Language - Sam Noble Museum,https://samnoblemuseum.ou.edu/collections-and-research/native-american-languages/map-of-oklahoma-languages/quapaw-language/,The Quapaw language was originally spoken in southeastern Arkansas in the area where the Arkansas River meets the Mississippi River. Quapaw is a member of the Dhegiha branch of the Siouan-Catawban language family.,Quapaw,Siouan-Catawban
Siouan-Catawban | Ethnologue Free,https://www.ethnologue.com/subgroup/654/,"Siouan-Catawban. Subgroup of 19 languages.Quapaw qua, a language of United States.",Quapaw,Siouan-Catawban
Siouan-Catawban | Ethnologue,https://web.archive.org/web/20130828214604/http://www.ethnologue.com/subgroups/siouan-catawban,Mississippi Valley Siouan (10). Chiwere-Winnebago (2).Quapaw [qua] (A language of United States).,Quapaw,Siouan-Catawban
