title,link,text,language,family
Huayno - Wikipedia,https://en.wikipedia.org/wiki/Huayno,"Huayno (Waynu in Quechua) [1] is a genre of popular Andean music and dance. It is especially common in Peru, western Bolivia, northwest Argentina and northern Chile, and is popular among the indigenous peoples, especially the Quechua people.","Quechua, Ayacucho",Quechuan
Ayacucho Quechua - Wikipedia,https://en.wikipedia.org/wiki/Ayacucho_Quechua,"Ayacucho is a variety of Southern Quechua spoken in the Ayacucho Region, Peru, as well as by immigrants from Ayacucho in Lima.","Quechua, Ayacucho",Quechuan
Música en quechua ayacuchano - YouTube,https://www.youtube.com/playlist?list=PLbIJUpSE7lbby2A-f5sNSQFaeGa0HQEnZ,"Música en quechua ayacuchano by Music in quechua • Playlist • 12 videos • 132,424 views Play all","Quechua, Ayacucho",Quechuan
Music in quechua - YouTube,https://www.youtube.com/@musicaenquechua,"If you like music and languages, you are in the right site. Here you will find music in ""quechua ayacuchano"" and ""quechua huanuqueño"" from Peru. I wish you enjoy this!!! ...more","Quechua, Ayacucho",Quechuan
Quechua Songs - Andes,http://www.andes.org/songs.html,"Jul 27, 2014 · I'm a child of the sun, coming for a purpose. I'’ve come to find and gather the people of the Inca nation. My purpose is to teach our values, and our Quechua language. Inca child, like myself, in what country are you crying? If you listen to my calling, come back to our homeland and culture.","Quechua, Ayacucho",Quechuan
Indigenous Andean Music - Melodigging,https://www.melodigging.com/genre/indigenous-andean-music,"Indigenous Andean music refers to the ceremonial, communal, and dance music of Quechua, Aymara, and other native peoples of the Andean highlands of present-day Peru, Bolivia, Ecuador, northern Chile, and northwestern Argentina.","Quechua, Ayacucho",Quechuan
Peru's Quechua rappers have the world taking notice ...,https://www.nationalgeographic.com/culture/article/rap-music-indigenous-quechua-language,"Jun 28, 2024 · Inspired partly by Uchpa, or Ashes, a Quechua-singing blues rock band formed in the early 1990s amid the violence in Ayacucho, the epicenter of the conflict, Andean young people are reclaiming...","Quechua, Ayacucho",Quechuan
Quechua-Ayacucho-Yaravi - YouTube,https://www.youtube.com/watch?v=sn5DN_YHmjk,Provided to YouTube by The Orchard EnterprisesQuechua-Ayacucho-Yaravi · UnspecifiedAnthology of Central and South American Indian Music℗ 2004 Smithsonian Fol...,"Quechua, Ayacucho",Quechuan
Quechua: Ayacucho - Yaravi Song... - Yaravionline on Gaana.com,https://gaana.com/song/quechua-ayacucho-yaravi-1,About Quechua: Ayacucho - Yaravi Song. Album/Movie. Anthology of Central and South American Indian Music.,"Quechua, Ayacucho",Quechuan
"Quechua, Ayacucho language. Evangelism tools, church planting...",https://globalrecordings.net/en/language/quy,"Download Quechua Ayacucho - Prodigal Son.mp3. Audio recordings available in Quechua, Ayacucho. These recordings are designed for evangelism and basic Bible teaching to bring the gospel message to people who are not literate or are from oral cultures...","Quechua, Ayacucho",Quechuan
