title,link,text,language,family
Andean music - Wikipedia,https://en.wikipedia.org/wiki/Andean_music,"Original chants and melodies come from the general area inhabited by Quechuas (originally from Peru, Bolivia, Ecuador, Chile), Aymaras (originally from Bolivia), and other peoples who lived roughly in the area of the Inca Empire prior to European contact.","Quechua, Cajamarca",Quechuan
Cajamarca Quechua - Wikipedia,https://en.wikipedia.org/wiki/Cajamarca_Quechua,"Cajamarca Quechua is a variety of Quechua spoken in the districts of Chetilla, Baños del Inca and Cajamarca in the Peruvian province of Cajamarca, along the northwest coast of Peru.","Quechua, Cajamarca",Quechuan
Quechua - YouTube Music,https://music.youtube.com/playlist?list=PL7MFFx5scbiloL2QVQ0jIdCnam4y34h2V,"Listen to Quechua on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.","Quechua, Cajamarca",Quechuan
Quechua music,https://music.youtube.com/playlist?list=PLHLLiyZHWWmrTLjniwMtskggMXPFcTYil,"Listen to Quechua music on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.","Quechua, Cajamarca",Quechuan
MUSICA EN QUECHUA | MUSICA EN QUECHUA Desde Cajamarca el ...,https://www.facebook.com/watch/?v=2406536316328074,"Dec 15, 2019 · MUSICA EN QUECHUA Desde Cajamarca el grupo QASHWA (tema - Suq chapadita qamqa) .","Quechua, Cajamarca",Quechuan
Llamitas Musica Tradicional De Los Andes | Quechua,https://quechua.bandcamp.com/,"Get the traditional Andean sounds of Quechua's ""Llamitas Musica Tradicional De Los Andes"". Download or listen online now, no hassle. This cassette gem brings folk and world vibes straight from the heart. Perfect for chill moments or cultural deep dives. Tracks like ""Hombre Enamorado"" and ""Llamitas"" feel ancient but fresh.","Quechua, Cajamarca",Quechuan
The Lost Sounds of the Andes: Reviving Indigenous Music in ...,https://soundsandcolours.com/subjects/travel/the-lost-sounds-of-the-andes-reviving-indigenous-music-in-the-digital-age-78133/,"Feb 6, 2025 · The traditional music of cultures such as the Quechua, Aymara, and Mapuche has, for generations, echoed across these lands through haunting flutes, stirring vocals, and rhythmic percussion.","Quechua, Cajamarca",Quechuan
Quechua Music. Ecuador - Bolivia - Peru - Album by Manta ...,https://open.spotify.com/album/7rofdb8m31IFGAHOoOgqDt,Listen to Quechua Music. Ecuador - Bolivia - Peru on Spotify. Manta Bolivia · Album · 1988 · 16 songs.,"Quechua, Cajamarca",Quechuan
Himno Nacional Perú Estilo Cajamarca | TikTok,https://www.tiktok.com/discover/himno-nacional-perú-estilo-cajamarca,"Himno Nacional del Perú en quechua #himnonacionaldelperu #Cusco #Sicuani #Quechua.26 me gusta,Vídeo de TikTok de Yesi (@yesistar): «#chugur #cajamarca #peru #music #himno #tierra #guitarras #guitarra #vals #parati».Himno a Chugur sonido original - Yesi. 559.","Quechua, Cajamarca",Quechuan
Glottolog 5.3 - Quechuan,https://glottolog.org/resource/languoid/id/quec1387,Quechuan (43). Cajamarca-Lambayeque Quechua (2). Ecuadorian Quechua A (3). Bolivar-North Chimborazo Highland Quichua.,"Quechua, Cajamarca",Quechuan
