title,link,text,language,family
South Bolivian Quechua - Wikipedia,https://en.wikipedia.org/wiki/South_Bolivian_Quechua,"South Bolivian Quechua, also known as Central Bolivian Quechua, is a dialect of Southern Quechua spoken in Bolivia and adjacent areas of Argentina, where it is also known as Colla. It is not to be confused with North Bolivian Quechua...","Quechua, South Bolivian",Quechuan
Andean music - Wikipedia,https://en.wikipedia.org/wiki/Andean_music,"It includes folklore music of parts of Peru, Bolivia, and Ecuador. Andean music is popular to different degrees across South America, having its core public in rural areas and among indigenous populations.","Quechua, South Bolivian",Quechuan
Quechua Music - Album by Bolivia Manta - YouTube Music,https://music.youtube.com/playlist?list=OLAK5uy_lVLiXVRh_F4qSvRgPCiId2rItwiR6U664,"Listen to Quechua Music by Bolivia Manta on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.","Quechua, South Bolivian",Quechuan
Bolivia 1955 | 2 Hours of Vintage Andean and Lowland Music ...,https://www.youtube.com/watch?v=T5lcftfMky8,"May 23, 2026 · The 1955 Series visits every country on Earth, one country at a time, capturing the music a listener might have heard there in 1955. From Afghanistan to Zimbabwe, 197 countries in total.","Quechua, South Bolivian",Quechuan
Quechua Music - Album by Bolivia Manta | Spotify,https://open.spotify.com/album/1dM4AmktQXxdylodSc5ysl,Listen to Quechua Music on Spotify. Bolivia Manta · Album · 1982 · 16 songs.,"Quechua, South Bolivian",Quechuan
Stream Bolivia Manta | Listen to Quechua Music playlist ...,https://soundcloud.com/boliviamanta/sets/quechua-music,"Listen to Quechua Music, a playlist curated by Bolivia Manta on desktop and mobile.","Quechua, South Bolivian",Quechuan
"The Jesus Film - Quechua, South Bolivian / Central... - YouTube",https://www.youtube.com/watch?v=V_ru4eMSRo8,"The Story of the Life and Times of Jesus Christ (Son of God).According to the Gospel of Luke.(Bolivia, Argentina) Quechua, South Bolivian / Central Bolivian ...","Quechua, South Bolivian",Quechuan
"Quechua, South Bolivian Language... | Ethnologue Free",https://www.ethnologue.com/language/quh/,"South Bolivian Quechua is a stable indigenous language of Bolivia, Argentina, and Chile. It belongs to the Quechuan language family and is part of the Quechua macrolanguage.","Quechua, South Bolivian",Quechuan
"Quechua, South Bolivian | World Mission Media",https://worldmission.media/languages-of-the-world/quechua-south-bolivian,"South Bolivian Quechua is part of the Quechuan language family, predominantly spoken in Bolivia. It's estimated to have around 2.8 million speakers, also present in Argentina and Chile.","Quechua, South Bolivian",Quechuan
Glottolog 5.3 - South Bolivian Quechua,https://glottolog.org/resource/languoid/id/sout2991,Southern Pastaza Quechua.South Bolivian Quechua. lexvo: Quechua in Bolivien [de]. Quechua sudboliviano [es]. Qullasuyu qhichwa simi [qu].,"Quechua, South Bolivian",Quechuan
