title,link,text,language,family
Baltic Romani - Wikipedia,https://en.wikipedia.org/wiki/Baltic_Romani,"Baltic Romani came from the Central Romani dialect, which branches off into other dialects. There are a total of around 31,500 users in all countries.Language family. Indo-European.","Romani, Baltic",Indo-European
Baltic Romani,https://grokipedia.com/page/Baltic_Romani,"Baltic Romani exhibits a rich nominal morphology characteristic of conservative Indo-Aryan languages, with nouns, pronouns, and adjectives inflecting for gender, number, and case.","Romani, Baltic",Indo-European
Endangered Languages Project - Baltic Romani,https://www.endangeredlanguages.com/lang/5341,"Also known as. Romani, Baltic, Romany, Zigeuner, European Romany. CLASSIFICATION. Indo-European, Indo-Iranian, Indo-Aryan, Central Zone. Code authority. Iso 639-3.","Romani, Baltic",Indo-European
Romani language - Wikiwand,https://www.wikiwand.com/en/articles/Romani_language,"Romani is an Indo-Aryan macrolanguage of the Romani people. The largest Romani dialects are Vlax Romani, Balkan Romani (600,000), and Sinte Romani (300,000).","Romani, Baltic",Indo-European
Who Were the Proto-Indo-Europeans? - YouTube,https://www.youtube.com/watch?v=j_mj64nrmnM,"A captivating overview of the origins and characteristics of the Proto-Indo-Europeans, as well as theories regarding how they managed to spread through Europ...","Romani, Baltic",Indo-European
Baltic Romani - LanguageMap.eu,https://www.languagemap.eu/?languagemap_language=baltic-romani,"Baltic Romani. February 12, 2026. Baltic Romani. Add a comment. Note: Comments are moderated.","Romani, Baltic",Indo-European
Glottolog 5.3 - Indo-European,https://glottolog.org/resource/languoid/id/indo1319,Lydian. Classical Indo-European (573). Anglo-Northwestern Romani (4).,"Romani, Baltic",Indo-European
"Romani, Baltic in Poland people group profile | Joshua Project",https://joshuaproject.net/people_groups/20789/PL,"Originally coming from India, the Romani are now scattered throughout the world. Little is known today about the lives of the 2 to 3 million Dom who live in European countries. This is largely due to the closed communities they maintain.","Romani, Baltic",Indo-European
science.org/doi/10.1126/science.abm4247,https://www.science.org/doi/10.1126/science.abm4247,...study published in Science supports origin of early Proto-Indo-European...,"Romani, Baltic",Indo-European
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.","Romani, Baltic",Indo-European
