title,link,text,language,family
Pangutaran Sama language - Wikipedia,https://en.wikipedia.org/wiki/Pangutaran_Sama_language,"Pangutaran Sama, also known as Siyama, is an Austronesian language spoken in the Sulu Archipelago of the Philippines. The language belongs to the Malayo-Polynesian branch of the Austronesian languages.","Sama, Pangutaran",Austronesian
Sama-Bajau - Wikipedia,https://en.wikipedia.org/wiki/Sama-Bajau,"Sama Bihing or Sama Lipid – The ""shoreline Sama"" or "" littoral Sama"". These are the Sama-Bajau which traditionally lived in stilt houses in shallows and coastal areas.","Sama, Pangutaran",Austronesian
"Sama, Pangutaran in Philippines people group profile | Joshua ...ABVD: Sama (Pangutaran)Pangutaran Sama language - WikipediaSama-Bajau - WikipediaPangutaran Sama language — Grokipedia",https://joshuaproject.net/people_groups/14295/RP,"The Pangutaran Sama are known for their traditional dances, songs, percussion and xylophone music, dyed mats and food covers, and wood carvings. Wood carvings for graves are especially ornate. Language: Sama (Pangutaran) ... Resources: Ethnologue Information for slm OLAC Information for slm [Suggest a resource] Pangutaran Sama, also known as Siyama, is an Austronesian language spoken in the Sulu Archipelago of the Philippines. The language belongs to the Malayo-Polynesian branch of the Austronesian languages. Sama Bihing or Sama Lipid – The ""shoreline Sama"" or "" littoral Sama"". These are the Sama-Bajau which traditionally lived in stilt houses in shallows and coastal areas. Pangutaran Sama belongs to the Western Sulu subgroup within the Sulu-Borneo branch of the Sama-Bajaw language family, a group within the Malayo-Polynesian branch of Austronesian whose diversification occurred in the Sulu Archipelago around 800 CE from Proto-Sama-Bajaw (PSB).","Sama, Pangutaran",Austronesian
ABVD: Sama (Pangutaran),https://abvd.eva.mpg.de/austronesian/language.php?id=733,1992. English-Pangutaran Sama Dictionary. Manila: Summer Institute of Linguistics.Creative Commons License The Austronesian Basic Vocabulary Database by Greenhill et al. is licensed under a Creative Commons Attribution 4.0 International License.,"Sama, Pangutaran",Austronesian
Pangutaran Sama language — Grokipedia,https://grokipedia.com/page/pangutaran_sama_language,"Pangutaran Sama belongs to the Western Sulu subgroup within the Sulu-Borneo branch of the Sama-Bajaw language family, a group within the Malayo-Polynesian branch of Austronesian whose diversification occurred in the Sulu Archipelago around 800 CE from Proto-Sama-Bajaw (PSB).","Sama, Pangutaran",Austronesian
Pangutaran Musicians - Pa ayarun ( Sama Pangutaran Song ...,https://www.youtube.com/watch?v=3iIh4SZU1TM,"May 30, 2026 · Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.","Sama, Pangutaran",Austronesian
Pangutaran Musicians - Pahaggut ( Sama Pangutaran Song ...,https://www.youtube.com/watch?v=s01aTU5LI-4,"Jun 18, 2026 · Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.","Sama, Pangutaran",Austronesian
"Sama, Pangutaran Language (SLM)... | Ethnologue Free",https://www.ethnologue.com/language/slm/,Pangutaran Sama is a stable indigenous language of the Philippines. It belongs to the Austronesian language family.,"Sama, Pangutaran",Austronesian
Sama (Pangutaran) Language Sample | Language Museum,https://www.language-museum.com/encyclopedia/s/sama-pangutaran.php,"If you want to get a flavour of the Sama (Pangutaran) language, check out a small sample at the Language Museum.Philippines (20,000) - Total (20,000). Classification. Austronesian | Malayo-Polynesian.","Sama, Pangutaran",Austronesian
Pangutaran Sama - slm (Austronesian) - PeopleGroups.org,https://peoplegroups.org/language/slm/,"Pangutaran Sama (slm) is part of the Austronesian family and Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw, Sulu-Borneo, Western Sulu Sama class.","Sama, Pangutaran",Austronesian
