title,link,text,language,family
language-museum.com/s/sangir.php,https://www.language-museum.com/s/sangir.php,Language Museum - Sangir.,Sangir,Austronesian
Austronesian Music & Instruments - YouTube,https://www.youtube.com/watch?v=2MI-S_5gG3Y,School: National Taiwan Normal UniversityCourse: Comparative study of Cultural Zone on Austronesian Music (II)Venue: Music Building AnnexDate: 9 June 2025.,Sangir,Austronesian
Category:Sangir terms derived from Austronesian languages...,https://en.wiktionary.org/wiki/Category:Sangir_terms_derived_from_Austronesian_languages,"Sangir terms that originate from one of the Austronesian languages. This category should, ideally, contain only other categories. Entries can be categorized here, too, when the proper...",Sangir,Austronesian
MoonwalkersMusic - Давай газуй » Музыкальные новинки 2026...,https://muzexo.net/72819-moonwalkersmusic-davaj-gazuj.html,"На muzexo.net вы можете скачать трек Давай газуй - MoonwalkersMusic в формате mp3 бесплатно, а также слушать его онлайн в хорошем качестве.",Sangir,Austronesian
Interval Ear Training,https://www.musictheory.net/exercises/ear-interval,Music Theory – Handy Interval Training Tool.,Sangir,Austronesian
muse.jhu.edu/article/464591,https://muse.jhu.edu/article/464591,"A reference grammar of Puyuma, an Austronesian language of Taiwan.",Sangir,Austronesian
Radio Garden – Explore live radio by rotating the globe,https://radio.garden/,Musique Haitienne Metro compas Live 24 h Compas music La Radio du...,Sangir,Austronesian
Backstrap looms of Indonesia - Personal Pouch Project,https://www.arteliergroeger.net/2022/09/08/backstrap-looms-of-indonesia/,"Ethnic group: Sangiree (Austronesian) - Sangir, Indonesia. Loom category: [B] Externally-braced, body-tensioned handlooms with a circular warp.",Sangir,Austronesian
The Complete List of Indigenous Languages in Philippines - 33travels,https://33travels.com/indigenous-languages-in-philippines/,"This post details 92 unique languages, including their families, primary regions, number of speakers, and current status, offering a deep dive into the nation's vibrant cultural heritage.",Sangir,Austronesian
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Sangir,Austronesian
