title,link,text,language,family
Trans–New Guinea languages - Wikipedia,https://en.wikipedia.org/wiki/Trans–New_Guinea_languages,"Trans–New Guinea is an extensive family of Papuan languages spoken on the island of New Guinea and neighboring islands, a region corresponding to the country Papua New Guinea as well as parts of Indonesia.",Sawila,Trans-New Guinea
Trans New Guinea [Newguineaworld],https://newguineaworld.linguistik.uzh.ch/families/trans-new-guinea/start,"Trans New Guinea. Timothy Usher, Santa Fe Institute.Awaiting the conclusion of lexical comparison between its reconstructed subfamilies, the most compelling evidence for Trans-New Guinea is the formal resemblances between the personal pronouns of its members.",Sawila,Trans-New Guinea
Sawila language and alphabet,https://omniglot.com/writing/sawila.htm,"Sawila is a member of the East Alor branch of the Trans-New Guinea language family. It is spoken by about 3,000 people in Alor Archipelago in the Alor Regency in the province of East Nusa Tenggara in southern Indonesia.",Sawila,Trans-New Guinea
TRANS-NEW GUINEA: HULI & MELPA - YouTube,https://www.youtube.com/watch?v=bGAzV_Ja2_8,About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features.,Sawila,Trans-New Guinea
Sawila,https://docs.verbix.com/EndangeredLanguages/Sawila,"Language family: Trans-New Guinea, West, Timor-Alor-Pantar, Tanglapui (SIL classification). Number of speakers: ~3,000. Vulnerability: Threatened.",Sawila,Trans-New Guinea
Ready for Sale: Trans Music Tracks Available Now | TikTok,https://www.tiktok.com/@vauliatrans/video/7630401869696847125,"Ready for sale: new trans tracks from loss, faulatrans, sawila and vauula are now available for purchase.",Sawila,Trans-New Guinea
Sawila phonology | Berikium33 Wiki | Fandom,https://berikium33.fandom.com/wiki/Sawila_phonology,Papuan language phonologies. Trans–New Guinea. WTNG.,Sawila,Trans-New Guinea
Hera Awan Sawila - Apple Music,https://music.apple.com/us/artist/hera-awan-sawila/1892543594,Listen to music by Hera Awan Sawila on Apple Music. Find top songs and albums by Hera Awan Sawila including Mahfudzot Kelas 2 KMI.,Sawila,Trans-New Guinea
Tanglapui languages,https://grokipedia.com/page/tanglapui_languages,"Sawila, also known as Manata or Tanglapui, is spoken by about 3,000 people mainly in the interior and coastal villages of eastern Alor, while Kula (also called Lamtoka or Lantoka) has around 5,000 speakers distributed across...",Sawila,Trans-New Guinea
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Sawila,Trans-New Guinea
