title,link,text,language,family
Selepet language - Wikipedia,https://en.wikipedia.org/wiki/Selepet_language,"Selepet language ... Selepet (or Selepe) [2] is a Papuan language spoken in Selepet Rural LLG, Morobe Province, Papua New Guinea.",Selepet,Trans-New Guinea
Music of Papua New Guinea - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Papua_New_Guinea,"The music of Papua New Guinea encompasses a wide range of traditional and contemporary styles developed across the country's highly diverse ethnic groups. Traditional celebrations known as sing-sing feature communal song and dance, and form a central part of cultural life.",Selepet,Trans-New Guinea
Trans–New Guinea languages - Wikipedia,https://en.wikipedia.org/wiki/Trans–New_Guinea_languages,"Trans–New Guinea is an extensive family of Papuan languages spoken on the island of New Guinea and neighboring islands, a region corresponding to the country Papua New Guinea as well as parts of Indonesia.",Selepet,Trans-New Guinea
SPIRIT BILONG SEPIK | NTM | Kambaramba Chants Papua New ...Selepet language - WikipediaSepik Hits - YouTubeSelepet Phoneme Inventory — IPA LookupLanguage: Selepet - transnewguinea.orgMusic of Papua New Guinea - The Perry ProjectMusic of Papua New Guinea - Wikipedia,https://www.youtube.com/watch?v=lNzLeONTY0U,"Mar 22, 2026 · SPIRIT BILONG SEPIK | NTM | Kambaramba Chants Papua New Guinea Music Niugini Trends Music 207K subscribers 24 Share Selepet language ... Selepet (or Selepe) [2] is a Papuan language spoken in Selepet Rural LLG, Morobe Province, Papua New Guinea. FELIX YAUSI (PNG Music 2019) Selepet (Nuclear Trans New Guinea) has 21 phonemes. Browse its full IPA sound inventory and compare it to other languages. Information: Glottocode: sele1250 ISO 639: spl Sources: McElhanon (1967) & McElhanon and Voorhoeve (1970) Classification: Trans-New Guinea, Finisterre-Huon, Huon, Western In their many exploits overseas, they have collected various recordings of New Guinea music. They asked me to digitize several of their recordings for their own use and, due to a wider interest in access to these recordings, I decided to make them available here. The music of Papua New Guinea encompasses a wide range of traditional and contemporary styles developed across the country's highly diverse ethnic groups. Traditional celebrations known as sing-sing feature communal song and dance, and form a central part of cultural life.",Selepet,Trans-New Guinea
Selepet Phoneme Inventory — IPA Lookup,https://ipalookup.com/languages/selepet,Selepet (Nuclear Trans New Guinea) has 21 phonemes. Browse its full IPA sound inventory and compare it to other languages.,Selepet,Trans-New Guinea
Language: Selepet - transnewguinea.org,https://transnewguinea.org/language/selepet,"Information: Glottocode: sele1250 ISO 639: spl Sources: McElhanon (1967) & McElhanon and Voorhoeve (1970) Classification: Trans-New Guinea, Finisterre-Huon, Huon, Western",Selepet,Trans-New Guinea
Music of Papua New Guinea - The Perry Project,http://www.theperryproject.org/music-of-papua-new-guinea.html,"In their many exploits overseas, they have collected various recordings of New Guinea music. They asked me to digitize several of their recordings for their own use and, due to a wider interest in access to these recordings, I decided to make them available here.",Selepet,Trans-New Guinea
Selepet Language (SPL) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/spl/,"Selepet is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.",Selepet,Trans-New Guinea
Selepet - spl (Trans-New Guinea) - PeopleGroups.org,https://peoplegroups.org/language/spl/,"Selepet (spl) is part of the Trans-New Guinea family and Trans-New Guinea, Finisterre-Huon, Huon, Western class.",Selepet,Trans-New Guinea
Selepet language,https://grokipedia.com/page/selepet_language,"Selepet is a Trans-New Guinea language spoken by approximately 7,000 people in Morobe Province, Papua New Guinea. It belongs to the Finisterre-Huon branch of this family and is primarily used in the Selepet Rural LLG area along the Huon Peninsula.",Selepet,Trans-New Guinea
