title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Sera,Austronesian
Austronesian Music & Instruments - YouTube,https://www.youtube.com/watch?v=2MI-S_5gG3Y,School: National Taiwan Normal UniversityCourse: Comparative study of Cultural Zone on Austronesian Music (II)Venue: Music Building AnnexDate: 9 June 2025.,Sera,Austronesian
Another Austronesian Classic | TikTok,https://www.tiktok.com/discover/another-austronesian-classic,"Austronesian cultural dance performance, Argentine Tango influences in Austronesia, Austronesian classic music, traditional Austronesian dance styles, dancing with Austronesian roots...",Sera,Austronesian
Microsoft Word - Austronesian music web.doc,https://rogerblench.info/Ethnomusicology/Papers/Asia/General/Blench+AN+music+paper+I.pdf,Musical aspects of Austronesian culture. presented at the1. Introduction. Austronesian is a linguistic concept that has gained considerable currency in archaeology and genetics.,Sera,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"""Southeast Asia & Taiwan: Austronesian Music and Cultural Exchange"". Speakers. Huang Hsin-Ying, Division Chief, The National Center for Traditional Arts Chi-Shan Chang...",Sera,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Sera,Austronesian
"Beautiful Piano Music, Vol. 3 _ Relaxing Music for Sleep Relaxation by...",https://vk.com/video-203752058_456239141,Видеозаписи Best Relaxation Music. 30 видео.Красивая мелодия без слов Elena Zhvania - Music For The Soul. 4:31.,Sera,Austronesian
Keyboard Ear Training,https://www.musictheory.net/exercises/ear-keyboard,Keyboard Ear Training - Music Theory.net.,Sera,Austronesian
Wikitongues | sry,https://wikitongues.org/languages/sry/,"Sera, Serra, Ssia. Identifiers. ISO code. sry. Glottocode. sera1260. Metadata. Countries of origin.Linguistic genealogy. Austronesian.",Sera,Austronesian
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Sera,Austronesian
