title,link,text,language,family
Shompen language - Wikipedia,https://en.wikipedia.org/wiki/Shompen_language,"Shompen, or Shom Peng, is a language or group of languages spoken on Great Nicobar Island in the Indian union territory of the Andaman and Nicobar Islands, in the Indian Ocean, northwest of Sumatra, Indonesia.",Shom Peng,Austro-Asiatic
Endangered Languages Project - Shom Peng - Guide,https://www.endangeredlanguages.com/lang/5146/guide?hl=en,"Shom Peng [aka Shom Pen, Shompeng, Shompen] Classification: Austro-Asiatic · threatened DescriptionResourcesActivityRevitalizationBibliographySuggest a ChangeSubscribe",Shom Peng,Austro-Asiatic
OLAC resources in and about the Shom Peng language,http://language-archives.org/language/sii,"Language descriptions Other resources about the language Other known names and dialect names: Shobang, Shom Pen, Shompen, Shompeng",Shom Peng,Austro-Asiatic
Shom Peng - docs.verbix.com,https://docs.verbix.com/EndangeredLanguages/ShomPeng,"More information: A Scheduled Tribe. Seminomadic. Traditional religion. Shom Peng is spoken in India, South Asia.",Shom Peng,Austro-Asiatic
Austro-Asiatic | Ethnologue Free,https://www.ethnologue.com/subgroup/231/,"Austro-Asiatic Subgroup of 167 languages Collapse All Expand All Mon-Khmer 144 Aslian Jah Hut Jah Hut jah, a language of Malaysia North Aslian Chewong Cheq Wong cwg, a language of Malaysia Eastern Batek btq, a language of Malaysia Jehai jhi, a language of Malaysia Minriq mnq, a language of Malaysia Mintil mzt, a language of Malaysia Tonga",Shom Peng,Austro-Asiatic
YouTube Music,https://music.youtube.com/,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can’t get...",Shom Peng,Austro-Asiatic
Austro-Asiatic | Ethnologue Free,https://www.ethnologue.com/subgroup/231/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiIyMTMuMTgwLjIwMy42IiwiY291bnRyeSI6IlJVIiwidXNlcl9lbWFpbCI6IiIsImlzX2NvbnRyaWJ1dG9yIjpmYWxzZSwiaXNfYXV0aGVudGljYXRlZCI6ZmFsc2UsInBob3RvX3VybCI6IiIsInByb2ZpbGVfbmFtZSI6IiIsInJvbGUiOiIiLCJsZXZlbCI6IkZyZWUiLCJuZXR3b3JrX25hbWUiOiIiLCJyZWN1cmx5X2lkIjoiIiwidHlwZSI6IkZyZWUiLCJleHAiOjE3MzQxOTY3MDEsImlhdCI6MTczMzkzNzUwMX0.APr-rm8w7NaDHs8J5o9dkC9NNQhJOHRHauOk2RJyE2Q,Expand All. Austro-Asiatic. Mon-Khmer 144.Shom Peng 1.,Shom Peng,Austro-Asiatic
Shom Peng - sii (Austro-Asiatic) - PeopleGroups.org,https://peoplegroups.org/language/sii/,"Shom Peng (sii) is part of the Austro-Asiatic family and Austro-Asiatic, Mon-Khmer, Nicobar, Shom Peng class. Shom Peng speaking People Groups across the world: Fast Facts",Shom Peng,Austro-Asiatic
Endangered Languages Project - Shom Peng,https://www.endangeredlanguages.com/lang/5146,"Did you know Shom Peng is threatened?CLASSIFICATION. Austro-Asiatic, Nicobarese, South Nicobar. Code authority. Iso 639-3.",Shom Peng,Austro-Asiatic
Shompen language,https://grokipedia.com/page/Shompen_language,"The Shompen language, also known as Shom Peng, is a critically endangered Austroasiatic language spoken exclusively by the Shompen people, a semi-nomadic...",Shom Peng,Austro-Asiatic
