title,link,text,language,family
African Congo Drum Music - YouTube,https://www.youtube.com/watch?v=jMz6e-mRUVY,"The traditional music of Africa, given the vastness of the continent, is historically ancient, rich and diverse, with different regions and nations of Africa...",Shubi,Niger-Congo
Listen to music by Shubi on Apple Music. Find top songs and albums...,https://music.apple.com/us/artist/shubi/1571335958,"Nigeria. Oman. Qatar. Congo, Republic of. Rwanda. Saudi Arabia.Apple Music & Privacy. Cookie Warning. Support.",Shubi,Niger-Congo
"DJ Erycom: Download Ugandan Music 2026, Uganda Music...",https://www.djerycom.ug/,Ugandan music videos 2026. Munsimanga Roo Ya Simba.Congo Music. Dancehall.,Shubi,Niger-Congo
Shubi language — Grokipedia,https://grokipedia.com/page/shubi_language,"Shubi is a Bantu language (ISO 639-3: suj) spoken primarily by the Shubi people in the Kagera Region of northwestern Tanzania. It belongs to the Niger-Congo language family, specifically the Northeast.",Shubi,Niger-Congo
Nigerian Music | No Copyright Song & MP3 Free Downloads - Pixabay,https://pixabay.com/music/search/nigerian/,64+ Nigerian no copyright music. Download nigerian royalty-free audio tracks and instrumentals for your next project.,Shubi,Niger-Congo
AUDIO | Spender Music - Shubi | Download - DJ Mwanga,https://djmwanga.com/2024/11/spender-shubi.html,DJ Mwanga. Welcome to DJMwanga Music Website.Download | Spender – Shubi [Mp3 Audio].,Shubi,Niger-Congo
Shubi Language Sample | Language Museum,https://www.language-museum.com/encyclopedia/s/shubi.php,"If you want to get a flavour of the Shubi language, check out a small sample at the Language Museum.Tanzania (153,000) - Total (153,000). Classification. Niger-Congo | Atlantic-Congo.",Shubi,Niger-Congo
Online departures flight schedule of Vnukovo international airport,https://www.vnukovo.ru/en/for-passengers/flights/online/?bound=departure,Congo+242. Cook Islands+682. Costa Rica+506.,Shubi,Niger-Congo
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Shubi,Niger-Congo
alternatehistory.com,https://www.alternatehistory.com/,"Alternate History Discussion: After 1900. General discussion about alternate history scenarios where the divergence from real history happens from 1900 AD onward. Post ""what if"" questions and talk about the results. NOT debates about presen...",Shubi,Niger-Congo
