title,link,text,language,family
Siawi language - Wikipedia,https://en.wikipedia.org/wiki/Siawi_language,"It is spoken in Siawi village (4.062998°S 141.421181°E), Green River Rural LLG, Sandaun Province, Papua New Guinea. [1][2] The name ""Siawi"" is misspelling of the endonym, Siafli, used on government maps. The old name for the language, ""Musan"", is a clan name. [3]",Siawi,Amto-Musan
Amto–Musan languages - Wikipedia,https://en.wikipedia.org/wiki/Amto–Musan_languages,"Amto–Musan is a language family of two closely related but mutually unintelligible Papuan languages, Amto and Siawi, spoken along the Samaia River of Sandaun Province of Papua New Guinea.",Siawi,Amto-Musan
Amto–Musan languages - Wikipedia,https://en.wikipedia.org/wiki/Amto-Musan_languages,"August 4, 2024 - Amto–Musan is a language family of two closely related but mutually unintelligible Papuan languages, Amto and Siawi, spoken along the Samaia River of Sandaun Province of Papua New Guinea.",Siawi,Amto-Musan
Siawi language,https://grokipedia.com/page/siawi_language,"The Siawi language, assigned the ISO 639-3 code mmp, is primarily known by its exonym ""Siawi"" in linguistic literature and international databases.[4][2] Alternative names for Siawi include Musan, Musa, Musian, Siafli, and Siwai, reflecting variations used in ethnographic and missionary records as well as early linguistic surveys.[2][5] These designations appear in classifications of Papuan languages, where Siawi is grouped within the small Amto-Musan family alongside Amto.[6] In some regional surveys of Sandaun Province languages, Siawi is treated as a dialect of Amto, with shared alternate names such as Ki, Siwai, Siawi, and Siafli for the broader variety; this nomenclature aids identification in governmental mapping and documentation efforts in Papua New Guinea.[7]",Siawi,Amto-Musan
"Siawi Language (MMP) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/mmp/,"Siawi is an endangered indigenous language of Papua New Guinea. It belongs to the Amto-Musan language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Siawi,Amto-Musan
Amto language — Grokipedia,https://grokipedia.com/page/amto_language,"January 7, 2026 - These variants appear in linguistic surveys and databases, reflecting early documentation efforts in the region.[6][5] No major dialects of Amto are documented in contemporary classifications, though minor phonetic or lexical variations may occur among speakers in its primary villages of Amto, Amu, and Habiyon along the Samaia River in Sandaun Province, Papua New Guinea.[10] Historical sources, such as Ethnologue editions from the early 2000s, occasionally listed Siawi as a dialect of Amto based on pairwise lexical comparisons yielding a score of 6 (indicating well-differentiated but related v",Siawi,Amto-Musan
Spotify - Web Player: Music for everyone,https://open.spotify.com/,Spotify is a digital music service that gives you access to millions of songs.,Siawi,Amto-Musan
Siawi language explained,https://everything.explained.today/Siawi_language/,"Siawi, also known as Musan, is one of two Amto–Musan (Samaia River) languages. It is spoken in Siawi village (-4.063°N 141.4212°W), Green River Rural LLG, Sandaun Province, Papua New Guinea.",Siawi,Amto-Musan
Amto-Musan | Ethnologue Free,https://www.ethnologue.com/subgroup/2243/,"Amto amt, a language of Papua New Guinea · Siawi mmp, a language of Papua New Guinea ·",Siawi,Amto-Musan
Siawi - Wikidata,https://www.wikidata.org/wiki/Q2605703,Musan · Siawi language edit · instance of · language · 1 reference · stated in · Ethnologue · modern language · 1 reference · reference URL · https://iso639-3.sil.org/code/mmp · subclass of · Amto–Musan · 0 references · country · Papua New Guinea ·,Siawi,Amto-Musan
