title,link,text,language,family
Oto-Manguean languages - Wikipedia,https://en.wikipedia.org/wiki/Oto-Manguean_languages,"Campbell and Poser, writing in 2008, concluded, ""Tlapanec-Subtiaba proved not to belong to 'Hokan' as postulated by Sapir (1925a), but to be a branch of Otomanguean....""",Subtiaba,Otomanguean
Subtiaba language - Wikipedia,https://en.wikipedia.org/wiki/Subtiaba_language,"Subtiaba, also known as Maribio, is an extinct Oto-Manguean language which was spoken on the Pacific slope of Nicaragua, especially in the Subtiaba district of León.",Subtiaba,Otomanguean
Otomanguean Linguistics: Subgroup Analysis | PDF ... - Scribd,https://www.scribd.com/document/719124951/Campbell-E-otomanguean-historical-ling-240325-213315,"It focuses on the eight major subgroups - Mè'phàà-Subtiaba, Chorotegan, Oto-Pamean, Chinantec, Mixtecan, Amuzgo, Zapotecan, and Popolocan - and addresses reconstruction efforts and subgrouping research within each.",Subtiaba,Otomanguean
Sutiaba Language and the Subtiaba Indian Tribe (Subtiabo ...,https://www.native-languages.org/subtiaba.htm,"Subtiaba language information and the culture, history and genealogy of the Sutiaba Indians.",Subtiaba,Otomanguean
"Otomanguean languages | Oto-Mazahua, Oto-Pamean, Mixtecan ...OLAC resources in and about the Subtiaba language(PDF) Otomanguean historical linguistics: Exploring the ...",https://www.britannica.com/topic/Otomanguean-languages,"Otomanguean languages, a phylum, or stock, of American Indian languages composed mainly of Amuzgoan, Oto-Pamean, Popolocan, Subtiaba-Tlapanecan, Mixtecan, Zapotecan, and Chinantecan. ISO 639-3: sut. The combined catalog of all OLAC participants contains the following resources that are relevant to this language: Use faceted search to explore resources for Subtiaba language. ONLINELos archivos lingüísticos me'phaa. Marlett, Stephen A. (editor). 2011. SIL International. oai:sil.org:85503. ONLINEVocabulario básico en meꞌphaa. It consists of eight major subgroups: Mè'phàà-Subtiaba, Chorotegan, Oto-Pamean, Chinantec, Mixtecan, Amuzgo, Zapotecan, and Popolocan.",Subtiaba,Otomanguean
OLAC resources in and about the Subtiaba language,http://www.language-archives.org/language/sut,"ISO 639-3: sut. The combined catalog of all OLAC participants contains the following resources that are relevant to this language: Use faceted search to explore resources for Subtiaba language. ONLINELos archivos lingüísticos me'phaa. Marlett, Stephen A. (editor). 2011. SIL International. oai:sil.org:85503. ONLINEVocabulario básico en meꞌphaa.",Subtiaba,Otomanguean
(PDF) Otomanguean historical linguistics: Exploring the ...,https://www.academia.edu/33842752/Otomanguean_historical_linguistics_Exploring_the_subgroups_2017_,"It consists of eight major subgroups: Mè'phàà-Subtiaba, Chorotegan, Oto-Pamean, Chinantec, Mixtecan, Amuzgo, Zapotecan, and Popolocan.",Subtiaba,Otomanguean
Subtiaba | Ethnologue Free,https://www.ethnologue.com/language/sut/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuMTYxIiwiY291bnRyeSI6IlJVIiwidXNlcl9lbWFpbCI6IiIsImlzX2NvbnRyaWJ1dG9yIjpmYWxzZSwiaXNfYXV0aGVudGljYXRlZCI6ZmFsc2UsInBob3RvX3VybCI6IiIsInByb2ZpbGVfbmFtZSI6IiIsInJvbGUiOiIiLCJsZXZlbCI6IkZyZWUiLCJuZXR3b3JrX25hbWUiOiIiLCJyZWN1cmx5X2lkIjoiIiwidHlwZSI6IkZyZWUiLCJleHAiOjE3MzU1NTk3OTUsImlhdCI6MTczNTMwMDU5NX0.bbOSyn0-qiRmhfMZWhNIXwuo47D95wFS3CeDfSefk7w,Subtiaba is a dormant language of Nicaragua. It belongs to the Otomanguean language family.,Subtiaba,Otomanguean
The Best 🇮🇹 Italian Music & aerial 4K Italy landscapes. - YouTube,https://www.youtube.com/watch?v=XNzewEFc9w4,NEW: Watch Part II here → https://youtu.be/J5NMEMPV4sY NEW!: Amalfi Coast from the Sky → https://youtu.be/6_sMgT4n9TQ - Relaxing Italian Music Exper...,Subtiaba,Otomanguean
Glottolog 5.3 - Otomanguean,https://glottolog.org/resource/languoid/id/otom1299,"Classification. open Otomanguean. expand all.Tlacoapa Me'phaa. Subtiaba. Family membership references. Suárez, Jorge 1986.",Subtiaba,Otomanguean
