title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Sula,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views.",Sula,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Sula,Austronesian
Chapter 1: land and people | Talking Sula,http://www.bahasasula.com/chapter-1-land-and-people/,"Sula is a Malayo-Polynesian language within the greater Austronesian language family, and the Sula people bear the hallmark features of Austronesian culture.",Sula,Austronesian
Small Island Big Song: The Sounds of Austronesian Music,https://nspp.mofa.gov.tw/nsppe/news.php?post=213795&unit=410&unitname=sties&postname=Small-Island-Big-Song:-The-Sounds-of-Austronesian-Music,Linking Austronesia through music. The first album of the Small Island Big Song project comprised 18 songs recorded by producer BaoBao Chen and her husband...,Sula,Austronesian
Certified Austronesian Classic | TikTok,https://www.tiktok.com/discover/certified-austronesian-classic,"Certified Austronesian Classic. 6.1M views. Discover the beauty of Austronesian classics! Explore cultures from Indonesia, Malaysia, and beyond with our curated content.",Sula,Austronesian
Dissertation Final Draft.pages,https://staibabussalamsula.ac.id/wp-content/uploads/2023/06/SULA-ITS-LANGUAGE-LAND-AND-PEOPLE-2.pdf,"Sula is a Malayo-Polynesian language within the greater Austronesian language family, and the Sula people bear the hallmark features of Austronesian culture. Much has been.",Sula,Austronesian
"Jakone, Kiliana - Жиганская (official video) — Видео от Новинки...",https://vk.com/video-205800683_456240426,Владимир Панченко (Фактор 2) — Незабудка ｜ Official Music Video 2026.,Sula,Austronesian
AY YOLA - Homay (Премьера клипа 2025). Официальный... | Дзен,https://dzen.ru/video/watch/68acc61f3a18115d810f3e59,"Официальный клип / Official music video. 10 месяцев назад • 72,2 тыс просмотров1 346 поставили ""Нравится"". Хумай - символ света и силы, оживает в песне.",Sula,Austronesian
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Sula,Austronesian
