title,link,text,language,family
Athabaskan languages - Wikipedia,https://en.wikipedia.org/wiki/Athabaskan_languages,"Athabaskan, also known as Dene, is a large branch of the Na-Dene language family of North America, located in western North America in three areal language groups: Northern, Pacific Coast and Southern.",Tahltan,Eyak-Athabaskan
Langues athapascanes — Wikipédia,https://fr.wikipedia.org/wiki/Langues_athapascanes,"Le terme athapascan ou athabascan[1], ainsi que le terme déné, désigne un vaste ensemble de peuples amérindiens et la famille de langues qu’ils parlent. Ces peuples sont principalement répartis en deux grandes zones géographiques en Amérique du Nord : le Sud-Ouest et le Nord-Ouest.",Tahltan,Eyak-Athabaskan
Eyak-Athabaskan | Ethnologue Free,https://www.ethnologue.com/subgroup/3793/,"Eyak eya, a language of United States. Athabaskan 45. Apachean 6.",Tahltan,Eyak-Athabaskan
"ERIC - ED398759 - Athabaskan, Eyak, and Tlingit Sonorants.",https://eric.ed.gov/?id=ED398759,"A historical-comparative study of the sonorant system of Athabaskan, Eyak, and Tlingit, American Indian languages of Alaska, is presented.",Tahltan,Eyak-Athabaskan
Acoustic phonetic features in Athabaskan sound change,https://www.benjamins.com/catalog/dia.31.2.02fly,A number of consonant shifts in the history of Athabaskan languages are considered. The goal is to better explain examples of ‘auditorily based substitution’ by invoking ‘phonetic features’ as is required by the sound change theory of Blevins (2004).,Tahltan,Eyak-Athabaskan
ATHABASKAN PROSODY,https://api.pageplace.de/preview/DT0400.9789027285294_A24761300/preview-9789027285294_A24761300.pdf,"On Tone and Length in Tahltan (Northern Athabaskan). Willem j. de reuse. The Tonology of the Western Apache Noun Stem.The Athabaskan family, together with the languages Eyak and Tlingit, forms a larger group currently known as Athabaskan-Eyak-Tlingit (Leer 1999).1.",Tahltan,Eyak-Athabaskan
Endangered Languages Project - Tāłtān (Tahltan),https://www.endangeredlanguages.com/lang/1447/samples,"[aka Nahanni, Tahltan, Tahl-tan]. Classification: Athabaskan-Eyak-Tlingit.Tahltan (Tāłtān) Talking Dictionary from Living Tongues link.",Tahltan,Eyak-Athabaskan
Tāłtān (Tahltan),https://docs.verbix.com/EndangeredLanguages/TatanTahltan,"Language family: Eyak-Athabaskan, Athabaskan, Northern Athabaskan, Tahltan (SIL classification). Number of speakers: 43. Vulnerability: Endangered. Script",Tahltan,Eyak-Athabaskan
"Athabascan music, Fairbanks, Alaska - YouTube",https://www.youtube.com/watch?v=xOOZOT2ZPN0,About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How...,Tahltan,Eyak-Athabaskan
"Glottolog 5.2 - Anderson, Lloyd B. 1982",https://glottolog.org/resource/reference/id/122753,"Draft with correspondence to M. Krauss; Book release announcement (1985)ca.13+4}, anlclanguage = {Comparative Athabaskan Eyak Kaska Tahltan Tlingit}, anlctype = {comparative}, citation = {Presented at the XXIst Conference on American Indian Languages, AAA, December 5...",Tahltan,Eyak-Athabaskan
