title,link,text,language,family
Tucanoan languages - Wikipedia,https://en.wikipedia.org/wiki/Tucanoan_languages,"Tucanoan is a language family of Colombia, Brazil, Ecuador, and Peru.Tama - spoken on the Yarú River and Caguán River, Caquetá territory, Colombia, but now perhaps extinct.",Tama,Tucanoan
Tucanoan | Ethnologue Free,https://www.ethnologue.com/subgroup/373/,"Tucanoan. Subgroup of 25 languages.Tama ten, a language of Colombia.",Tama,Tucanoan
"Tucanoan Language Family (Tucanan, Tukanoan)",https://www.native-languages.org/famtucan.htm,"Page dedicated to the languages of the Tucanoan language family, with links to information on each language and the American Indian people who speak it.",Tama,Tucanoan
Tucanoan,https://lingweb.eva.mpg.de/channumerals/Tucanoan.htm,The Tucanoan Language Family. † Miriti. Central Tucanoan: Cubeo.Western Tucanoan: Koreguaje: Koreguaje. Maijunaː Maijuna (Orejón).,Tama,Tucanoan
Glottolog 5.2 - Western Eastern Tucanoan,https://glottolog.org/resource/languoid/id/west2789,Tsola. Yurutí. South Eastern Tucanoan (3). Kueretu. Tanimuca-Retuarã. Yupua. Western Tucanoan (6). Koreguaje-Tama (2).,Tama,Tucanoan
Anima Ft. Sheera - Moon (Original Mix) - YouTube,https://www.youtube.com/watch?v=ooGf0F5_id0,Sheera - Moon (Original Mix) Anima Music • 197 тыс. просмотров 7:30.,Tama,Tucanoan
sil.org/resources/publications/entry/7883,https://www.sil.org/resources/publications/entry/7883,The morpheme KA- of Carapana (Tucanoan).,Tama,Tucanoan
Radio Garden – Explore live radio by rotating the globe,https://radio.garden/,Musique Haitienne Metro compas Live 24 h Compas music La Radio du...,Tama,Tucanoan
Manage your Apple Account,https://account.apple.com/account,"Apps, Music, TV, and More Receive Apple emails and communications...",Tama,Tucanoan
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.",Tama,Tucanoan
