title,link,text,language,family
Tamang language - Wikipedia,https://en.wikipedia.org/wiki/Tamang_language,"Language family. Sino-Tibetan. Tamangic. Gurung–Tamang.Eastern Gorkha Tamang: 4,000 (2000 WCD). Sub-dialects are as follows. Kasigaon.","Tamang, Eastern Gorkha",Sino-Tibetan
"Tamang, Eastern Gorkha | Ethnologue Free",https://www.ethnologue.com/language/tge/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiIyMTMuMTgwLjIwMy4xNzgiLCJjb3VudHJ5IjoiUlUiLCJ1c2VyX2VtYWlsIjoiIiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwicGhvdG9fdXJsIjoiIiwicHJvZmlsZV9uYW1lIjoiIiwicm9sZSI6IiIsImxldmVsIjoiRnJlZSIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJ0eXBlIjoiRnJlZSIsImV4cCI6MTczNzg0NjczMywiaWF0IjoxNzM3NTg3NTMzfQ.afTIUTPfb74awVRkcs1iGdcXTvF15h0KIU7WzyjC_bA,Eastern Gorkha Tamang is a stable indigenous language of Nepal. It belongs to the Sino-Tibetan language family.,"Tamang, Eastern Gorkha",Sino-Tibetan
Glottolog 5.2 - Outer-Eastern Tamang,https://glottolog.org/resource/languoid/id/oute1247,Eastern Gorkha Tamang. Unclassified Sino-Tibetan (1).,"Tamang, Eastern Gorkha",Sino-Tibetan
WALS Online - Language Tamang (Eastern),https://wals.info/languoid/lect/wals_code_tam,"Ethnologue: Tamang, Eastern Gorkha. Other: Murma. RuhlenSino-Tibetan Numeral Systems: Prefixes, Protoforms and Problems. Mazaudon 1973.","Tamang, Eastern Gorkha",Sino-Tibetan
Tamang language,https://grokipedia.com/page/Tamang_language,"Western Tamang, a dialect of the Tamang language within the Tibeto-Burman branch of the Sino-Tibetan family, encompasses variants primarily spoken in the western regions of Nepal, including the Trisuli, Rasuwa, Northwestern, and Gorkha sub-dialects.","Tamang, Eastern Gorkha",Sino-Tibetan
North east Gorkha festival Guwahati 2023 / Tamang Culture / Lama...,https://www.youtube.com/watch?v=22-1bftvGG4,,"Tamang, Eastern Gorkha",Sino-Tibetan
Bibles - Open.Bible,https://open.bible/bibles/Tamang_Eastern_Gorkha-BCSPL-NT-Audio/,"Ltd. Published: 02/03/2025 11:48. Tamang, Eastern Gorkha is a stable indigenous language of Nepal. It belongs to the Sino-Tibetan language family.","Tamang, Eastern Gorkha",Sino-Tibetan
Peoples of the Buddhist World,https://people-groups.asiaharvest.org/Nepal/TamangEasternGorkha.pdf,"Most Eastern Gorkha Tamang people are another corner. The hearth is located at the. center of the oor.’2. followers of Tibetan Buddhism, although. some of those living at lower altitudes have.","Tamang, Eastern Gorkha",Sino-Tibetan
Wikitongues | taj,https://wikitongues.org/languages/taj/,"Sino-Tibetan. EGIDS Status. 4 - Educational.Eastern Tamang language dictionaries, phrase books, and other lexicons.","Tamang, Eastern Gorkha",Sino-Tibetan
Google,https://www.google.com/,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое.","Tamang, Eastern Gorkha",Sino-Tibetan
