title,link,text,language,family
Music of Eritrea - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Eritrea,"The music of Eritrea, is a diverse mix of traditional and popular styles originating from ancient to modern times. The nine major ethnic groups of Eritrea—Afar, Bilen, Hedareb, Kunama, Nara, Rashaida, Saho, Tigre and Tigrinya—celebrate autonomous...",Tehl,Afro-Asiatic
Afro-Asiatic Music- YouTube,https://www.youtube.com/playlist?list=PLteI3IBzdC_WYnNTkLdCsljkFu2SLZaIQ,"Smooth listening for your Afro-asiatic ears! Check out our go-to playlist for the traditional (and even modern) music of our souls! From smooth jazz to reggae, let's tune our ears and hearts to a new song that uplifts us, rather than tears us down.",Tehl,Afro-Asiatic
afro-asiatic music - playlist by Farimah Karimi | Spotify,https://open.spotify.com/playlist/7ne7yf7hbjKVeHTVzV7TVN,Playlist · afro-asiatic music · 89 items · 4 saves.,Tehl,Afro-Asiatic
Afro Asiatic | TikTok,https://www.tiktok.com/discover/afro-asiatic,Afro-asiatic isn’t really a genetic grouping like the austronesians and indo Europeans it’s a linguistic one bc it’s estimated that Proto Afro asiatic is 10-8000 years old #afroasiatic #linguistics #history #culture #ancientegypt.,Tehl,Afro-Asiatic
"Afro Asiatic - Anthony Velarde: Song Lyrics, Music Videos & Concerts",https://www.shazam.com/song/272342953/afro-asiatic,"Listen to Afro Asiatic by Anthony Velarde. See lyrics and music videos, find Anthony Velarde tour dates, buy concert tickets, and more!",Tehl,Afro-Asiatic
search.worldcat.org/title/The-Afroasiatic-languages/oclc/795895594,https://search.worldcat.org/title/The-Afroasiatic-languages/oclc/795895594,The Afroasiatic languages.,Tehl,Afro-Asiatic
List of Afroasiatic language music stolen and copied by Sandeep...,https://www.copycatlist.com/en/afroasiatic-music-songs-stolen-by-sandeep-chowta-4,"Sandeep Chowta is Indian Music Director / Composer . He has copied 1 Afroasiatic language song. Click thumbnail, song title or see detail link to view complete information about original and copied song with history and video.",Tehl,Afro-Asiatic
Resounding Afro Asia | Townsend Center for the Humanities,https://townsendcenter.berkeley.edu/books/resounding-afro-asia,"Resounding Afro Asia joins a growing body of literature that is writing Asian American artists back into US popular music history, while highlighting interracial engagements that have fueled U.S. music making. The author was a Townsend Fellow in 2012-13.",Tehl,Afro-Asiatic
Sounding the Indian Ocean by Prof. Jim Sykes | 9780520393196,https://www.perlego.com/book/4142432/sounding-the-indian-ocean-musical-circulations-in-the-afroasiatic-seascape-pdf,Sounding the Indian Ocean. Musical Circulations in the Afro-Asiatic Seascape. Prof. Jim Sykes,Tehl,Afro-Asiatic
"Vol. 41, No. 4, Winter, 2007, Post-Soul Aesthetic of African... | JSTOR",https://www.jstor.org/stable/i25426976,"The Afro-Asiatic Floating World: Post-Soul Implications of the Art of Iona Rozeal Brown.Postmodernism, Pop Music, and Blues Practice in Nelson George's Post-Soul Culture (pp. 667-694).",Tehl,Afro-Asiatic
